sa3_name16,sa3_code16,m_y12_equivalent_indigenous,m_y12_equivalent_non_indig,m_y12_equiv_indigstat_ns,m_y12_equivalent_tot,m_y11_equivalent_indigenous,m_y11_equiv_non_indig,m_y11_equiv_indigstat_ns,m_y11_equivalent_tot,m_y10_equivalent_indigenous,m_y10_equiv_non_indig,m_y10_equiv_indigstat_ns,m_y10_equivalent_tot,m_y9_equivalent_indigenous,m_y9_equiv_non_indig,m_y9_equiv_indigstat_ns,m_y9_equivalent_tot,m_y8_below_indigenous,m_y8_below_non_indig,m_y8_below_indigstat_ns,m_y8_below_tot,m_did_not_go_to_school_indig,m_did_not_go_to_sch_non_indig,m_di_no_go_to_sch_indst_ns,m_did_not_go_to_school_tot,m_highest_yr_school_ns_indig,m_highest_yr_sch_ns_non_indig,m_highe_yr_sch_ns_indst_ns,m_highest_yr_school_ns_tot,m_tot_indigenous,m_tot_non_indigenous,m_tot_indigstat_ns,m_tot_tot,f_y12_equivalent_indigenous,f_y12_equivalent_non_indig,f_y12_equiv_indigstat_ns,f_y12_equivalent_tot,f_y11_equivalent_indigenous,f_y11_equiv_non_indig,f_y11_equiv_indigstat_ns,f_y11_equivalent_tot,f_y10_equivalent_indigenous,f_y10_equiv_non_indig,f_y10_equiv_indigstat_ns,f_y10_equivalent_tot,f_y9_equivalent_indigenous,f_y9_equiv_non_indig,f_y9_equiv_indigstat_ns,f_y9_equivalent_tot,f_y8_below_indigenous,f_y8_below_non_indig,f_y8_below_indigstat_ns,f_y8_below_tot,f_did_not_go_to_school_indig,f_did_not_go_to_sch_non_indig,f_di_no_go_to_sch_indst_ns,f_did_not_go_to_school_tot,f_highest_yr_school_ns_indig,f_highest_yr_sch_ns_non_indig,f_highe_yr_sch_ns_indst_ns,f_highest_yr_school_ns_tot,f_tot_indigenous,f_tot_non_indigenous,f_tot_indigstat_ns,f_tot_tot,p_y12_equivalent_indigenous,p_y12_equivalent_non_indig,p_y12_equiv_indigstat_ns,p_y12_equivalent_tot,p_y11_equivalent_indigenous,p_y11_equiv_non_indig,p_y11_equiv_indigstat_ns,p_y11_equivalent_tot,p_y10_equivalent_indigenous,p_y10_equiv_non_indig,p_y10_equiv_indigstat_ns,p_y10_equivalent_tot,p_y9_equivalent_indigenous,p_y9_equiv_non_indig,p_y9_equiv_indigstat_ns,p_y9_equivalent_tot,p_y8_below_indigenous,p_y8_below_non_indig,p_y8_below_indigstat_ns,p_y8_below_tot,p_did_not_go_to_school_indig,p_did_not_go_to_sch_non_indig,p_di_no_go_to_sch_indst_ns,p_did_not_go_to_school_tot,p_highest_yr_school_ns_indig,p_highest_yr_sch_ns_non_indig,p_highe_yr_sch_ns_indst_ns,p_highest_yr_school_ns_tot,p_tot_indigenous,p_tot_non_indigenous,p_tot_indigstat_ns,p_tot_tot
Heathcote - Castlemaine - Kyneton,20202,45,7505,75,7622,11,2589,32,2635,38,3160,45,3246,20,1325,18,1363,12,926,11,949,0,49,3,50,52,1199,1283,2536,182,16754,1470,18404,46,9377,83,9503,14,2519,27,2556,28,2685,30,2740,12,1099,26,1135,5,883,21,912,0,51,0,59,10,668,1412,2092,116,17288,1593,19001,91,16877,154,17123,20,5111,60,5192,70,5849,71,5987,36,2425,42,2504,20,1809,28,1860,3,103,7,109,63,1867,2701,4632,303,34044,3061,37405
Loddon - Elmore,20203,5,1122,13,1146,7,772,3,784,10,1118,20,1144,9,489,5,500,13,419,8,439,0,14,0,18,6,208,387,601,46,4151,446,4637,8,1541,10,1562,7,698,5,705,14,783,17,811,13,377,3,395,5,319,12,337,0,11,0,11,9,216,355,578,54,3946,402,4404,18,2669,26,2715,9,1472,6,1492,22,1902,32,1958,21,863,12,896,19,736,25,771,0,25,0,31,12,419,744,1179,106,8094,848,9037
Barwon - West,20301,11,2714,27,2750,4,1329,14,1344,12,1430,6,1446,6,539,4,555,3,354,3,363,3,13,0,13,0,183,368,554,39,6553,421,7015,14,3469,37,3522,6,1148,10,1170,9,1035,12,1058,0,410,7,419,0,266,0,266,0,11,0,13,0,172,346,517,40,6514,423,6974,29,6183,60,6273,11,2481,21,2518,15,2460,20,2499,9,944,19,972,9,620,8,632,3,28,0,26,0,356,715,1070,82,13062,843,13987
Geelong,20302,175,32054,203,32429,99,10666,85,10848,140,11027,96,11267,55,4529,49,4634,41,3809,71,3920,10,478,10,497,92,2990,3800,6878,609,65553,4317,70476,255,37825,232,38312,88,10042,85,10209,118,10943,111,11165,60,4826,55,4943,50,4891,79,5021,6,582,11,598,32,2539,4117,6695,608,71651,4684,76940,428,69879,434,70743,182,20708,165,21058,257,21970,207,22428,119,9357,107,9583,91,8700,148,8943,13,1060,20,1096,122,5527,7921,13571,1220,137201,9002,147422
Surf Coast - Bellarine Peninsula,20303,58,13284,71,13412,20,4066,34,4115,20,4189,40,4249,20,1388,9,1417,6,995,13,1018,0,62,3,65,11,618,1477,2103,135,24598,1643,26380,79,15830,93,16006,23,4207,38,4268,25,3911,42,3976,15,1301,13,1330,9,1118,21,1150,4,57,3,62,8,768,1479,2246,157,27197,1694,29039,138,29114,165,29418,40,8270,72,8379,51,8098,78,8230,30,2690,29,2750,11,2113,35,2164,4,120,6,125,12,1382,2955,4355,292,51790,3339,55418
Upper Goulburn Valley,20401,62,7054,65,7180,38,3293,35,3363,62,4517,64,4645,27,2038,29,2093,26,1378,23,1423,0,68,0,67,9,831,1655,2494,225,19171,1881,21269,88,8992,81,9156,36,3119,38,3193,39,3663,50,3752,27,1525,22,1572,18,1236,26,1284,3,44,3,47,10,878,1582,2470,216,19455,1802,21477,142,16046,153,16342,74,6409,71,6556,104,8180,115,8394,50,3561,56,3671,45,2614,44,2703,3,113,3,115,16,1701,3242,4967,437,38628,3680,42749
Wangaratta - Benalla,20402,64,5808,40,5917,26,2892,23,2951,32,3878,47,3964,26,1444,23,1491,10,1165,27,1205,0,58,0,58,18,678,1144,1841,181,15929,1310,17413,61,7664,63,7792,28,3048,37,3112,53,3344,31,3429,24,1285,22,1333,11,1262,28,1302,0,62,0,61,19,841,1225,2085,193,17509,1410,19114,119,13476,111,13707,51,5942,60,6060,82,7226,80,7393,48,2738,41,2828,25,2423,55,2506,0,113,0,116,37,1516,2370,3927,370,33435,2719,36527
Wodonga - Alpine,20403,85,9727,73,9884,48,4086,29,4163,103,6034,57,6201,32,1859,16,1908,41,1462,34,1539,3,125,0,122,32,973,1740,2748,351,24261,1954,26565,142,12077,93,12306,50,3955,21,4030,120,5336,51,5503,53,1653,23,1729,27,1337,26,1396,3,109,0,118,22,932,1730,2684,416,25395,1940,27755,224,21801,158,22189,97,8038,47,8191,224,11374,112,11701,85,3506,41,3637,66,2804,66,2933,5,233,0,242,52,1903,3467,5430,766,49656,3893,54318
Baw Baw,20501,26,6274,36,6342,21,2977,16,3013,37,4094,29,4158,23,1606,10,1636,10,1097,24,1130,4,71,0,68,9,516,1128,1658,131,16625,1254,18012,43,8451,65,8561,21,3015,20,3060,28,3365,33,3426,15,1360,12,1391,8,1147,17,1171,3,70,0,77,13,611,1213,1837,131,18024,1364,19522,74,14726,101,14899,39,5991,39,6070,65,7465,58,7584,40,2967,22,3030,24,2238,42,2303,3,138,3,151,22,1129,2342,3493,261,34652,2614,37534
Gippsland - East,20502,82,5354,59,5502,39,2680,23,2748,95,3963,58,4114,72,1754,24,1843,43,1288,22,1357,6,73,0,75,33,764,1403,2193,369,15874,1592,17838,95,6937,68,7091,56,2838,20,2909,90,3551,43,3691,66,1424,29,1518,54,1150,31,1234,5,50,0,56,38,833,1421,2290,397,16785,1607,18792,172,12296,125,12594,96,5519,46,5664,182,7516,108,7805,139,3176,51,3360,98,2438,52,2587,7,119,3,132,63,1597,2821,4483,764,32664,3200,36629
Gippsland - South West,20503,58,7737,61,7855,20,4079,33,4140,40,5161,55,5260,13,2223,28,2263,15,1525,28,1561,0,79,3,79,8,871,1628,2512,164,21665,1839,23664,65,10349,77,10490,28,3985,48,4066,38,4524,56,4612,20,1865,33,1918,9,1534,31,1577,0,82,0,82,5,1086,1686,2773,168,23427,1929,25520,120,18083,143,18350,51,8069,82,8198,75,9684,112,9868,35,4085,62,4180,26,3056,58,3141,4,160,3,162,16,1954,3313,5286,327,45091,3767,49186
Latrobe Valley,20504,82,9200,69,9346,48,4881,46,4980,75,5848,55,5977,44,2167,28,2238,44,1833,21,1902,7,137,3,148,22,975,2082,3080,320,25041,2304,27665,84,11357,71,11514,56,4598,43,4692,92,5217,59,5370,43,2328,35,2395,39,2126,34,2195,5,158,4,167,19,1137,2212,3365,339,26918,2451,29711,163,20561,136,20861,108,9483,84,9672,175,11067,111,11353,87,4489,60,4638,76,3962,57,4091,12,289,10,315,42,2112,4296,6447,666,51960,4755,57372
Wellington,20505,49,4949,43,5041,31,2740,38,2804,40,3608,35,3687,18,1566,11,1597,18,1161,17,1187,3,62,0,60,65,1326,1191,2576,219,15408,1333,16954,62,6581,48,6692,38,2777,16,2836,48,3022,32,3105,23,1245,13,1274,11,963,17,995,0,66,0,63,13,645,1135,1789,197,15291,1264,16753,114,11532,92,11734,66,5513,53,5638,88,6635,70,6786,44,2805,28,2874,30,2121,28,2187,5,126,0,125,71,1967,2323,4362,419,30699,2599,33706
Brunswick - Coburg,20601,100,24347,99,24549,13,2250,13,2274,23,2215,28,2263,7,776,11,791,0,1881,28,1910,0,465,3,475,11,612,1891,2515,161,32539,2076,34776,126,26997,102,27232,16,1845,14,1877,17,1777,21,1814,5,739,7,751,4,2666,28,2697,0,763,5,769,18,675,1917,2604,188,35459,2103,37751,228,51343,206,51780,27,4093,30,4150,41,3990,48,4082,13,1517,20,1548,5,4541,60,4609,3,1228,13,1246,28,1287,3809,5121,349,67999,4177,72529
Darebin - South,20602,63,13725,52,13839,13,1245,9,1267,14,1179,13,1200,6,421,3,433,12,1002,13,1023,0,256,3,258,5,375,1166,1544,103,18204,1254,19561,92,16356,72,16518,12,1099,7,1109,22,962,8,988,9,398,12,414,4,1528,9,1543,0,404,7,406,3,425,1290,1716,139,21171,1389,22697,148,30082,127,30357,21,2337,17,2377,31,2143,13,2194,16,826,12,850,17,2529,20,2565,0,654,5,667,10,798,2451,3252,243,39372,2645,42261
Essendon,20603,58,17332,69,17466,12,2065,13,2086,17,1837,23,1878,4,623,5,639,9,959,14,977,0,248,6,256,5,502,1599,2105,114,23568,1731,25405,49,19188,85,19327,5,1960,11,1979,11,1776,16,1795,10,647,8,668,5,1404,22,1428,0,477,3,476,3,722,1689,2416,88,26176,1824,28093,112,36525,154,36786,21,4022,23,4068,26,3615,38,3678,16,1276,17,1309,16,2359,33,2411,3,722,9,735,7,1226,3284,4520,201,49742,3552,53500
Melbourne City,20604,130,46643,199,46964,12,2555,20,2580,23,1761,20,1805,9,661,8,681,8,609,4,625,3,299,3,308,47,1110,6774,7927,230,53633,7035,60904,129,50354,199,50684,13,2395,34,2439,16,1670,15,1703,7,679,11,699,3,874,13,890,7,468,4,483,7,985,6753,7748,192,57424,7033,64645,255,96998,399,97648,25,4950,53,5020,42,3429,40,3514,18,1342,19,1379,17,1482,17,1517,5,770,10,789,55,2091,13530,15677,419,111063,14070,125549
Port Phillip,20605,88,30144,114,30340,11,2671,24,2703,35,2505,24,2568,13,674,8,701,15,872,15,904,3,177,0,178,8,703,4362,5073,172,37750,4551,42471,112,32846,134,33088,14,2560,24,2590,18,2204,24,2242,3,588,10,595,3,1060,19,1084,3,246,0,249,11,738,4356,5107,157,40236,4558,44950,194,62984,244,63431,23,5226,44,5299,46,4713,45,4806,15,1261,19,1297,14,1934,32,1982,5,420,3,426,19,1439,8722,10180,324,77984,9113,87422
Manningham - West,20702,27,23481,104,23617,10,2675,20,2698,12,2731,24,2772,3,1108,7,1114,0,1825,22,1844,0,413,7,416,0,724,1200,1928,52,32964,1378,34390,24,24843,131,24998,10,2908,21,2941,8,3305,33,3343,0,1321,10,1333,6,2662,29,2692,0,629,4,634,0,1066,1356,2425,49,36735,1584,38365,50,48328,233,48611,17,5579,38,5641,23,6038,58,6115,6,2426,19,2442,6,4489,46,4540,3,1045,5,1052,0,1797,2559,4355,102,69697,2961,72756
Whitehorse - West,20703,36,28099,94,28229,9,2885,10,2911,8,2639,25,2672,3,1031,12,1048,3,1182,23,1213,7,401,0,402,5,793,1465,2257,71,37028,1627,38730,36,30312,114,30457,6,2985,26,3019,13,2885,33,2931,3,1255,8,1267,3,1913,26,1935,9,528,7,550,3,1095,1528,2626,76,40974,1752,42794,69,58404,213,58690,20,5871,40,5931,20,5525,62,5605,5,2286,23,2313,7,3093,45,3147,10,931,8,949,12,1891,2993,4888,148,78003,3376,81528
Bayside,20801,50,25331,119,25502,7,2837,23,2863,7,2382,23,2412,3,723,11,732,0,683,4,689,3,119,0,124,3,568,1832,2402,72,32650,2007,34727,36,27724,143,27900,3,3513,41,3560,5,3095,41,3144,3,942,22,960,4,1122,15,1148,0,161,3,162,4,887,1924,2817,59,37443,2187,39689,88,53058,255,53401,8,6352,63,6426,18,5480,64,5558,3,1666,28,1693,11,1806,20,1838,3,276,7,284,6,1453,3757,5219,134,70092,4185,74415
Darebin - North,20902,98,22418,129,22653,36,2946,28,3016,59,3044,38,3140,24,1418,17,1457,29,2747,44,2818,9,698,8,713,18,1108,2447,3574,275,34390,2711,37370,123,23682,112,23921,33,2479,28,2537,68,2882,37,2990,32,1474,19,1520,23,3908,44,3973,3,1007,10,1017,29,1332,2539,3899,307,36766,2782,39849,224,46106,241,46576,69,5427,53,5546,128,5930,72,6127,53,2892,34,2974,54,6658,84,6797,12,1702,17,1730,45,2441,4988,7470,583,71154,5491,77226
Nillumbik - Kinglake,20903,39,14077,73,14196,14,3451,16,3486,22,3377,24,3423,4,1012,13,1028,0,552,7,559,0,68,3,69,0,332,1009,1336,80,22871,1147,24091,61,16028,95,16184,14,3216,26,3248,26,2680,29,2730,6,861,8,869,0,630,6,633,0,67,0,62,3,328,1024,1354,108,23798,1183,25085,100,30108,173,30379,22,6668,41,6733,43,6059,51,6151,9,1869,18,1896,3,1177,12,1189,0,129,3,137,3,662,2029,2698,185,46662,2327,49182
Stonnington - West,20606,71,20057,71,20195,7,1262,15,1282,17,1077,15,1112,0,300,4,307,8,426,7,434,0,100,0,99,0,364,2381,2749,100,23581,2488,26174,49,22434,93,22579,6,1413,10,1429,3,1160,12,1179,0,333,3,336,0,642,7,656,0,191,0,193,7,529,2462,2995,76,26707,2594,29371,116,42494,159,42778,9,2669,24,2707,21,2239,24,2290,8,626,10,645,4,1070,14,1090,3,290,0,291,10,896,4844,5745,176,50290,5083,55544
Yarra,20607,92,27248,125,27462,16,1876,12,1902,23,1698,8,1730,7,577,11,592,13,880,16,911,3,313,6,320,3,654,3215,3871,158,33234,3392,36782,96,29324,122,29535,17,1613,14,1641,15,1404,16,1433,6,611,3,625,14,1451,14,1478,4,638,9,648,9,732,3297,4039,156,35771,3469,39400,187,56566,244,56996,35,3482,28,3550,40,3099,27,3164,18,1188,9,1218,26,2331,32,2385,6,951,10,967,12,1383,6512,7907,320,69004,6860,76183
Boroondara,20701,80,49098,226,49405,10,3331,30,3367,7,2603,17,2634,3,848,10,857,4,1028,10,1045,0,339,4,346,12,848,2951,3817,119,58096,3253,61467,73,53350,215,53637,14,4238,30,4279,9,3336,20,3372,7,1092,18,1117,5,1862,16,1882,0,414,3,413,3,1286,3109,4400,111,65582,3412,69106,159,102450,440,103044,21,7571,57,7645,21,5941,40,6003,9,1938,25,1978,10,2894,28,2933,0,751,9,759,14,2136,6066,8214,231,123675,6666,130573
Whittlesea - Wallan,20904,163,41639,238,42041,91,8612,72,8782,123,10624,95,10845,62,4213,50,4323,31,5265,82,5379,4,1198,10,1215,21,2046,3518,5583,502,73606,4068,78173,259,45862,249,46371,88,7879,81,8041,112,9083,75,9267,52,3902,43,3999,39,6597,105,6738,4,1674,29,1707,17,2204,3731,5955,564,77198,4312,82073,418,87500,483,88406,175,16492,152,16817,238,19706,173,20114,112,8115,99,8327,71,11865,184,12118,7,2872,39,2917,37,4250,7246,11536,1058,150804,8383,160250
Keilor,21001,32,12186,73,12292,12,2605,32,2650,7,2572,16,2597,5,1050,9,1062,0,1647,17,1660,0,301,3,298,0,686,957,1642,61,21040,1103,22213,47,13371,76,13489,7,2321,25,2357,11,2551,27,2598,0,1069,12,1081,0,2373,28,2399,0,436,0,442,0,796,1004,1798,74,22920,1178,24169,77,25556,150,25780,23,4925,52,5003,19,5121,52,5193,8,2121,21,2147,3,4017,42,4064,0,734,3,740,0,1487,1961,3444,132,43962,2279,46381
Macedon Ranges,21002,22,5135,28,5191,9,1770,8,1791,11,1871,14,1901,4,617,9,631,8,380,5,390,0,16,0,19,0,243,613,858,61,10037,685,10784,25,6333,37,6398,4,1578,14,1596,11,1474,9,1494,8,483,5,495,5,349,6,362,0,13,0,19,4,222,630,858,58,10454,709,11214,46,11473,70,11593,9,3351,28,3394,25,3339,27,3391,14,1101,15,1123,5,730,14,749,0,30,3,35,8,461,1244,1713,118,20493,1394,22006
Kingston,20803,80,25945,124,26150,35,5192,31,5263,26,5278,40,5340,13,1771,17,1800,10,1532,22,1566,3,237,7,245,9,924,2189,3121,165,40882,2430,43481,100,29450,135,29685,22,4893,37,4955,24,5187,35,5250,8,1852,19,1883,8,2242,40,2291,3,336,9,344,6,1347,2335,3689,179,45305,2612,48100,177,55395,265,55838,58,10088,73,10218,54,10465,70,10588,23,3625,33,3680,20,3772,58,3849,7,576,15,595,14,2267,4522,6808,345,86193,5043,91576
Stonnington - East,20804,22,12215,44,12281,4,852,5,863,3,681,3,684,3,229,0,235,0,332,3,333,0,72,0,71,0,195,754,950,33,14574,805,15410,24,13407,46,13472,0,1031,14,1050,0,844,9,854,0,263,0,260,0,492,8,498,0,103,3,108,0,266,811,1079,33,16406,887,17321,48,25623,85,25757,7,1890,16,1913,3,1528,8,1539,5,490,0,493,0,819,14,836,0,174,3,178,0,463,1565,2030,65,30978,1691,32736
Banyule,20901,89,28707,138,28934,39,4857,24,4927,45,4804,46,4894,30,1863,20,1916,10,1794,34,1836,0,310,0,309,8,985,1887,2881,224,43320,2154,45692,129,31348,156,31635,27,4711,32,4767,37,4835,40,4920,22,1939,30,1985,18,2679,34,2736,0,416,5,423,7,1369,1974,3353,238,47296,2272,49805,215,60053,300,60566,69,9568,63,9693,83,9639,81,9807,48,3804,51,3897,31,4468,68,4569,0,725,5,730,15,2360,3857,6235,458,90616,4428,95502
Moreland - North,21003,58,16768,88,16915,7,2412,22,2445,16,2947,40,3005,13,1208,20,1233,11,2226,24,2263,0,500,3,504,16,981,1643,2629,122,27037,1837,28997,63,17016,96,17172,20,2223,23,2267,22,2632,30,2685,7,1270,18,1298,6,3210,37,3255,0,761,6,769,8,1174,1655,2829,126,28288,1859,30276,122,33784,179,34089,33,4639,45,4708,34,5582,70,5684,20,2474,41,2534,22,5442,65,5522,0,1260,13,1274,22,2149,3294,5465,247,55326,3699,59277
Sunbury,21004,44,6518,38,6602,24,2389,12,2425,36,2852,22,2913,7,884,5,899,8,553,11,573,3,52,0,57,3,283,699,982,140,13521,798,14456,53,8001,49,8102,23,2381,9,2415,36,2453,21,2509,10,785,12,801,5,688,10,702,0,59,3,67,0,340,707,1040,124,14708,807,15638,99,14522,86,14708,49,4767,21,4835,72,5306,46,5422,18,1671,17,1699,16,1237,21,1277,3,112,6,127,3,617,1406,2028,261,28237,1601,30100
Tullamarine - Broadmeadows,21005,107,30001,193,30297,35,5695,55,5785,67,7578,68,7713,41,3470,27,3542,29,4643,49,4721,0,1383,15,1405,21,1703,2958,4677,297,54466,3369,58133,120,31364,197,31682,52,5213,46,5312,82,6461,52,6598,37,3085,31,3148,40,5360,57,5453,0,2180,26,2205,26,1597,2937,4558,353,55258,3350,58958,226,61364,387,61977,88,10904,94,11092,147,14038,123,14311,77,6552,61,6688,73,9999,106,10177,0,3561,45,3609,41,3299,5895,9233,651,109719,6716,117091
Knox,21101,79,32420,168,32668,52,7696,58,7800,74,8732,71,8877,14,3032,35,3080,11,2047,28,2086,4,380,3,389,5,1231,2033,3271,248,55525,2397,58165,88,36564,166,36818,39,7467,67,7574,50,7980,44,8076,26,2979,27,3030,12,2766,38,2816,4,506,3,515,8,1733,2089,3828,222,60003,2434,62659,170,68979,336,69480,89,15163,124,15375,124,16713,116,16948,40,6008,67,6113,26,4816,66,4902,6,887,4,900,18,2964,4122,7103,466,115528,4831,120826
Manningham - East,21102,8,6199,23,6233,0,1114,4,1126,8,1056,4,1062,0,362,6,370,0,258,3,260,0,44,0,45,0,150,382,533,17,9179,431,9633,6,6654,37,6699,4,1076,12,1091,3,985,11,1002,0,390,3,394,0,373,5,378,0,71,0,71,0,214,381,601,18,9760,456,10239,15,12849,69,12934,7,2194,17,2218,11,2039,11,2059,3,753,13,767,0,632,12,643,0,110,0,117,0,362,762,1132,33,18945,886,19871
Maroondah,21103,71,22613,78,22765,23,5644,33,5699,48,5759,45,5852,12,1897,18,1924,11,1492,13,1515,0,328,7,330,10,749,1549,2307,173,38482,1745,40403,85,26235,120,26450,28,5385,37,5448,41,5505,46,5600,13,1964,20,1994,7,2010,28,2049,0,403,3,407,12,1088,1788,2885,187,42581,2043,44816,163,48847,203,49211,47,11028,68,11141,87,11268,95,11454,24,3860,35,3922,24,3495,42,3565,0,726,9,736,18,1841,3336,5194,359,81062,3796,85215
Whitehorse - East,21104,19,15116,72,15206,4,2211,18,2235,8,2106,12,2128,3,816,3,824,7,808,16,829,3,237,3,244,4,365,728,1097,47,21655,854,22555,26,16265,70,16361,11,2219,16,2243,8,2413,24,2447,3,895,6,904,9,1274,15,1295,0,398,3,396,4,482,841,1325,60,23937,982,24973,44,31375,150,31567,11,4431,36,4477,22,4516,37,4573,9,1710,13,1726,9,2079,30,2120,0,631,6,637,3,848,1566,2422,105,45591,1835,47531
Yarra Ranges,21105,123,24970,149,25240,53,9117,65,9232,117,10964,104,11183,39,3947,43,4030,38,2185,40,2255,3,245,3,252,19,1190,2549,3754,386,52605,2953,55947,180,30895,187,31259,67,8516,75,8651,98,8666,79,8843,28,3142,29,3196,29,2261,49,2334,0,223,3,226,18,1398,2644,4062,420,55101,3066,58586,300,55859,340,56499,120,17636,133,17884,218,19628,182,20022,63,7085,74,7222,67,4442,89,4594,3,472,11,482,40,2584,5195,7819,802,107713,6017,114524
Cardinia,21201,63,13786,73,13927,37,5375,26,5447,59,7090,55,7209,30,2562,33,2629,12,1478,19,1514,0,120,4,123,10,774,1805,2592,220,31191,2028,33435,104,17938,92,18134,39,4919,32,4992,35,5756,51,5847,16,2080,24,2115,16,1460,27,1507,0,145,4,148,8,826,1855,2691,211,33126,2088,35424,162,31725,171,32060,75,10299,60,10435,95,12846,113,13049,45,4638,58,4745,24,2945,50,3015,0,271,8,274,14,1602,3664,5276,429,64320,4117,68858
Casey - North,21202,58,26268,136,26460,25,5874,33,5933,38,7074,55,7167,8,2440,24,2468,15,2352,35,2402,4,758,14,776,8,1201,1955,3168,153,45964,2252,48372,90,28523,168,28781,24,5194,35,5255,32,6264,52,6346,24,2377,37,2437,18,2949,44,3009,0,918,3,921,14,1442,1907,3358,193,47663,2244,50102,146,54792,302,55243,45,11066,73,11188,68,13332,106,13512,30,4812,59,4906,36,5303,78,5408,7,1671,14,1696,17,2641,3862,6521,346,93625,4499,98471
Casey - South,21203,93,30298,152,30542,40,7103,60,7200,82,9888,78,10043,40,3436,30,3499,31,2641,26,2693,6,1008,4,1023,12,1294,3029,4335,297,55666,3375,59337,128,33726,212,34070,29,6508,47,6588,68,8179,57,8308,35,3073,26,3140,12,2978,31,3022,3,1227,8,1239,10,1446,3031,4488,292,57137,3416,60848,219,64024,362,64611,76,13613,108,13789,149,18065,131,18352,72,6509,53,6635,50,5615,56,5722,7,2235,11,2256,20,2737,6062,8817,593,112802,6793,120193
Glen Eira,20802,53,40769,159,40980,9,3758,21,3794,9,3689,22,3716,3,1205,9,1209,3,1682,13,1699,0,340,8,342,3,924,2536,3464,84,52361,2768,55207,65,44723,184,44968,8,4013,39,4066,13,3745,34,3796,3,1294,12,1312,6,2450,27,2484,0,457,5,462,5,1158,2620,3785,104,57845,2925,60870,118,85494,339,85951,25,7777,62,7859,25,7431,55,7512,3,2499,15,2521,7,4134,47,4182,0,791,15,806,4,2085,5160,7248,188,110198,5694,116078
Dandenong,21204,54,41544,273,41867,28,5912,56,5988,45,8082,70,8195,17,3271,29,3312,16,5809,70,5894,3,3286,22,3308,7,2233,3647,5891,173,70124,4166,74465,71,39550,218,39841,24,4904,41,4973,36,7145,78,7257,23,3380,35,3443,18,7387,77,7487,0,3811,24,3838,26,2296,3317,5637,207,68470,3796,72470,125,81092,491,81708,48,10817,98,10962,87,15221,148,15451,41,6646,63,6755,36,13194,155,13377,3,7097,49,7144,36,4534,6960,11526,382,138595,7959,146937
Monash,21205,74,48830,188,49096,16,4719,30,4774,22,4990,36,5055,10,1937,19,1965,8,2755,33,2791,5,659,10,671,6,1331,2896,4232,140,65232,3212,68582,82,50171,183,50433,20,4776,35,4824,22,5336,36,5397,5,2171,18,2195,14,3966,66,4045,0,994,5,1008,0,1749,2942,4695,140,69169,3287,72600,153,98998,370,99528,37,9498,60,9596,44,10330,74,10449,14,4116,37,4166,18,6724,97,6835,5,1659,14,1679,9,3081,5843,8932,287,134404,6499,141186
Brimbank,21301,83,39036,321,39435,37,6288,53,6380,57,7942,86,8086,22,3294,40,3355,25,6146,80,6248,0,2095,32,2131,22,2462,3893,6383,248,67265,4499,72013,87,38627,303,39015,37,5134,44,5222,64,7243,77,7381,15,3269,37,3319,21,7945,86,8056,3,2892,37,2938,18,2657,3761,6432,250,67761,4350,72359,167,77658,626,78450,74,11427,97,11598,123,15188,158,15467,36,6560,79,6673,48,14087,164,14303,5,4983,72,5065,36,5120,7656,12807,498,135022,8847,144370
Hobsons Bay,21302,59,18061,103,18226,22,3500,21,3546,31,3903,36,3976,11,1366,17,1398,12,1806,24,1845,0,380,0,384,9,790,1607,2408,141,29813,1814,31773,71,20111,101,20282,27,2981,22,3027,28,3419,32,3473,14,1379,18,1404,6,2524,34,2571,0,563,6,566,8,968,1665,2641,153,31948,1875,33973,127,38173,205,38508,48,6483,46,6572,63,7321,64,7448,18,2750,31,2805,18,4328,61,4410,0,944,4,948,12,1756,3276,5047,294,61756,3691,65742
Maribyrnong,21303,88,22621,89,22801,25,2223,23,2270,22,2417,22,2462,14,902,11,931,12,1470,21,1500,3,565,6,581,11,886,2176,3079,178,31083,2348,33612,86,22513,106,22704,19,1710,13,1738,29,2086,19,2128,10,941,9,955,3,2117,22,2145,0,793,8,807,8,812,2134,2950,145,30965,2312,33423,177,45130,195,45505,39,3933,37,4005,48,4504,39,4593,21,1843,20,1882,19,3586,43,3643,3,1361,16,1383,21,1702,4311,6031,325,62051,4660,67041
Melton - Bacchus Marsh,21304,124,26133,145,26400,52,6896,60,7012,98,8862,63,9025,37,3326,35,3406,34,2524,25,2586,3,501,3,514,80,1968,2806,4861,434,50218,3141,53795,166,30628,166,30965,66,6221,47,6336,112,7593,73,7775,40,2907,32,2976,33,2958,53,3042,0,660,8,667,52,1751,2879,4678,467,52716,3258,56439,291,56764,312,57367,121,13125,108,13349,209,16454,136,16796,84,6227,68,6381,62,5486,75,5628,3,1164,14,1181,132,3716,5686,9537,899,102933,6394,110230
