SA3_MAIN11,No_IC_DS_Separate_house,No_IC_DS_SemD_ro_tr_h_th,No_IC_DS_Flat_Unit_or_Apart,No_IC_DS_Other_dwelling,No_IC_DS_Not_stated,No_IC_Total,Tof_IC_BrdB_DS_Separate_house,Tof_IC_BrdB_DS_SemD_ro_tr_h_t,Tof_IC_BrdB_DS_Flt_Unt_or_Apt,Tof_IC_BrdB_DS_Other_dwelling,Tof_IC_BrdB_DS_Not_stated,Tof_IC_BrdB_Total,Tof_IC_DU_DS_Separate_house,Tof_IC_DU_DS_SemD_ro_tr_h_th,Tof_IC_DU_DS_Flt_Unt_or_Aprt,Tof_IC_DU_DS_Other_dwelling,Tof_IC_DU_DS_Not_stated,Tof_IC_D_up_Total,Tof_IC_Oth_DS_Separate_house,Tof_IC_Oth_DS_SemD_ro_tr_h_th,Tof_IC_Ot_DS_Flt_Unt_or_Aprt,Tof_IC_Oth_DS_Other_dwelling,Tof_IC_Oth_DS_Not_stated,Tof_IC_Other_Total,Tof_IC_Tot_DS_Separate_house,Tof_IC_Tot_DS_SemD_ro_tr_h_th,Tof_IC_Tot_DS_Flt_Unt_or_Apt,Tof_IC_Tot_DS_Other_dwelling,Tof_IC_Tot_DS_Not_stated,Tof_IC_Tot_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_Unit_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_Unit_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total,SA3_NAME11
20604,214,704,2727,17,8,3670,1634,5298,24736,59,22,31749,39,137,793,3,0,972,82,340,2064,5,0,2491,1755,5775,27593,67,22,35212,53,187,839,5,4,1088,2022,6666,31159,89,34,39970,Melbourne City
20605,830,1104,3758,19,3,5714,5103,6587,18905,186,9,30790,146,227,792,5,3,1173,246,474,2496,14,0,3230,5495,7288,22193,205,12,35193,180,230,744,5,4,1163,6505,8622,26695,229,19,42070,Port Phillip
20901,5947,892,945,10,0,7794,26581,2993,2451,29,10,32064,978,142,107,4,0,1231,816,200,252,4,0,1272,28375,3335,2810,37,10,34567,1056,134,143,5,0,1338,35378,4361,3898,52,10,43699,Banyule
20902,6153,983,1344,21,0,8501,14479,2610,2980,90,9,20168,529,116,136,4,0,785,717,209,302,11,0,1239,15725,2935,3418,105,9,22192,996,187,282,10,0,1475,22874,4105,5044,136,9,32168,Darebin - North
20903,1649,135,109,19,3,1915,16399,367,213,37,6,17022,562,13,10,0,0,585,414,29,18,7,0,468,17375,409,241,44,6,18075,530,19,12,0,0,561,19554,563,362,63,9,20551,Nillumbik - Kinglake
20904,9392,597,682,21,3,10695,34315,2293,1143,39,5,37795,1282,76,65,0,0,1423,1722,198,127,9,0,2056,37319,2567,1335,48,5,41274,1768,122,105,0,0,1995,48479,3286,2122,69,8,53964,Whittlesea - Wallan
21001,4033,355,244,8,0,4640,11526,1052,829,23,5,13435,446,48,27,0,0,521,431,64,78,0,0,573,12403,1164,934,23,5,14529,621,57,39,4,0,721,17057,1576,1217,35,5,19890,Keilor
21002,1057,21,102,20,0,1200,6633,87,90,17,3,6830,343,0,12,4,0,359,251,8,8,0,0,267,7227,95,110,21,3,7456,266,4,10,3,0,283,8550,120,222,44,3,8939,Macedon Ranges
21003,5327,852,618,11,0,6808,11288,2471,1423,40,9,15231,485,89,61,0,0,635,496,226,138,4,0,864,12269,2786,1622,44,9,16730,760,178,128,3,6,1075,18356,3816,2368,58,15,24613,Moreland - North
21004,1520,76,293,5,0,1894,8989,203,374,9,0,9575,353,10,20,0,0,383,424,25,43,0,0,492,9766,238,437,9,0,10450,313,12,42,0,0,367,11599,326,772,14,0,12711,Sunbury
21005,6579,681,433,108,10,7811,24333,2933,742,92,20,28120,939,103,34,5,0,1081,1122,184,74,18,0,1398,26394,3220,850,115,20,30599,1553,183,91,15,0,1842,34526,4084,1374,238,30,40252,Tullamarine - Broadmeadows
21101,5664,1255,599,84,0,7602,36234,2646,1217,75,6,40178,1106,145,59,5,0,1315,1101,195,100,8,3,1407,38441,2986,1376,88,9,42900,1301,171,80,12,0,1564,45406,4412,2055,184,9,52066,Knox
21102,649,143,8,6,0,806,6296,373,51,10,0,6730,220,18,3,0,0,241,152,20,5,4,0,181,6668,411,59,14,0,7152,196,22,3,0,0,221,7513,576,70,20,0,8179,Manningham - East
21103,3841,1908,422,13,0,6184,23463,4033,1158,27,5,28686,787,188,60,3,0,1038,737,434,105,3,0,1279,24987,4655,1323,33,5,31003,736,260,57,4,0,1057,29564,6823,1802,50,5,38244,Maroondah
21104,2483,636,389,3,3,3514,13082,1808,1017,10,8,15925,417,77,45,3,0,542,322,88,76,0,0,486,13821,1973,1138,13,8,16953,440,104,65,0,0,609,16744,2713,1592,16,11,21076,Whitehorse - East
21105,6678,519,651,97,3,7948,35614,1067,889,133,7,37710,1649,67,59,8,0,1783,1288,73,109,17,5,1492,38551,1207,1057,158,12,40985,1303,86,86,10,0,1485,46532,1812,1794,265,15,50418,Yarra Ranges
21201,3463,359,280,92,3,4197,17279,513,392,70,6,18260,778,33,30,0,0,841,883,75,42,12,0,1012,18940,621,464,82,6,20113,681,47,38,12,0,778,23084,1027,782,186,9,25088,Cardinia
21202,4957,444,543,47,3,5994,28228,1194,824,33,8,30287,998,50,52,4,0,1104,1021,91,59,10,0,1181,30247,1335,935,47,8,32572,1280,81,114,5,0,1480,36484,1860,1592,99,11,40046,Casey - North
21203,5025,305,583,18,0,5931,28188,1217,733,19,0,30157,1135,50,42,0,0,1227,1462,65,70,3,0,1600,30785,1332,845,22,0,32984,1362,61,95,0,0,1518,37172,1698,1523,40,0,40433,Casey - South
21204,9077,1264,3191,363,3,13898,27020,3431,6090,199,14,36754,1030,142,323,27,3,1525,1129,233,534,39,0,1935,29179,3806,6947,265,17,40214,1910,257,690,73,0,2930,40166,5327,10828,701,20,57042,Dandenong
21205,7344,918,954,11,5,9232,34148,4705,4023,63,25,42964,1190,147,153,0,0,1490,918,208,212,0,0,1338,36256,5060,4388,63,25,45792,1324,205,212,5,0,1746,44924,6183,5554,79,30,56770,Monash
21301,11564,704,1336,34,0,13638,31833,1688,2349,48,11,35929,1225,53,109,0,4,1391,1578,145,275,5,0,2003,34636,1886,2733,53,15,39323,2420,142,287,3,0,2852,48620,2732,4356,90,15,55813,Brimbank
20606,736,561,1899,8,3,3207,5284,3577,9232,52,15,18160,156,136,372,0,0,664,208,233,1252,7,0,1700,5648,3946,10856,59,15,20524,140,114,426,0,0,680,6524,4621,13181,67,18,24411,Stonnington - West
20607,982,1551,2044,24,3,4604,5217,9917,7478,173,21,22806,141,297,340,7,3,788,325,706,1015,5,3,2054,5683,10920,8833,185,27,25648,175,314,495,10,0,994,6840,12785,11372,219,30,31246,Yarra
20701,3877,1059,1861,21,5,6823,30052,6472,8899,181,18,45622,901,264,340,3,3,1511,613,311,922,19,3,1868,31566,7047,10161,203,24,49001,834,195,373,7,0,1409,36277,8301,12395,231,29,57233,Boroondara
20702,3897,627,460,7,0,4991,18685,2887,1498,13,3,23086,671,97,65,0,0,833,462,133,90,0,0,685,19818,3117,1653,13,3,24604,668,116,72,0,0,856,24383,3860,2185,20,3,30451,Manningham - West
20703,3930,1149,831,0,0,5910,19538,3914,2348,36,11,25847,636,187,141,0,0,964,523,186,173,0,0,882,20697,4287,2662,36,11,27693,688,174,179,0,0,1041,25315,5610,3672,36,11,34644,Whitehorse - West
20801,2673,953,1053,19,5,4703,18651,4045,2969,84,17,25766,608,177,148,4,0,937,431,208,295,3,0,937,19690,4430,3412,91,17,27640,583,162,182,0,0,927,22946,5545,4647,110,22,33270,Bayside
20804,878,307,644,4,0,1833,6578,1773,3111,65,6,11533,169,57,128,4,0,358,151,90,326,3,0,570,6898,1920,3565,72,6,12461,214,57,124,4,0,399,7990,2284,4333,80,6,14693,Stonnington - East
20802,4658,1449,2411,37,5,8560,22905,6835,9220,188,27,39175,688,236,396,6,0,1326,616,346,815,21,3,1801,24209,7417,10431,215,30,42302,865,296,468,12,0,1641,29732,9162,13310,264,35,52503,Glen Eira
20803,4347,1514,1887,133,3,7884,20431,5197,4062,168,7,29865,732,241,210,6,3,1192,738,354,410,28,0,1530,21901,5792,4682,202,10,32587,796,259,350,15,0,1420,27044,7565,6919,350,13,41891,Kingston
21302,4738,680,974,71,0,6463,15584,2722,1698,93,7,20104,665,110,88,3,0,866,690,209,230,17,0,1146,16939,3041,2016,113,7,22116,709,114,167,20,0,1010,22386,3835,3157,204,7,29589,Hobsons Bay
21303,3349,633,1474,20,0,5476,11495,2821,3570,69,27,17982,396,81,132,8,0,617,634,218,440,8,0,1300,12525,3120,4142,85,27,19899,617,137,309,3,7,1073,16491,3890,5925,108,34,26448,Maribyrnong
21304,5348,602,496,77,3,6526,27332,1579,546,53,3,29513,1087,73,46,3,0,1209,1423,127,59,21,0,1630,29842,1779,651,77,3,32352,1259,109,72,19,4,1463,36449,2490,1219,173,10,40341,Melton - Bacchus Marsh
21305,6890,555,686,66,0,8197,36877,2050,1234,56,8,40225,1368,76,76,0,0,1520,2248,176,176,8,0,2608,40493,2302,1486,64,8,44353,1554,115,126,11,0,1806,48937,2972,2298,141,8,54356,Wyndham
21401,6187,886,1582,185,0,8840,29032,1915,2433,155,7,33542,1095,92,161,11,0,1359,1383,214,293,38,5,1933,31510,2221,2887,204,12,36834,1324,133,239,30,4,1730,39021,3240,4708,419,16,47404,Frankston
21402,8219,1767,999,267,8,11260,33183,2539,1141,217,10,37090,1715,191,92,19,0,2017,1513,190,143,19,0,1865,36411,2920,1376,255,10,40972,1453,257,171,34,4,1919,46083,4944,2546,556,22,54151,Mornington Peninsula
21501,6446,344,534,71,0,7395,12865,226,307,107,6,13511,912,21,24,0,0,957,750,29,59,14,0,852,14527,276,390,121,6,15320,732,32,76,43,0,883,21705,652,1000,235,6,23598,Grampians
21502,4280,453,711,179,3,5626,10262,410,503,93,5,11273,546,12,41,9,0,608,654,56,88,23,0,821,11462,478,632,125,5,12702,673,72,136,41,0,922,16415,1003,1479,345,8,19250,Mildura
21503,4076,159,418,114,3,4770,7391,116,248,88,11,7854,506,14,21,3,0,544,412,21,39,18,0,490,8309,151,308,109,11,8888,566,20,50,46,0,682,12951,330,776,269,14,14340,Murray River - Swan Hill
21601,3267,198,498,72,3,4038,7624,160,357,62,9,8212,490,9,34,6,0,539,444,28,49,4,0,525,8558,197,440,72,9,9276,442,19,72,8,0,541,12267,414,1010,152,12,13855,Campaspe
21602,2663,147,409,102,3,3324,5839,122,216,63,10,6250,351,12,16,3,0,382,291,12,39,6,0,348,6481,146,271,72,10,6980,356,19,58,13,0,446,9500,312,738,187,13,10750,Moira
21603,4477,270,845,185,4,5781,12286,345,667,135,13,13446,647,22,42,5,0,716,697,48,96,23,0,864,13630,415,805,163,13,15026,712,40,145,37,0,934,18819,725,1795,385,17,21741,Shepparton
21701,3625,135,338,45,0,4143,8125,167,204,55,4,8555,474,12,10,4,0,500,480,17,35,11,0,543,9079,196,249,70,4,9598,453,16,40,14,0,523,13157,347,627,129,4,14264,Glenelg - Southern Grampians
21702,7434,495,923,89,0,8941,17876,592,666,117,10,19261,1029,35,40,3,0,1107,1138,80,130,13,0,1361,20043,707,836,133,10,21729,956,60,135,33,0,1184,28433,1262,1894,255,10,31854,Warrnambool - Otway Ranges
29797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
29999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Vic.)
30101,2472,574,278,80,0,3404,17046,1275,398,71,3,18793,502,73,20,3,0,598,571,103,46,10,3,733,18119,1451,464,84,6,20124,526,73,46,6,0,651,21117,2098,788,170,6,24179,Capalaba
30102,3155,1037,262,41,0,4495,18359,1382,426,59,5,20231,701,98,26,3,0,828,772,118,52,3,0,945,19832,1598,504,65,5,22004,696,159,34,14,0,903,23683,2794,800,120,5,27402,Cleveland - Stradbroke
30103,2643,626,493,78,0,3840,15238,1661,567,105,8,17579,424,68,38,5,0,535,610,162,54,31,0,857,16272,1891,659,141,8,18971,574,109,83,7,0,773,19489,2626,1235,226,8,23584,Wynnum - Manly
30201,1262,398,113,0,0,1773,9410,974,261,4,0,10649,274,36,17,0,0,327,252,70,38,0,0,360,9936,1080,316,4,0,11336,288,46,13,0,0,347,11486,1524,442,4,0,13456,Bald Hills - Everton Park
30202,3307,624,898,145,0,4974,14660,1602,2195,76,0,18533,457,68,99,3,0,627,572,120,256,18,0,966,15689,1790,2550,97,0,20126,590,119,180,59,0,948,19586,2533,3628,301,0,26048,Chermside
30203,1543,187,674,3,0,2407,6809,688,2184,10,4,9695,224,16,91,0,0,331,288,65,279,3,0,635,7321,769,2554,13,4,10661,274,38,118,3,0,433,9138,994,3346,19,4,13501,Nundah
30204,2638,571,485,107,6,3807,11829,1443,690,68,13,14043,418,70,42,7,0,537,560,154,62,13,0,789,12807,1667,794,88,13,15369,507,100,77,16,0,700,15952,2338,1356,211,19,19876,Sandgate
30302,1804,456,1790,3,3,4056,11601,2053,5765,31,13,19463,253,67,226,0,3,549,470,188,572,0,0,1230,12324,2308,6563,31,16,21242,412,89,316,0,0,817,14540,2853,8669,34,19,26115,Holland Park - Yeronga
30303,2435,342,411,188,0,3376,14241,2161,876,165,5,17448,380,54,50,17,0,501,447,97,85,40,0,669,15068,2312,1011,222,5,18618,534,82,74,28,3,721,18037,2736,1496,438,8,22715,Mt Gravatt
30304,1650,107,415,5,0,2177,8321,654,769,8,5,9757,222,20,35,5,0,282,289,38,84,0,0,411,8832,712,888,13,5,10450,322,56,103,0,0,481,10804,875,1406,18,5,13108,Nathan
30305,1610,283,86,6,0,1985,11702,1435,307,17,3,13464,382,52,10,0,0,444,464,108,19,0,0,591,12548,1595,336,17,3,14499,428,79,44,31,0,582,14586,1957,466,54,3,17066,Rocklea - Acacia Ridge
30701,3872,90,319,146,14,4441,8508,160,258,126,28,9080,454,8,14,6,0,482,537,17,50,13,0,617,9499,185,322,145,28,10179,531,8,52,45,0,636,13902,283,693,336,42,15256,Darling Downs (West) - Maranoa
30702,3596,67,189,75,4,3931,8337,58,147,64,23,8629,453,0,11,3,0,467,516,6,24,10,0,556,9306,64,182,77,23,9652,444,7,29,21,0,501,13346,138,400,173,27,14084,Darling Downs - East
30703,3640,118,346,45,3,4152,8267,134,240,62,16,8719,558,6,20,4,0,588,511,21,42,10,3,587,9336,161,302,76,19,9894,445,12,30,28,0,515,13421,291,678,149,22,14561,Granite Belt
30801,1266,45,151,164,3,1629,5805,171,358,178,19,6531,192,6,12,13,3,226,374,26,53,44,0,497,6371,203,423,235,22,7254,240,10,19,41,3,313,7877,258,593,440,28,9196,Central Highlands (Qld)
30802,3702,171,392,283,4,4552,15808,407,769,311,18,17313,682,21,39,16,5,763,811,36,122,39,0,1008,17301,464,930,366,23,19084,795,17,58,56,3,929,21798,652,1380,705,30,24565,Gladstone - Biloela
30803,7351,467,1123,254,3,9198,22915,535,1286,284,20,25040,1146,39,75,22,0,1282,1193,67,163,39,3,1465,25254,641,1524,345,23,27787,1218,92,197,42,3,1552,33823,1200,2844,641,29,38537,Rockhampton
30306,1487,293,48,44,0,1872,10220,1680,104,34,4,12042,271,44,11,0,0,326,313,101,4,5,0,423,10804,1825,119,39,4,12791,385,66,23,13,0,487,12676,2184,190,96,4,15150,Sunnybank
30401,716,76,36,0,0,828,8711,457,37,0,4,9209,232,11,0,0,0,243,219,32,3,0,0,254,9162,500,40,0,4,9706,206,17,16,0,0,239,10084,593,92,0,4,10773,Centenary
30402,755,135,29,3,0,922,11791,532,82,3,0,12408,321,29,0,0,0,350,249,9,3,3,0,264,12361,570,85,6,0,13022,259,14,8,0,0,281,13375,719,122,9,0,14225,Kenmore - Brookfield - Moggill
30403,828,144,681,4,0,1657,7494,1481,5112,13,10,14110,189,39,158,0,0,386,202,81,324,0,0,607,7885,1601,5594,13,10,15103,178,33,150,0,0,361,8891,1778,6425,17,10,17121,Sherwood - Indooroopilly
30404,1602,256,340,0,0,2198,11800,810,746,8,0,13364,297,46,32,0,0,375,390,59,87,0,0,536,12487,915,865,8,0,14275,344,22,62,0,0,428,14433,1193,1267,8,0,16901,The Gap - Enoggera
30501,628,116,2077,14,8,2843,3701,938,13173,48,33,17893,90,18,440,0,0,548,216,104,1517,16,0,1853,4007,1060,15130,64,33,20294,156,43,606,8,3,816,4791,1219,17813,86,44,23953,Brisbane Inner
30502,897,259,565,7,0,1728,7088,1860,2402,18,4,11372,153,56,109,3,0,321,308,159,295,3,0,765,7549,2075,2806,24,4,12458,233,52,101,0,0,386,8679,2386,3472,31,4,14572,Brisbane Inner - East
30503,1614,306,1952,6,3,3881,12451,2106,8789,45,18,23409,282,49,376,0,0,707,462,165,1022,0,3,1652,13195,2320,10187,45,21,25768,372,70,394,0,0,836,15181,2696,12533,51,24,30485,Brisbane Inner - North
30504,1089,101,721,7,0,1918,10691,1068,4657,46,11,16473,222,31,134,3,0,390,378,80,488,8,0,954,11291,1179,5279,57,11,17817,317,30,163,6,0,516,12697,1310,6163,70,11,20251,Brisbane Inner - West
30601,1222,217,463,30,0,1932,10991,884,1743,82,5,13705,374,39,82,6,0,501,457,82,218,7,0,764,11822,1005,2043,95,5,14970,345,47,92,8,3,495,13389,1269,2598,133,8,17397,Cairns - North
30602,4147,882,2276,157,13,7475,16638,1325,4513,184,40,22700,678,65,212,7,5,967,899,143,650,26,7,1725,18215,1533,5375,217,52,25392,853,160,430,30,4,1477,23215,2575,8081,404,69,34344,Cairns - South
30603,2959,92,431,181,4,3667,6264,78,384,148,6,6880,396,4,33,11,0,444,385,14,64,20,0,483,7045,96,481,179,6,7807,441,13,66,38,0,558,10445,201,978,398,10,12032,Innisfail - Cassowary Coast
30604,522,115,157,39,0,833,2023,282,308,83,5,2701,116,10,13,3,3,145,121,33,55,15,0,224,2260,325,376,101,8,3070,100,24,21,10,3,158,2882,464,554,150,11,4061,Port Douglas - Daintree
30605,3283,116,427,187,3,4016,8125,128,279,190,10,8732,513,12,29,13,0,567,433,19,40,23,0,515,9071,159,348,226,10,9814,480,13,83,38,0,614,12834,288,858,451,13,14444,Tablelands (East) - Kuranda
30901,1673,927,1459,54,4,4117,8623,2669,4733,60,9,16094,339,128,232,4,0,703,349,295,676,5,3,1328,9311,3092,5641,69,12,18125,409,162,341,8,3,923,11393,4181,7441,131,19,23165,Broadbeach - Burleigh
30902,1815,736,1521,84,6,4162,8273,2009,3079,98,15,13474,328,106,194,4,0,632,352,179,416,16,0,963,8953,2294,3689,118,15,15069,338,119,246,14,3,720,11106,3149,5456,216,24,19951,Coolangatta
30903,1792,1424,1271,216,3,4706,8156,4725,3658,177,30,16746,316,247,179,16,4,762,347,385,418,14,6,1170,8819,5357,4255,207,40,18678,425,261,236,35,3,960,11036,7042,5762,458,46,24344,Gold Coast - North
30904,770,27,18,35,3,853,4615,44,35,54,3,4751,247,0,6,8,0,261,197,0,5,0,0,202,5059,44,46,62,3,5214,164,0,3,5,0,172,5993,71,67,102,6,6239,Gold Coast Hinterland
30905,724,194,22,25,0,965,6908,1031,92,14,0,8045,280,51,5,0,0,336,222,103,14,6,0,345,7410,1185,111,20,0,8726,302,38,5,0,3,348,8436,1417,138,45,3,10039,Mudgeeraba - Tallebudgera
30906,1590,784,157,249,0,2780,12989,2768,281,211,0,16249,431,128,10,17,4,590,530,258,27,20,0,835,13950,3154,318,248,4,17674,543,156,35,30,0,764,16083,4094,510,527,4,21218,Nerang
30907,1953,723,155,143,0,2974,20166,3344,725,201,7,24443,720,146,41,15,0,922,963,341,84,29,4,1421,21849,3831,850,245,11,26786,807,135,25,19,0,986,24609,4689,1030,407,11,30746,Ormeau - Oxenford
31202,5770,530,984,299,10,7593,23805,1080,1501,348,33,26767,1055,39,73,27,0,1194,1100,154,203,64,0,1521,25960,1273,1777,439,33,29482,1113,109,208,54,3,1487,32843,1912,2969,792,46,38562,Mackay
31203,733,39,291,69,3,1135,3328,220,663,126,9,4346,180,7,24,3,0,214,175,29,135,17,3,359,3683,256,822,146,12,4919,160,12,60,28,0,260,4576,307,1173,243,15,6314,Whitsunday
31301,2301,321,397,246,0,3265,6919,529,488,147,0,8083,370,48,30,8,0,456,290,27,52,13,0,382,7579,604,570,168,0,8921,316,40,54,29,0,439,10196,965,1021,443,0,12625,Bribie - Beachmere
31302,2778,515,391,52,6,3742,12681,596,363,39,8,13687,544,34,27,3,0,608,775,74,53,13,0,915,14000,704,443,55,8,15210,555,95,57,12,0,719,17333,1314,891,119,14,19671,Caboolture
31303,887,14,10,17,0,928,2429,16,11,14,3,2473,167,0,3,0,0,170,127,3,3,3,0,136,2723,19,17,17,3,2779,128,0,3,5,0,136,3738,33,30,39,3,3843,Caboolture Hinterland
31304,2608,318,68,98,3,3095,13107,830,209,55,6,14207,548,28,4,3,0,583,559,90,23,11,0,683,14214,948,236,69,6,15473,559,50,18,12,0,639,17381,1316,322,179,9,19207,Narangba - Burpengary
31305,3125,801,1293,98,0,5317,11504,1159,2057,108,4,14832,449,66,124,11,0,650,519,121,227,18,0,885,12472,1346,2408,137,4,16367,564,83,172,11,0,830,16161,2230,3873,246,4,22514,Redcliffe
31401,1687,282,85,13,0,2067,21309,611,169,24,3,22116,655,36,8,0,0,699,643,58,13,0,0,714,22607,705,190,24,3,23529,537,36,14,0,0,587,24831,1023,289,37,3,26183,Hills District
31402,1529,466,175,87,7,2264,12273,1035,237,67,26,13638,387,59,7,3,0,456,664,121,43,9,0,837,13324,1215,287,79,26,14931,376,63,29,66,0,534,15229,1744,491,232,33,17729,North Lakes
31403,1429,312,241,3,0,1985,8332,712,348,9,0,9401,277,31,13,0,0,321,359,92,41,0,0,492,8968,835,402,9,0,10214,315,54,38,0,0,407,10712,1201,681,12,0,12606,Strathpine
31501,2674,119,338,132,14,3277,3029,217,335,156,16,3753,200,13,19,6,0,238,449,25,53,18,5,550,3678,255,407,180,21,4541,275,18,30,38,8,369,6627,392,775,350,43,8187,Far North
31606,2278,166,76,153,0,2673,11861,275,127,178,8,12449,559,26,6,8,0,599,436,26,7,27,0,496,12856,327,140,213,8,13544,441,27,12,34,0,514,15575,520,228,400,8,16731,Sunshine Coast Hinterland
31701,8299,729,2108,136,6,11278,30421,1298,2530,88,24,34361,1385,70,143,3,0,1601,1446,131,332,15,3,1927,33252,1499,3005,106,27,37889,1284,62,315,37,0,1698,42835,2290,5428,279,33,50865,Toowoomba
31801,3952,153,399,154,3,4661,8305,130,300,169,9,8913,494,7,17,6,0,524,609,10,87,37,0,743,9408,147,404,212,9,10180,567,17,70,47,0,701,13927,317,873,413,12,15542,Charters Towers - Ayr - Ingham
31802,7551,928,2152,203,6,10840,36769,2027,4406,314,30,43546,1495,99,199,11,3,1807,1756,212,565,43,5,2581,40020,2338,5170,368,38,47934,1652,145,385,40,3,2225,49223,3411,7707,611,47,60999,Townsville
31901,6343,915,904,314,3,8479,18133,721,946,316,3,20119,923,71,55,16,0,1065,840,67,141,42,3,1093,19896,859,1142,374,6,22277,989,130,156,49,0,1324,27228,1904,2202,737,9,32080,Bundaberg
31902,4915,49,402,179,4,5549,9816,55,306,176,14,10367,606,4,18,8,6,642,610,9,41,20,0,680,11032,68,365,204,20,11689,657,11,57,63,17,805,16604,128,824,446,41,18043,Burnett
31903,3903,134,360,179,4,4580,10082,152,263,178,9,10684,772,12,27,6,0,817,595,22,48,25,0,690,11449,186,338,209,9,12191,531,17,74,37,0,659,15883,337,772,425,13,17430,Gympie - Cooloola
31904,3742,282,611,212,4,4851,11945,502,881,199,6,13533,565,31,52,7,0,655,568,49,117,19,0,753,13078,582,1050,225,6,14941,539,43,84,30,0,696,17359,907,1745,467,10,20488,Hervey Bay
31905,3798,74,472,179,0,4523,9429,95,282,136,5,9947,555,7,23,5,0,590,508,7,36,20,0,571,10492,109,341,161,5,11108,534,13,76,25,4,652,14824,196,889,365,9,16283,Maryborough
39797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
39999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Qld)
50701,3903,849,403,37,0,5192,20286,1581,810,42,5,22724,747,80,42,3,0,872,993,157,114,7,3,1274,22026,1818,966,52,8,24870,846,133,62,11,0,1052,26775,2800,1431,100,8,31114,Cockburn
50702,1463,627,512,59,0,2661,6640,1779,1020,91,8,9538,213,92,59,4,0,368,306,167,139,7,0,619,7159,2038,1218,102,8,10525,289,104,84,7,0,484,8911,2769,1814,168,8,13670,Fremantle
50703,1684,165,123,6,3,1981,6276,244,221,0,0,6741,289,11,12,0,0,312,489,28,41,3,0,561,7054,283,274,3,0,7614,343,26,23,0,0,392,9081,474,420,9,3,9987,Kwinana
50704,3473,1203,711,3,4,5394,23759,2608,1539,3,14,27923,806,150,99,0,3,1058,720,195,121,0,0,1036,25285,2953,1759,3,17,30017,760,148,114,0,4,1026,29518,4304,2584,6,25,36437,Melville
50705,4280,755,768,154,4,5961,24153,928,798,155,5,26039,988,72,63,3,0,1126,1466,128,109,14,0,1717,26607,1128,970,172,5,28882,1102,99,91,27,0,1319,31989,1982,1829,353,9,36162,Rockingham
30301,1809,460,204,66,0,2539,10528,1815,643,49,3,13038,286,71,25,0,0,382,358,199,60,3,0,620,11172,2085,728,52,3,14040,383,76,18,9,0,486,13364,2621,950,127,3,17065,Carindale
30908,1110,561,214,3,0,1888,8122,2951,1183,22,20,12298,282,135,43,0,0,460,335,303,143,0,3,784,8739,3389,1369,22,23,13542,318,109,57,3,0,487,10167,4059,1640,28,23,15917,Robina
30909,1406,716,1227,30,3,3382,8678,2316,3695,41,10,14740,243,117,166,9,0,535,369,192,376,3,0,940,9290,2625,4237,53,10,16215,387,169,305,7,0,868,11083,3510,5769,90,13,20465,Southport
30910,468,305,1392,7,6,2178,3544,1525,5056,14,23,10162,90,62,244,3,3,402,133,118,745,3,6,1005,3767,1705,6045,20,32,11569,157,65,382,0,3,607,4392,2075,7819,27,41,14354,Surfers Paradise
31001,3290,485,171,181,0,4127,12759,955,266,106,10,14096,492,51,10,12,0,565,712,81,29,10,0,832,13963,1087,305,128,10,15493,659,82,28,15,0,784,17912,1654,504,324,10,20404,Forest Lake - Oxley
31002,4298,99,109,209,5,4720,12623,64,78,155,27,12947,736,0,3,3,4,746,714,10,16,22,6,768,14073,74,97,180,37,14461,649,20,12,31,3,715,19020,193,218,420,45,19896,Ipswich Hinterland
31003,5576,603,603,71,5,6858,21435,823,508,67,3,22836,854,59,36,7,0,956,1255,105,68,4,4,1436,23544,987,612,78,7,25228,1002,82,81,16,0,1181,30122,1672,1296,165,12,33267,Ipswich Inner
31004,2615,286,160,46,0,3107,14592,774,233,19,3,15621,549,49,17,0,0,615,1116,90,16,10,0,1232,16257,913,266,29,3,17468,594,50,26,9,0,679,19466,1249,452,84,3,21254,Springfield - Redbank
31101,946,50,123,48,0,1167,2551,86,100,23,0,2760,131,3,3,3,0,140,182,10,12,3,0,207,2864,99,115,29,0,3107,140,9,15,6,0,170,3950,158,253,83,0,4444,Beaudesert
