sa3_name16,sa3_code16,pre_school_m,pre_school_f,pre_school_p,infants_primary_government_m,infants_primary_government_f,infants_primary_government_p,infants_primary_catholic_m,infants_primary_catholic_f,infants_primary_catholic_p,infnts_primry_othr_non_govt_m,infnts_primry_othr_non_govt_f,infnts_primry_othr_non_govt_p,infants_primary_tot_m,infants_primary_tot_f,infants_primary_tot_p,secondary_government_m,secondary_government_f,secondary_government_p,secondary_catholic_m,secondary_catholic_f,secondary_catholic_p,secondary_other_non_govt_m,secondary_other_non_govt_f,secondary_other_non_govt_p,secondary_tot_m,secondary_tot_f,secondary_tot_p,tec_furt_educ_inst_ft_15_24_m,tec_furt_educ_inst_ft_15_24_f,tec_furt_educ_inst_ft_15_24_p,tec_furt_educ_inst_ft_25_ov_m,tec_furt_educ_inst_ft_25_ov_f,tec_furt_educ_inst_ft_25_ov_p,tec_furt_educ_inst_pt_15_24_m,tec_furt_educ_inst_pt_15_24_f,tec_furt_educ_inst_pt_15_24_p,tec_furt_educ_inst_pt_25_ov_m,tec_furt_educ_inst_pt_25_ov_f,tec_furt_educ_inst_pt_25_ov_p,tec_furt_educ_inst_f_pt_ns_m,tec_furt_educ_inst_f_pt_ns_f,tec_furt_educ_inst_f_pt_ns_p,tec_furt_educ_inst_tot_m,tec_furt_educ_inst_tot_f,tec_furt_educ_inst_tot_p,uni_othr_tert_inst_ft_15_24_m,uni_othr_tert_inst_ft_15_24_f,uni_othr_tert_inst_ft_15_24_p,uni_othr_tert_inst_ft_25_ov_m,uni_othr_tert_inst_ft_25_ov_f,uni_othr_tert_inst_ft_25_ov_p,uni_othr_tert_inst_pt_15_24_m,uni_othr_tert_inst_pt_15_24_f,uni_othr_tert_inst_pt_15_24_p,uni_othr_tert_inst_pt_25_ov_m,uni_othr_tert_inst_pt_25_ov_f,uni_othr_tert_inst_pt_25_ov_p,uni_othr_tert_inst_f_pt_ns_m,uni_othr_tert_inst_f_pt_ns_f,uni_othr_tert_inst_f_pt_ns_p,uni_other_tert_instit_tot_m,uni_other_tert_instit_tot_f,uni_other_tert_instit_tot_p,othr_typ_educ_inst_ft_stud_m,othr_typ_educ_inst_ft_stud_f,othr_typ_educ_inst_ft_stud_p,othr_typ_educ_inst_pt_stud_m,othr_typ_educ_inst_pt_stud_f,othr_typ_educ_inst_pt_stud_p,oth_typ_ed_instit_f_pt_ns_m,oth_typ_ed_instit_f_pt_ns_f,oth_typ_ed_instit_f_pt_ns_p,other_type_educ_instit_tot_m,other_type_educ_instit_tot_f,other_type_educ_instit_tot_p,type_educanl_institution_ns_m,type_educanl_institution_ns_f,type_educanl_institution_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p
Sydney Inner City,11703,711,673,1391,1727,1751,3482,321,373,692,408,360,769,2450,2485,4938,893,962,1861,348,587,930,560,528,1091,1798,2080,3879,621,665,1288,898,1208,2109,296,289,584,933,1081,2016,24,18,41,2772,3265,6042,7634,10304,17934,3461,3544,7003,399,550,950,2263,2478,4745,35,51,79,13793,16920,30709,1559,2147,3702,1290,1666,2958,19,46,60,2873,3849,6724,21478,15930,37403,11599,12324,23918,57476,57527,115001
Marrickville - Sydenham - Petersham,11702,380,333,715,1287,1163,2445,263,240,499,116,102,222,1666,1504,3171,666,577,1241,193,319,518,226,124,345,1082,1022,2102,58,94,151,114,149,260,109,57,174,220,284,508,5,3,7,510,593,1101,677,842,1515,497,578,1074,101,153,259,478,772,1249,4,3,12,1748,2361,4112,125,109,229,150,209,358,3,0,3,280,316,597,2168,2064,4233,274,314,590,8113,8508,16618
Eastern Suburbs - North,11801,1190,1021,2215,2114,2040,4150,456,551,1005,1604,1472,3070,4170,4062,8230,431,435,861,460,527,983,2176,2233,4413,3063,3198,6258,84,111,198,135,225,361,142,116,259,388,516,898,6,6,10,750,977,1728,1392,1682,3071,485,739,1222,215,246,466,880,1252,2133,18,16,37,2992,3935,6930,155,220,376,451,676,1127,7,13,14,616,905,1520,6051,6763,12813,1380,1485,2866,20218,22344,42565
Eastern Suburbs - South,11802,1124,1072,2194,2381,2324,4699,1306,1223,2537,882,861,1739,4564,4407,8979,958,956,1917,1289,1244,2528,979,981,1954,3224,3174,6398,162,182,340,187,281,472,270,136,406,430,571,1000,16,13,26,1069,1179,2250,6061,5984,12041,1988,1659,3647,277,284,561,844,1311,2154,31,29,59,9197,9277,18467,235,300,537,353,527,879,4,9,12,592,834,1427,6826,5376,12202,1492,2014,3508,28091,27341,55430
Bankstown,11901,1570,1407,2971,4788,4346,9142,1830,1748,3575,1377,1429,2812,7999,7529,15528,3612,3632,7252,1571,1448,3020,1001,959,1958,6187,6035,12229,320,324,639,259,596,854,602,205,809,405,695,1103,27,13,38,1611,1835,3440,2530,2922,5459,708,731,1432,345,386,727,511,710,1219,23,28,45,4117,4770,8885,270,462,732,289,642,929,13,19,29,569,1126,1697,5612,5753,11364,650,848,1499,28316,29298,57613
Canterbury,11902,1135,984,2127,3711,3324,7037,1342,1317,2655,752,765,1518,5806,5402,11210,2462,2512,4973,1315,1181,2495,608,522,1127,4385,4213,8592,305,276,576,358,492,845,348,145,498,361,594,957,23,16,36,1398,1520,2919,2405,2223,4629,1298,890,2188,256,243,495,491,552,1041,35,28,66,4483,3933,8414,475,488,961,336,603,935,19,22,42,831,1108,1939,4509,4470,8971,681,868,1542,23223,22499,45720
Hurstville,11903,1015,909,1926,3359,3132,6491,918,959,1878,357,391,747,4639,4488,9121,2460,2341,4807,1064,1003,2071,543,668,1214,4078,4016,8090,231,234,464,224,371,594,324,127,449,319,492,810,3,9,15,1101,1225,2327,2899,2906,5807,1088,1110,2195,265,252,518,499,624,1126,19,25,45,4770,4917,9693,293,343,634,297,519,818,7,3,12,593,868,1460,2844,3075,5920,894,1341,2239,19935,20834,40772
Kogarah - Rockdale,11904,1035,974,2006,3202,2870,6069,1062,1113,2171,448,453,899,4710,4433,9141,2118,2057,4176,1062,963,2030,438,498,934,3619,3522,7141,282,259,547,295,448,747,361,182,544,516,618,1131,12,12,23,1465,1523,2990,2613,2644,5261,1339,1279,2623,232,252,485,652,781,1441,27,25,53,4866,4989,9855,420,478,897,495,677,1175,17,14,34,939,1173,2108,4608,4680,9286,994,1413,2411,22240,22703,44943
Canada Bay,12001,713,633,1346,1755,1689,3447,969,920,1889,317,335,647,3038,2937,5981,778,677,1451,896,880,1773,438,507,944,2111,2062,4175,115,114,232,128,175,307,141,65,200,195,321,512,3,3,11,583,671,1256,1514,1848,3362,629,638,1261,184,168,353,504,665,1166,8,26,31,2840,3344,6178,129,155,290,187,314,498,3,8,8,325,476,800,2212,2510,4719,553,829,1382,12375,13464,25839
Leichhardt,12002,556,525,1085,1500,1449,2944,421,364,788,283,259,537,2198,2072,4274,469,416,884,306,374,677,436,364,801,1208,1153,2363,66,51,115,54,86,138,77,41,116,132,213,346,3,3,10,326,391,722,613,721,1335,228,379,609,92,126,215,460,736,1198,0,8,9,1400,1964,3363,32,48,75,116,202,320,0,0,4,150,256,400,1983,2017,3999,217,322,542,8041,8702,16744
Strathfield - Burwood - Ashfield,12003,1004,966,1975,3018,3004,6023,1108,1098,2201,491,495,980,4612,4594,9201,1938,2195,4133,1222,1012,2233,867,831,1696,4028,4037,8069,363,324,693,397,574,968,266,157,421,487,689,1181,3,10,14,1520,1759,3272,4052,4149,8201,1839,1706,3550,370,324,689,920,1234,2150,34,35,68,7217,7443,14659,573,604,1177,477,697,1177,8,18,26,1065,1315,2380,4760,4656,9419,1218,1620,2840,25420,26389,51807
Chatswood - Lane Cove,12101,1206,1092,2297,3338,3314,6655,882,727,1608,660,617,1274,4881,4654,9535,1133,1372,2501,1399,811,2207,1255,1070,2324,3790,3248,7036,108,137,242,168,284,454,110,83,194,286,547,830,0,7,9,680,1052,1729,2004,2170,4177,651,816,1465,238,236,474,751,1004,1751,14,15,29,3659,4237,7900,169,239,411,252,449,705,4,7,14,432,700,1135,2626,2934,5567,1294,1731,3019,18570,19657,38222
Hornsby,12102,902,841,1740,2959,2857,5819,594,545,1135,344,295,641,3903,3698,7598,1679,1777,3454,586,810,1398,551,438,986,2822,3019,5841,105,104,212,92,174,273,283,90,378,276,499,770,3,3,4,763,876,1636,1077,1234,2308,362,383,741,162,147,313,397,640,1036,7,6,16,2001,2414,4413,70,92,164,144,249,395,0,3,4,216,343,556,1353,1525,2881,449,693,1144,12412,13409,25815
Ku-ring-gai,12103,1213,1098,2311,3989,3730,7722,691,608,1298,1517,1390,2903,6193,5727,11914,1988,1624,3614,797,1002,1800,2888,2854,5744,5665,5482,11151,94,92,186,80,132,219,178,89,270,222,430,652,3,6,12,580,757,1333,2382,2656,5038,405,495,903,314,256,575,630,909,1537,15,19,29,3748,4337,8088,71,83,159,211,402,614,0,0,0,286,487,773,1956,2383,4335,856,1180,2035,20494,21441,41936
North Sydney - Mosman,12104,722,727,1443,1764,1694,3455,378,445,825,677,565,1241,2820,2706,5526,544,628,1177,408,433,844,1035,923,1958,1992,1986,3976,65,76,138,66,162,222,69,60,125,230,422,645,3,9,11,428,718,1149,1003,1174,2175,390,626,1013,159,189,352,788,1158,1948,9,15,20,2346,3159,5510,79,135,217,199,400,597,0,4,4,279,533,816,3151,3502,6649,702,889,1592,12431,14225,26658
Manly,12201,454,435,891,1246,1265,2514,291,262,555,259,263,520,1801,1792,3593,333,352,684,394,370,765,501,524,1032,1227,1248,2476,27,30,55,34,59,94,51,37,88,97,170,267,0,3,7,213,302,515,458,547,1010,114,173,289,83,81,164,258,309,568,3,5,12,914,1121,2032,38,47,86,115,212,331,0,3,3,154,267,421,1332,1433,2760,374,417,788,6461,7010,13470
Pittwater,12202,662,588,1251,2105,2043,4142,310,314,618,415,380,799,2827,2734,5563,1066,1064,2128,500,563,1067,579,530,1111,2147,2156,4298,69,57,123,24,41,66,264,106,370,151,215,367,0,0,3,516,415,932,566,636,1203,101,157,262,109,105,210,207,375,585,3,10,7,983,1285,2266,32,37,64,74,209,286,0,0,0,109,244,350,1283,1494,2786,248,257,498,8770,9177,17948
Warringah,12203,1638,1455,3095,5243,4944,10186,1140,1034,2171,887,774,1662,7269,6749,14023,2717,2771,5489,1645,1256,2899,1116,1014,2134,5475,5042,10523,147,143,292,198,271,466,500,252,752,489,754,1241,12,6,16,1346,1428,2775,1471,1660,3135,408,541,948,282,305,594,643,1010,1657,10,17,26,2818,3536,6355,137,164,298,327,512,838,9,3,12,468,678,1151,3380,3998,7380,618,842,1458,23014,23741,46755
Camden,12301,757,739,1502,2350,2236,4587,702,745,1447,390,366,760,3446,3352,6793,1324,1375,2703,767,755,1514,340,342,681,2431,2467,4897,70,94,164,27,69,94,378,163,539,140,254,389,3,4,4,610,583,1199,441,682,1123,91,207,305,84,124,204,209,414,617,0,5,6,826,1426,2255,28,57,93,61,179,242,0,0,0,93,236,328,1087,1278,2368,98,123,220,9343,10215,19560
Campbelltown (NSW),12302,1452,1318,2765,5660,5248,10902,1053,1041,2093,799,730,1527,7515,7016,14531,3630,3643,7276,1386,1239,2627,565,518,1080,5586,5406,10989,265,269,535,196,350,545,595,297,887,420,728,1153,18,21,32,1497,1664,3166,1569,1871,3441,515,659,1178,223,286,504,467,741,1206,15,28,44,2791,3579,6373,200,300,497,227,540,771,6,14,19,434,860,1294,5053,5613,10671,488,714,1199,24817,26168,50979
Wollondilly,12303,460,431,896,1563,1431,2988,289,293,581,253,243,496,2105,1969,4070,899,832,1731,351,331,684,263,301,564,1512,1464,2976,39,56,98,5,38,46,247,94,347,81,161,244,4,4,8,385,355,742,225,377,595,75,124,200,42,61,98,86,236,325,3,5,5,426,797,1225,17,31,50,39,115,152,0,0,0,59,148,208,1159,1173,2334,45,58,100,6146,6389,12533
Blue Mountains,12401,729,709,1445,2304,2249,4556,531,497,1026,508,442,947,3345,3186,6527,1543,1523,3064,561,467,1029,570,513,1080,2676,2507,5180,102,111,209,74,114,190,307,158,465,260,440,699,7,4,12,743,834,1576,641,759,1391,213,299,509,90,137,227,427,852,1283,4,3,14,1374,2045,3424,61,80,144,105,236,342,0,3,6,167,328,491,1624,1779,3400,401,524,926,11053,11911,22965
Blue Mountains - South,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,8
Penrith,12403,1619,1445,3060,4579,4319,8896,1313,1351,2672,716,769,1487,6615,6435,13054,2347,2480,4831,1753,1612,3364,751,655,1403,4853,4743,9595,146,224,371,102,293,399,707,333,1041,390,688,1078,14,8,26,1368,1543,2910,1033,1309,2346,380,512,895,199,296,492,441,858,1297,11,14,25,2073,2984,5054,99,141,244,178,422,605,8,12,12,287,575,863,3751,4053,7806,288,438,729,20857,22216,43076
Richmond - Windsor,12404,359,321,680,1015,899,1917,399,412,810,137,131,267,1555,1441,3000,619,596,1219,339,391,730,163,160,320,1121,1151,2268,36,75,112,17,45,66,220,102,319,114,186,299,4,3,4,393,413,803,233,381,610,86,137,227,42,81,122,96,198,291,4,3,4,459,804,1259,14,32,50,29,109,139,0,3,3,45,148,195,1880,1415,3299,49,68,115,5862,5753,11617
St Marys,12405,507,451,951,1780,1733,3513,433,446,875,186,156,341,2403,2333,4734,1154,1161,2312,491,472,958,137,169,307,1789,1796,3586,82,90,173,64,129,195,263,139,403,131,239,378,3,6,6,543,604,1149,427,497,922,133,163,295,77,118,191,117,239,357,5,3,9,756,1021,1779,56,104,155,56,151,211,0,10,7,115,264,375,1763,1889,3648,95,149,244,7974,8503,16475
Auburn,12501,611,542,1153,2072,1914,3987,521,488,1009,502,480,981,3089,2885,5976,1574,1574,3147,443,449,893,404,381,787,2422,2406,4829,240,204,441,368,395,764,212,87,304,341,367,709,10,8,13,1170,1061,2227,1971,1776,3749,1182,897,2071,205,173,380,425,422,846,15,17,32,3791,3286,7077,424,421,839,393,472,868,11,10,20,829,898,1722,5039,3436,8474,785,867,1646,17730,15382,33116
Carlingford,12502,563,586,1149,2108,1971,4080,620,586,1201,177,171,347,2903,2727,5633,1524,1414,2936,632,548,1174,330,262,595,2486,2220,4707,93,68,161,101,206,304,163,64,230,175,309,487,9,4,15,537,661,1198,1219,1286,2505,340,400,738,138,145,288,312,425,737,10,11,20,2024,2264,4293,86,111,198,142,247,386,8,3,7,231,360,592,1342,1442,2782,493,621,1112,10570,10882,21458
Merrylands - Guildford,12503,1405,1250,2653,4316,3949,8266,1812,1940,3756,708,682,1395,6839,6572,13414,2927,2770,5697,1556,1672,3226,480,507,991,4963,4949,9910,366,366,736,297,538,838,435,202,643,452,640,1096,29,30,53,1585,1785,3364,2029,2337,4364,776,740,1513,290,289,577,426,587,1015,21,19,34,3541,3966,7501,370,465,831,280,584,859,15,19,35,661,1065,1725,5621,5275,10892,506,725,1230,25116,25577,50692
Parramatta,12504,1303,1184,2488,4385,4044,8428,1002,1005,2002,232,234,471,5615,5281,10897,2344,2197,4545,807,876,1683,563,298,857,3716,3369,7085,227,170,399,237,411,647,242,134,375,392,694,1081,17,4,16,1110,1409,2523,2245,2032,4281,1192,1202,2394,255,243,502,671,842,1514,13,23,37,4384,4348,8726,368,336,710,303,579,879,10,8,17,681,920,1603,5579,5337,10909,1466,2003,3469,23861,23848,47709
Pennant Hills - Epping,12601,426,403,828,1711,1673,3389,217,227,440,177,143,316,2107,2039,4142,1177,1158,2333,237,322,556,388,317,711,1796,1797,3593,65,49,113,74,94,163,111,37,147,122,248,371,3,0,4,367,435,799,1285,1279,2558,347,347,694,120,131,252,270,336,608,9,9,18,2026,2105,4129,53,63,111,72,147,213,0,0,3,118,207,330,612,671,1283,388,500,884,7845,8151,15997
Ryde - Hunters Hill,12602,1136,1092,2225,3335,3132,6460,1173,1148,2326,475,400,870,4983,4680,9659,1868,1763,3632,1757,1156,2912,652,619,1272,4282,3542,7823,212,280,486,299,449,748,263,113,379,421,692,1113,10,9,18,1201,1547,2742,3581,3784,7364,1361,1455,2815,323,355,678,755,1003,1759,20,16,31,6038,6606,12648,205,231,431,286,494,772,3,9,12,493,730,1216,3135,3294,6437,1391,1832,3222,22654,23319,45979
Bringelly - Green Valley,12701,1000,863,1866,3229,2973,6200,1177,1203,2385,768,756,1521,5170,4930,10101,2430,2336,4769,1239,1248,2485,597,647,1239,4266,4233,8495,190,177,369,92,222,310,411,159,568,221,374,595,14,14,37,936,945,1877,1213,1644,2857,202,309,506,197,226,422,234,456,689,4,10,16,1856,2639,4493,136,182,318,157,301,458,16,6,26,307,485,794,3535,3643,7173,188,268,456,17253,18003,35259
Fairfield,12702,1233,1139,2375,5552,5100,10656,1649,1668,3314,428,415,842,7627,7183,14811,5335,4999,10332,1382,1488,2871,408,461,874,7126,6952,14077,554,470,1022,434,773,1208,565,241,810,458,741,1192,39,30,67,2049,2251,4294,2852,3491,6342,535,616,1154,396,398,795,380,518,896,23,19,46,4187,5048,9232,544,776,1324,407,868,1274,21,34,59,970,1684,2655,5272,5482,10755,493,639,1131,28950,30369,59325
Liverpool,12703,1041,951,1991,3683,3385,7069,1076,1106,2174,785,766,1550,5539,5253,10790,2499,2370,4868,1054,1037,2093,703,747,1451,4259,4151,8411,197,224,425,225,386,611,371,168,538,330,552,884,24,19,43,1142,1352,2498,1400,1756,3156,370,512,878,184,247,434,376,615,992,9,15,26,2343,3140,5485,237,285,525,226,401,632,12,6,18,476,699,1173,4893,4886,9780,459,625,1086,20155,21056,41218
Cronulla - Miranda - Caringbah,12801,1116,917,2030,3394,3103,6500,964,923,1890,196,201,396,4554,4230,8784,2175,2095,4273,924,965,1892,339,436,777,3445,3491,6940,100,148,253,61,110,173,510,169,681,309,420,724,13,9,23,988,855,1846,1037,1342,2375,235,286,525,189,229,412,447,741,1184,5,17,25,1905,2614,4519,47,80,127,162,326,490,3,14,13,213,416,630,2500,2741,5242,272,357,629,14989,15621,30617
Sutherland - Menai - Heathcote,12802,1248,1154,2400,3579,3345,6922,1261,1243,2504,340,277,614,5180,4867,10045,2324,2241,4559,1142,1105,2245,435,451,889,3902,3791,7693,112,150,261,51,96,152,594,223,812,262,418,680,10,9,17,1024,890,1918,1198,1485,2685,231,288,518,180,261,441,452,793,1244,11,13,25,2073,2844,4915,76,73,154,149,291,438,0,3,3,220,368,590,1506,1708,3217,218,285,498,15373,15914,31286
Ballarat,20101,907,863,1771,2770,2565,5336,1222,1222,2442,476,496,974,4467,4281,8747,1472,1485,2964,1266,1089,2354,715,760,1476,3454,3333,6786,186,160,340,67,120,187,239,154,396,234,318,548,11,5,19,733,763,1487,1227,1655,2885,394,552,947,117,186,308,405,749,1156,9,10,18,2162,3151,5312,124,120,244,179,315,494,4,3,9,311,437,753,3166,3518,6687,181,229,409,15379,16577,31954
Creswick - Daylesford - Ballan,20102,201,181,383,771,758,1533,263,258,515,97,98,200,1138,1114,2249,435,461,896,214,218,431,171,149,317,823,831,1651,21,24,46,10,11,28,67,41,103,58,85,143,3,7,7,165,171,333,74,126,198,46,104,144,29,27,58,66,211,283,0,3,3,213,476,690,24,37,60,50,91,137,0,0,0,68,125,191,1270,1357,2629,30,54,89,3904,4305,8206
Maryborough - Pyrenees,20103,164,175,336,773,678,1457,157,173,335,45,50,94,981,906,1888,472,444,918,128,126,256,126,127,250,729,697,1426,23,27,50,6,15,19,42,22,71,28,57,81,4,0,4,108,120,232,56,92,148,16,56,67,15,25,40,49,89,133,0,0,4,133,263,396,13,34,46,37,53,95,3,6,6,54,91,144,1346,1009,2348,17,21,46,3529,3284,6815
Bendigo,20201,797,717,1514,2617,2430,5045,1060,1008,2071,300,304,598,3980,3742,7723,1872,1790,3660,782,726,1508,390,378,770,3044,2890,5935,183,226,411,113,179,294,245,168,411,202,362,561,9,7,15,756,943,1693,833,1467,2299,226,376,604,69,126,193,265,491,756,6,10,18,1395,2472,3864,78,106,184,153,258,413,8,5,14,237,373,612,3319,3618,6937,157,201,357,13687,14947,28638
Heathcote - Castlemaine - Kyneton,20202,383,329,709,1328,1212,2538,384,372,758,190,209,405,1904,1792,3695,766,774,1542,338,345,686,300,328,634,1413,1456,2868,63,57,123,21,59,81,110,56,169,91,129,224,3,0,3,283,310,594,122,240,358,64,140,203,20,32,55,112,289,399,0,6,4,323,703,1025,28,27,56,57,145,207,0,5,8,88,184,267,2596,2094,4692,58,99,155,7044,6964,14010
Loddon - Elmore,20203,90,56,149,308,324,633,88,91,180,28,15,38,421,422,850,248,271,518,58,49,103,36,53,91,340,371,713,10,5,24,7,12,20,22,7,28,7,25,36,0,0,0,45,58,101,15,37,49,4,19,21,6,0,9,8,37,50,0,0,0,41,98,133,3,12,12,7,37,40,0,0,0,13,40,59,597,538,1136,16,18,30,1567,1600,3167
Barwon - West,20301,201,170,371,803,781,1585,51,59,113,151,117,265,1012,956,1966,340,320,657,166,197,360,232,169,401,736,685,1420,13,24,44,11,16,30,69,34,106,35,91,127,3,0,6,133,170,303,92,124,214,16,55,64,20,28,43,40,98,141,0,3,3,166,301,468,16,18,35,19,66,93,0,0,0,40,83,123,609,592,1200,12,31,47,2911,2982,5895
Geelong,20302,1541,1388,2929,4777,4562,9343,1657,1629,3288,833,813,1649,7271,7009,14280,3130,2719,5850,1427,1795,3227,1532,1395,2925,6089,5909,12003,374,435,813,178,349,529,541,316,851,504,669,1174,7,18,23,1611,1787,3393,2432,2900,5338,836,882,1718,237,330,563,590,1097,1688,11,26,36,4107,5240,9345,256,314,571,387,691,1071,13,11,28,653,1015,1666,6629,6274,12904,466,511,975,28364,29134,57494
Surf Coast - Bellarine Peninsula,20303,686,611,1295,2243,2131,4376,720,661,1378,315,304,617,3275,3097,6378,1089,925,2011,624,703,1330,569,508,1083,2286,2137,4423,91,98,188,37,87,126,210,94,300,185,232,414,6,0,3,525,519,1037,391,532,926,132,243,373,62,80,139,195,472,669,0,4,11,787,1330,2117,42,59,105,118,216,335,3,5,6,161,282,450,1905,2108,4016,149,166,311,9767,10249,20019
Upper Goulburn Valley,20401,436,383,816,1432,1353,2791,633,603,1241,126,130,259,2193,2095,4288,1069,1043,2111,381,348,729,289,303,597,1746,1692,3435,99,85,177,30,55,83,157,101,261,116,201,323,3,3,3,403,446,848,121,211,332,41,111,150,32,58,88,120,283,398,0,3,3,312,669,982,102,55,158,77,159,234,3,0,3,175,217,399,2955,2895,5849,301,283,588,8518,8689,17205
Wangaratta - Benalla,20402,312,310,619,1039,918,1960,617,548,1163,186,213,395,1838,1683,3515,686,639,1327,587,632,1215,166,183,353,1435,1454,2889,65,71,135,20,76,95,138,82,217,90,180,267,0,7,10,315,415,728,57,131,192,35,74,102,13,36,44,71,215,294,0,3,7,173,460,637,31,34,66,43,99,145,0,0,6,76,134,211,1765,2017,3782,61,67,120,5974,6535,12505
Wodonga - Alpine,20403,680,652,1334,2191,2078,4269,774,701,1478,398,421,816,3360,3200,6556,1471,1394,2861,636,656,1290,309,362,666,2418,2402,4816,202,155,358,89,151,233,286,186,473,209,393,599,11,3,11,790,880,1673,170,347,513,94,217,307,49,86,131,220,493,713,3,3,4,530,1141,1673,142,101,239,115,240,347,7,4,15,260,345,604,3437,3260,6701,231,283,519,11706,12164,23873
Baw Baw,20501,381,376,758,1515,1368,2881,393,428,818,259,246,503,2163,2041,4204,908,887,1791,315,341,654,300,334,635,1516,1566,3083,72,90,166,20,80,102,160,90,251,87,199,288,0,0,3,344,469,808,165,301,472,50,175,222,30,56,86,102,270,373,0,6,6,352,806,1162,42,65,105,58,145,200,3,5,5,108,211,318,1666,1853,3517,97,141,239,6629,7470,14096
Gippsland - East,20502,301,303,603,1145,1109,2257,301,303,607,142,110,254,1596,1522,3116,746,693,1442,386,386,775,89,81,175,1220,1165,2384,37,77,116,21,68,84,91,70,162,74,150,228,3,5,7,230,371,602,26,68,92,20,74,93,15,29,40,63,209,273,0,3,6,125,384,508,24,40,63,47,110,158,3,4,6,77,152,233,2025,2251,4278,71,107,176,5647,6254,11902
Gippsland - South West,20503,470,433,905,1791,1757,3548,309,280,588,216,249,463,2312,2292,4602,1195,1159,2351,253,278,525,262,331,595,1709,1764,3471,62,81,140,31,77,105,144,89,235,123,211,332,0,6,12,366,459,821,82,165,249,55,120,168,14,38,49,88,306,396,0,3,3,235,625,861,64,66,124,84,166,257,9,4,15,154,235,393,2341,2560,4901,118,159,272,7711,8528,16238
Latrobe Valley,20504,482,463,946,2071,1882,3951,710,713,1422,167,174,344,2941,2776,5715,1341,1408,2753,549,521,1068,251,277,532,2141,2210,4352,116,149,271,60,129,187,232,148,380,156,252,407,11,8,16,572,690,1264,326,533,853,134,222,357,47,99,142,164,326,485,3,4,4,666,1180,1848,88,72,159,100,250,348,8,5,13,199,323,520,3056,3271,6333,61,90,154,10130,11011,21144
Wellington,20505,337,292,631,1169,1077,2240,433,408,843,146,140,287,1747,1629,3373,724,706,1427,392,419,810,191,205,395,1306,1329,2641,45,43,86,17,58,73,104,65,174,67,162,229,0,3,3,240,327,572,66,138,204,20,81,104,21,44,64,87,218,305,0,0,3,197,485,682,45,41,90,56,110,159,0,8,8,96,161,253,2505,1706,4211,85,86,168,6514,6013,12528
Brunswick - Coburg,20601,654,603,1252,1748,1604,3348,618,645,1259,148,187,334,2514,2431,4943,1125,949,2077,323,446,769,172,239,409,1624,1629,3252,167,161,331,220,203,428,109,67,180,263,276,538,3,7,12,762,718,1477,1825,2226,4052,1247,1464,2708,154,245,394,700,1160,1861,12,14,22,3933,5113,9044,126,170,292,198,305,501,3,7,9,323,478,804,2345,2496,4846,363,478,848,12517,13951,26463
Darebin - South,20602,469,408,873,1483,1386,2866,332,366,698,83,129,214,1889,1887,3782,814,664,1476,228,284,504,238,221,462,1277,1169,2441,90,84,175,110,133,236,72,27,104,158,170,336,3,3,5,435,422,857,719,1003,1723,413,600,1016,72,100,174,409,742,1151,4,4,7,1616,2454,4069,54,71,121,90,192,277,0,3,3,139,257,400,1451,1634,3086,129,224,349,7408,8451,15859
Essendon,20603,495,473,970,1174,1029,2202,905,901,1808,315,370,680,2389,2304,4689,739,652,1389,666,697,1368,430,546,977,1832,1894,3729,126,137,256,118,170,286,114,61,169,143,188,331,8,0,8,502,552,1057,1344,1459,2801,559,596,1157,140,144,284,403,627,1023,4,13,16,2451,2830,5278,103,188,297,152,310,461,6,10,11,265,504,769,2139,2376,4510,270,379,647,10344,11316,21662
Melbourne City,20604,411,393,805,1009,932,1933,212,234,446,210,237,445,1429,1403,2834,803,722,1525,174,255,426,436,483,919,1410,1464,2872,707,785,1494,697,922,1617,179,126,305,447,577,1026,8,10,22,2034,2418,4458,10919,14283,25203,3304,3321,6633,290,373,665,1116,1412,2523,42,44,84,15663,19445,35103,729,1082,1814,730,933,1667,5,16,26,1473,2032,3503,13747,13227,26980,7549,8764,16312,43720,49141,92862
Port Phillip,20605,625,586,1215,1555,1512,3074,284,306,594,504,433,939,2347,2247,4601,678,608,1290,189,234,418,635,661,1302,1505,1507,3011,124,136,261,191,250,441,79,82,165,275,368,642,10,10,12,677,843,1520,1159,1377,2535,720,949,1675,133,174,305,781,1171,1959,13,13,25,2807,3696,6500,173,175,353,296,503,805,5,7,18,483,694,1170,5273,5148,10422,1243,1500,2737,14961,16216,31173
Whitehorse - West,20703,873,821,1693,2854,2551,5407,725,690,1419,299,389,687,3881,3635,7515,1833,1658,3497,645,724,1371,784,1054,1841,3270,3435,6704,372,231,607,269,291,561,196,81,279,256,318,569,0,4,6,1094,930,2026,3531,3583,7111,1111,1104,2218,212,214,425,473,693,1161,16,15,34,5346,5603,10949,228,212,447,309,474,784,4,3,8,548,698,1240,2122,2440,4561,989,1368,2360,18122,18926,37052
