SA4_MAIN11,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot,SA4_NAME11
125,141,13930,1315,15386,627,22662,1662,24951,255,11648,885,12788,207,13729,1482,15418,428,32659,3520,36607,715,25572,2229,28516,1068,21971,1737,24776,1391,16413,1139,18943,1419,9828,680,11927,1624,4783,488,6895,937,943,212,2092,8812,174138,15349,198299,126,13295,1264,14685,360,21539,1413,23312,134,10791,638,11563,150,13311,986,14447,364,32607,2268,35239,688,25654,1573,27915,1155,22232,1329,24716,1525,16915,886,19326,1588,10029,635,12252,2557,5331,680,8568,2296,1538,553,4387,10943,173242,12225,196410,267,27225,2579,30071,987,44201,3075,48263,389,22439,1523,24351,357,27040,2468,29865,792,65266,5788,71846,1403,51226,3802,56431,2223,44203,3066,49492,2916,33328,2025,38269,3007,19857,1315,24179,4181,10114,1168,15463,3233,2481,765,6479,19755,347380,27574,394709,Sydney - Parramatta
126,41,4625,235,4901,176,9077,328,9581,62,5149,201,5412,58,5992,376,6426,94,10798,583,11475,142,10440,432,11014,244,10463,399,11106,316,8241,352,8909,357,4769,209,5335,599,2895,181,3675,561,738,81,1380,2650,73187,3377,79214,29,4407,222,4658,76,8393,261,8730,46,4639,154,4839,39,6309,337,6685,73,11036,536,11645,163,11514,414,12091,234,11234,399,11867,327,8729,306,9362,478,5464,212,6154,1048,3524,221,4793,1486,1167,155,2808,3999,76416,3217,83632,70,9032,457,9559,252,17470,589,18311,108,9788,355,10251,97,12301,713,13111,167,21834,1119,23120,305,21954,846,23105,478,21697,798,22973,643,16970,658,18271,835,10233,421,11489,1647,6419,402,8468,2047,1905,236,4188,6649,149603,6594,162846,Sydney - Ryde
127,176,11765,1247,13188,832,24696,1672,27200,258,13287,753,14298,202,11977,707,12886,452,22401,1496,24349,668,22652,1395,24715,1292,22512,1409,25213,1810,15753,1063,18626,1824,8190,704,10718,1609,3568,403,5580,712,524,120,1356,9835,157325,10969,178129,88,11261,1161,12510,392,23774,1584,25750,162,12488,614,13264,132,11942,661,12735,392,24067,1444,25903,725,24613,1418,26756,1592,22759,1251,25602,2020,16129,1027,19176,2104,8189,666,10959,2834,3635,479,6948,1598,632,205,2435,12039,159489,10510,182038,264,23026,2408,25698,1224,48470,3256,52950,420,25775,1367,27562,334,23919,1368,25621,844,46468,2940,50252,1393,47265,2813,51471,2884,45271,2660,50815,3830,31882,2090,37802,3928,16379,1370,21677,4443,7203,882,12528,2310,1156,325,3791,21874,316814,21479,360167,Sydney - South West
128,83,6757,344,7184,413,12722,388,13523,135,6507,204,6846,99,6396,282,6777,150,11923,677,12750,158,13866,645,14669,219,13766,580,14565,327,11838,468,12633,380,7076,292,7748,586,3780,228,4594,561,860,138,1559,3111,95491,4246,102848,45,6397,260,6702,193,12279,365,12837,71,6328,166,6565,58,6302,227,6587,125,12476,573,13174,173,15048,494,15715,251,14736,472,15459,329,12163,396,12888,426,7662,287,8375,1073,4655,350,6078,1428,1315,295,3038,4172,99361,3885,107418,128,13154,604,13886,606,25001,753,26360,206,12835,370,13411,157,12698,509,13364,275,24399,1250,25924,331,28914,1139,30384,470,28502,1052,30024,656,24001,864,25521,806,14738,579,16123,1659,8435,578,10672,1989,2175,433,4597,7283,194852,8131,210266,Sydney - Sutherland
197,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,3,0,3,0,6,0,6,0,5,5,10,0,10,0,10,0,11,0,11,0,10,0,10,0,0,0,0,0,51,5,56,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,3,14,0,17,0,17,0,17,3,9,0,12,0,0,0,0,6,50,0,56,0,0,0,0,0,6,0,6,0,0,0,0,0,3,0,3,0,3,0,3,0,10,0,10,0,8,5,13,3,24,0,27,0,28,0,28,3,19,0,22,0,0,0,0,6,101,5,112,Migratory - Offshore - Shipping (NSW)
199,0,275,32,307,11,271,48,330,14,305,68,387,12,564,127,703,29,1105,363,1497,59,895,416,1370,69,724,426,1219,79,619,263,961,61,447,115,623,28,91,27,146,22,15,11,48,384,5311,1896,7591,0,219,27,246,12,256,30,298,10,307,56,373,7,530,76,613,18,960,182,1160,44,540,146,730,49,518,107,674,56,574,88,718,37,260,50,347,21,55,17,93,42,15,16,73,296,4234,795,5325,0,494,59,553,23,527,78,628,24,612,124,760,19,1094,203,1316,47,2065,545,2657,103,1435,562,2100,118,1242,533,1893,135,1193,351,1679,98,707,165,970,49,146,44,239,64,30,27,121,680,9545,2691,12916,Special Purpose Codes SA4 (NSW)
201,66,4420,296,4782,426,8609,412,9447,181,4873,240,5294,126,4289,245,4660,195,7034,401,7630,298,8359,439,9096,435,9017,498,9950,716,8390,483,9589,573,5461,353,6387,605,2608,252,3465,417,517,93,1027,4038,63577,3712,71327,49,4297,251,4597,210,8378,374,8962,91,4761,213,5065,77,4367,192,4636,159,7666,326,8151,295,9239,376,9910,467,9678,420,10565,635,8930,392,9957,554,5806,325,6685,913,3107,307,4327,1038,852,163,2053,4488,67081,3339,74908,115,8717,547,9379,636,16987,786,18409,272,9634,453,10359,203,8656,437,9296,354,14700,727,15781,593,17598,815,19006,902,18695,918,20515,1351,17320,875,19546,1127,11267,678,13072,1518,5715,559,7792,1455,1369,256,3080,8526,130658,7051,146235,Ballarat
202,64,4291,259,4614,401,8380,369,9150,143,4541,213,4897,100,3898,273,4271,180,6513,484,7177,275,7856,552,8683,388,8683,477,9548,586,8349,436,9371,522,5369,343,6234,541,2691,270,3502,402,599,139,1140,3602,61170,3815,68587,32,3993,233,4258,207,8212,383,8802,83,4522,212,4817,78,4020,187,4285,154,7183,303,7640,227,8740,360,9327,372,9659,388,10419,509,8799,340,9648,533,5578,318,6429,826,3157,343,4326,1026,844,287,2157,4047,64707,3354,72108,96,8284,492,8872,608,16592,752,17952,226,9063,425,9714,178,7918,460,8556,334,13696,787,14817,502,16596,912,18010,760,18342,865,19967,1095,17148,776,19019,1055,10947,661,12663,1367,5848,613,7828,1428,1443,426,3297,7649,125877,7169,140695,Bendigo
203,115,7562,476,8153,716,14960,713,16389,254,7946,379,8579,170,7134,458,7762,285,13099,861,14245,343,15420,948,16711,525,15308,833,16666,812,13784,641,15237,906,8787,516,10209,1062,4801,356,6219,825,1037,167,2029,6013,109838,6348,122199,47,7235,405,7687,303,14387,612,15302,136,7581,291,8008,117,7183,264,7564,249,14155,550,14954,399,16804,630,17833,574,16752,637,17963,805,14799,574,16178,912,9768,455,11135,1737,5641,477,7855,2121,1589,263,3973,7400,115894,5158,128452,162,14797,881,15840,1019,29347,1325,31691,390,15527,670,16587,287,14317,722,15326,534,27254,1411,29199,742,32224,1578,34544,1099,32060,1470,34629,1617,28583,1215,31415,1818,18555,971,21344,2799,10442,833,14074,2946,2626,430,6002,13413,225732,11506,250651,Geelong
204,74,4614,280,4968,439,9593,441,10473,178,5431,207,5816,100,3964,207,4271,141,6921,418,7480,257,8914,442,9613,413,10451,496,11360,647,10382,490,11519,664,6810,347,7821,707,3259,244,4210,475,683,95,1253,4095,71022,3667,78784,40,4449,250,4739,169,9541,392,10102,89,4977,198,5264,62,3366,141,3569,137,7505,306,7948,242,9840,365,10447,438,11229,395,12062,570,10307,396,11273,535,6960,316,7811,1001,3637,307,4945,1223,926,201,2350,4506,72737,3267,80510,114,9063,530,9707,608,19134,833,20575,267,10408,405,11080,162,7330,348,7840,278,14426,724,15428,499,18754,807,20060,851,21680,891,23422,1217,20689,886,22792,1199,13770,663,15632,1708,6896,551,9155,1698,1609,296,3603,8601,143759,6934,159294,Hume
205,126,7560,517,8203,803,14719,807,16329,293,7984,396,8673,205,6127,471,6803,348,11501,1011,12860,479,13549,977,15005,763,15784,885,17432,1169,16194,854,18217,1155,11438,691,13284,1146,5550,440,7136,748,1097,160,2005,7235,111503,7209,125947,62,7152,528,7742,353,14611,778,15742,166,7700,370,8236,121,6148,272,6541,292,12499,572,13363,465,14928,661,16054,779,16993,689,18461,1062,16894,724,18680,987,11602,617,13206,1600,6045,512,8157,1892,1563,276,3731,7779,116135,5999,129913,188,14712,1045,15945,1156,29330,1585,32071,459,15684,766,16909,326,12275,743,13344,640,24000,1583,26223,944,28477,1638,31059,1542,32777,1574,35893,2231,33088,1578,36897,2142,23040,1308,26490,2746,11595,952,15293,2640,2660,436,5736,15014,227638,13208,255860,Latrobe - Gippsland
206,111,11884,1128,13123,417,16080,1302,17799,140,9509,861,10510,127,21969,2663,24759,327,57119,6200,63646,478,37076,3508,41062,710,25577,2353,28640,911,19092,1793,21796,1237,10946,1108,13291,1923,5595,778,8296,1198,1264,326,2788,7579,216111,22020,245710,60,11458,1044,12562,201,15905,1189,17295,101,10236,727,11064,138,25823,2163,28124,337,60512,4786,65635,484,37192,2630,40306,768,26160,1837,28765,1034,20410,1412,22856,1666,11628,1015,14309,3152,6194,933,10279,2683,1813,589,5085,10624,227331,18325,256280,171,23342,2172,25685,618,31985,2491,35094,241,19745,1588,21574,265,47792,4826,52883,664,117631,10986,129281,962,74268,6138,81368,1478,51737,4190,57405,1945,39502,3205,44652,2903,22574,2123,27600,5075,11789,1711,18575,3881,3077,915,7873,18203,443442,40345,501990,Melbourne - Inner
207,103,8562,349,9014,497,19119,593,20209,179,11119,427,11725,134,12967,749,13850,213,19958,1227,21398,285,20252,851,21388,388,21539,868,22795,444,17034,684,18162,722,11771,523,13016,1389,6926,459,8774,1110,1817,270,3197,5464,151064,7000,163528,46,8240,353,8639,227,18410,548,19185,108,10906,329,11343,81,12698,569,13348,190,20027,901,21118,298,23408,792,24498,415,24013,754,25182,634,19281,575,20490,978,13487,546,15011,2434,8236,559,11229,3180,2679,574,6433,8591,161385,6500,176476,149,16802,702,17653,724,37529,1141,39394,287,22025,756,23068,215,25665,1318,27198,403,39985,2128,42516,583,43660,1643,45886,803,45552,1622,47977,1078,36315,1259,38652,1700,25258,1069,28027,3823,15162,1018,20003,4290,4496,844,9630,14055,312449,13500,340004,Melbourne - Inner East
208,120,11656,620,12396,536,21846,914,23296,193,10613,460,11266,139,11500,726,12365,241,22076,1454,23771,330,26119,1316,27765,381,24267,1175,25823,642,19192,894,20728,790,11387,629,12806,1417,6680,510,8607,1421,2162,270,3853,6210,167498,8968,182676,60,11023,585,11668,251,21221,774,22246,97,9974,373,10444,106,11251,557,11914,236,23028,1163,24427,375,29184,1229,30788,504,26122,1022,27648,725,20679,824,22228,1096,12849,673,14618,2479,8805,650,11934,3708,3337,582,7627,9637,177473,8432,195542,180,22679,1205,24064,787,43067,1688,45542,290,20587,833,21710,245,22751,1283,24279,477,45104,2617,48198,705,55303,2545,58553,885,50389,2197,53471,1367,39871,1718,42956,1886,24236,1302,27424,3896,15485,1160,20541,5129,5499,852,11480,15847,344971,17400,378218,Melbourne - Inner South
209,175,14167,1015,15357,927,25748,1239,27914,321,13333,644,14298,227,15193,924,16344,422,29272,1794,31488,642,30255,1472,32369,880,26641,1277,28798,1334,20985,988,23307,1569,12163,653,14385,1901,5893,535,8329,1112,1193,248,2553,9510,194843,10789,215142,106,13280,901,14287,405,24754,1181,26340,193,13035,525,13753,155,14837,649,15641,359,30057,1483,31899,638,31928,1307,33873,1062,28576,1102,30740,1463,22376,919,24758,1747,12951,774,15472,3038,6735,641,10414,2580,1623,524,4727,11746,200152,10006,221904,281,27447,1916,29644,1332,50502,2420,54254,514,26368,1169,28051,382,30030,1573,31985,781,59329,3277,63387,1280,62183,2779,66242,1942,55217,2379,59538,2797,43361,1907,48065,3316,25114,1427,29857,4939,12628,1176,18743,3692,2816,772,7280,21256,394995,20795,437046,Melbourne - North East
210,174,10333,881,11388,798,20329,1251,22378,286,10520,597,11403,176,10506,698,11380,359,20450,1276,22085,587,21023,1128,22738,792,19316,1024,21132,1158,13882,729,15769,1429,8759,531,10719,1627,4493,424,6544,816,809,160,1785,8202,140420,8699,157321,86,9794,855,10735,373,19730,1164,21267,174,10197,520,10891,114,9942,529,10585,283,20700,1155,22138,559,22439,1095,24093,993,19970,973,21936,1385,14795,754,16934,1586,9337,573,11496,2515,5002,529,8046,1746,1037,258,3041,9814,142943,8405,161162,260,20127,1736,22123,1171,40059,2415,43645,460,20717,1117,22294,290,20448,1227,21965,642,41150,2431,44223,1146,43462,2223,46831,1785,39286,1997,43068,2543,28677,1483,32703,3015,18096,1104,22215,4142,9495,953,14590,2562,1846,418,4826,18016,283363,17104,318483,Melbourne - North West
211,213,14493,714,15420,1214,29350,1009,31573,435,15958,487,16880,255,15162,597,16014,466,27344,1045,28855,609,31858,1193,33660,701,32238,1134,34073,1047,26671,977,28695,1201,15926,665,17792,1411,7201,480,9092,1124,1524,230,2878,8676,217725,8531,234932,104,13672,568,14344,534,28232,925,29691,260,15591,468,16319,210,14448,430,15088,403,28044,844,29291,641,34438,1053,36132,875,34328,954,36157,1156,28882,918,30956,1275,17002,630,18907,2413,8448,586,11447,3128,2233,478,5839,10999,225318,7854,244171,317,28165,1282,29764,1748,57582,1934,61264,695,31549,955,33199,465,29610,1027,31102,869,55388,1889,58146,1250,66296,2246,69792,1576,66566,2088,70230,2203,55553,1895,59651,2476,32928,1295,36699,3824,15649,1066,20539,4252,3757,708,8717,19675,443043,16385,479103,Melbourne - Outer East
212,276,21236,1550,23062,1429,40896,2104,44429,484,22438,1079,24001,354,24574,1425,26353,635,45677,2543,48855,908,43887,2060,46855,1284,39924,1807,43015,1906,30040,1367,33313,2069,18777,921,21767,2578,9311,695,12584,1541,1755,237,3533,13464,298515,15788,327767,193,20194,1454,21841,702,39082,1861,41645,275,20896,878,22049,224,22635,1037,23896,562,45284,2069,47915,1000,46119,1885,49004,1544,40688,1609,43841,2181,31511,1274,34966,2376,19940,981,23297,4268,10122,796,15186,3897,2360,352,6609,17222,298831,14196,330249,469,41430,3004,44903,2131,79978,3965,86074,759,43334,1957,46050,578,47209,2462,50249,1197,90961,4612,96770,1908,90006,3945,95859,2828,80612,3416,86856,4087,61551,2641,68279,4445,38717,1902,45064,6846,19433,1491,27770,5438,4115,589,10142,30686,597346,29984,658016,Melbourne - South East
213,333,22380,2061,24774,1562,37216,2522,41300,524,18579,1144,20247,342,20860,1890,23092,636,48103,4208,52947,866,44869,3346,49081,1228,35772,2422,39422,2166,25901,1758,29825,2269,13016,1011,16296,2190,5368,608,8166,1083,1041,258,2382,13199,273105,21228,307532,172,21704,2027,23903,660,36116,2463,39239,286,17898,1074,19258,239,19927,1367,21533,552,49347,3149,53048,950,46302,2548,49800,1503,36476,2031,40010,2432,26195,1504,30131,2396,13095,994,16485,3597,6344,764,10705,2616,1412,386,4414,15403,274816,18307,308526,505,44084,4088,48677,2222,73332,4985,80539,810,36477,2218,39505,581,40787,3257,44625,1188,97450,7357,105995,1816,91171,5894,98881,2731,72248,4453,79432,4598,52096,3262,59956,4665,26111,2005,32781,5787,11712,1372,18871,3699,2453,644,6796,28602,547921,39535,616058,Melbourne - West
214,107,8045,581,8733,685,15828,853,17366,233,8468,433,9134,171,7431,410,8012,260,13329,728,14317,400,16880,875,18155,510,16766,915,18191,765,14590,739,16094,816,10715,692,12223,1060,5703,541,7304,755,1324,287,2366,5762,119079,7054,131895,68,7793,522,8383,317,15192,872,16381,157,7961,392,8510,116,7063,369,7548,229,14223,674,15126,456,18357,867,19680,647,17697,817,19161,818,16299,714,17831,860,12108,728,13696,1521,6503,707,8731,1721,1705,695,4121,6910,124901,7357,139168,175,15838,1103,17116,1002,31020,1725,33747,390,16429,825,17644,287,14494,779,15560,489,27552,1402,29443,856,35237,1742,37835,1157,34463,1732,37352,1583,30889,1453,33925,1676,22823,1420,25919,2581,12206,1248,16035,2476,3029,982,6487,12672,243980,14411,271063,Mornington Peninsula
215,57,4366,317,4740,402,9187,479,10068,154,4721,244,5119,87,3586,215,3888,189,6516,471,7176,311,7907,575,8793,445,9477,589,10511,731,8776,507,10014,676,5964,379,7019,778,3340,312,4430,535,743,99,1377,4365,64583,4187,73135,36,4047,323,4406,201,8930,475,9606,96,4469,236,4801,74,3302,176,3552,171,6948,344,7463,269,8650,385,9304,460,9619,371,10450,589,8640,383,9612,531,6323,318,7172,1051,3911,364,5326,1363,1055,183,2601,4841,65894,3558,74293,93,8413,640,9146,603,18117,954,19674,250,9190,480,9920,161,6888,391,7440,360,13464,815,14639,580,16557,960,18097,905,19096,960,20961,1320,17416,890,19626,1207,12287,697,14191,1829,7251,676,9756,1898,1798,282,3978,9206,130477,7745,147428,North West
216,70,3833,340,4243,343,8162,478,8983,143,4111,211,4465,70,2893,203,3166,160,5590,425,6175,241,7153,495,7889,377,7791,461,8629,497,6995,372,7864,555,5048,343,5946,603,2561,255,3419,442,532,88,1062,3501,54669,3671,61841,34,3659,316,4009,153,7785,447,8385,85,3895,206,4186,57,2940,178,3175,130,6201,352,6683,194,7612,380,8186,359,7969,356,8684,455,7255,324,8034,466,5028,298,5792,791,2919,304,4014,1037,726,140,1903,3761,55989,3301,63051,104,7492,656,8252,496,15947,925,17368,228,8006,417,8651,127,5833,381,6341,290,11791,777,12858,435,14765,875,16075,736,15760,817,17313,952,14250,696,15898,1021,10076,641,11738,1394,5480,559,7433,1479,1258,228,2965,7262,110658,6972,124892,Shepparton
217,48,3608,242,3898,273,7688,322,8283,134,4149,182,4465,99,2926,138,3163,144,5441,288,5873,217,6781,323,7321,310,7911,354,8575,466,7469,378,8313,447,4759,253,5459,509,2508,202,3219,387,542,87,1016,3034,53782,2769,59585,22,3406,190,3618,145,7393,357,7895,71,3839,155,4065,52,2761,103,2916,123,5741,232,6096,187,7313,277,7777,341,8209,300,8850,390,7420,335,8145,360,5043,249,5652,726,3064,239,4029,993,885,153,2031,3410,55074,2590,61074,70,7014,432,7516,418,15081,679,16178,205,7988,337,8530,151,5687,241,6079,267,11182,520,11969,404,14094,600,15098,651,16120,654,17425,856,14889,713,16458,807,9802,502,11111,1235,5572,441,7248,1380,1427,240,3047,6444,108856,5359,120659,Warrnambool and South West
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,0,11,0,11,0,9,3,12,0,3,0,3,0,0,0,0,0,0,0,0,0,35,3,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,0,11,0,11,0,9,3,12,0,3,0,3,0,0,0,0,0,0,0,0,0,35,3,38,Migratory - Offshore - Shipping (Vic.)
299,4,197,30,231,13,203,93,309,7,169,59,235,10,412,110,532,30,798,265,1093,29,600,266,895,26,435,167,628,36,288,77,401,22,185,43,250,12,40,22,74,6,9,8,23,195,3336,1140,4671,3,186,29,218,9,189,83,281,5,196,57,258,4,415,87,506,17,765,123,905,30,402,91,523,37,269,75,381,28,292,26,346,11,115,19,145,15,20,4,39,16,11,6,33,175,2860,600,3635,7,383,59,449,22,392,176,590,12,365,116,493,14,827,197,1038,47,1563,388,1998,59,1002,357,1418,63,704,242,1009,64,580,103,747,33,300,62,395,27,60,26,113,22,20,14,56,370,6196,1740,8306,Special Purpose Codes SA4 (Vic.)
301,112,6843,356,7311,533,13924,618,15075,192,7062,238,7492,145,5755,260,6160,200,10872,539,11611,277,13914,669,14860,343,14080,641,15064,629,11612,519,12760,641,6786,309,7736,699,3134,219,4052,567,749,92,1408,4338,94731,4460,103529,52,6422,337,6811,221,13368,524,14113,104,6861,253,7218,102,5721,209,6032,170,11729,460,12359,249,15402,569,16220,422,15070,519,16011,574,12205,465,13244,614,7268,302,8184,1090,3748,266,5104,1401,1006,199,2606,4999,98800,4103,107902,164,13265,693,14122,754,27292,1142,29188,296,13923,491,14710,247,11476,469,12192,370,22601,999,23970,526,29316,1238,31080,765,29150,1160,31075,1203,23817,984,26004,1255,14054,611,15920,1789,6882,485,9156,1968,1755,291,4014,9337,193531,8563,211431,Brisbane - East
302,74,6128,370,6572,372,10346,490,11208,149,5704,248,6101,102,6074,387,6563,176,13391,823,14390,230,13186,705,14121,307,11316,569,12192,465,9129,434,10028,506,5404,246,6156,692,3151,274,4117,568,740,164,1472,3641,84569,4710,92920,43,5663,351,6057,187,10069,484,10740,78,5383,235,5696,66,6276,330,6672,151,13728,633,14512,244,13968,591,14803,392,11994,462,12848,413,9808,359,10580,529,6547,289,7365,1199,4158,358,5715,1497,1256,388,3141,4799,88850,4480,98129,117,11791,721,12629,559,20415,974,21948,227,11087,483,11797,168,12350,717,13235,327,27119,1456,28902,474,27154,1296,28924,699,23310,1031,25040,878,18937,793,20608,1035,11951,535,13521,1891,7309,632,9832,2065,1996,552,4613,8440,173419,9190,191049,Brisbane - North
303,103,9566,651,10320,441,17304,902,18647,198,9724,457,10379,132,13431,956,14519,229,25232,1730,27191,350,21383,1151,22884,439,18032,944,19415,670,13929,699,15298,706,7931,404,9041,992,3830,288,5110,767,866,138,1771,5027,141228,8320,154575,63,9361,563,9987,233,16808,734,17775,113,9671,429,10213,101,13317,656,14074,239,25284,1249,26772,331,22443,977,23751,546,19172,734,20452,662,14837,614,16113,849,8492,388,9729,1634,4944,417,6995,1955,1401,294,3650,6726,145730,7055,159511,166,18927,1214,20307,674,34112,1636,36422,311,19395,886,20592,233,26748,1612,28593,468,50516,2979,53963,681,43826,2128,46635,985,37204,1678,39867,1332,28766,1313,31411,1555,16423,792,18770,2626,8774,705,12105,2722,2267,432,5421,11753,286958,15375,314086,Brisbane - South
304,55,5176,227,5458,341,10513,371,11225,97,6478,216,6791,70,7770,433,8273,119,10299,546,10964,120,11087,435,11642,135,10291,425,10851,226,8575,328,9129,295,4911,178,5384,403,2157,146,2706,354,529,109,992,2215,77786,3414,83415,27,4712,176,4915,145,10027,323,10495,72,6358,227,6657,54,7408,302,7764,107,10458,438,11003,168,12181,418,12767,190,11375,354,11919,258,9252,288,9798,319,5199,197,5715,704,2663,234,3601,1100,852,352,2304,3144,80485,3309,86938,82,9888,403,10373,486,20540,694,21720,169,12836,443,13448,124,15178,735,16037,226,20757,984,21967,288,23268,853,24409,325,21666,779,22770,484,17827,616,18927,614,10110,375,11099,1107,4820,380,6307,1454,1381,461,3296,5359,158271,6723,170353,Brisbane - West
305,38,5527,381,5946,188,9323,512,10023,57,5519,409,5985,47,10652,1184,11883,197,23794,2535,26526,269,16631,1428,18328,282,12671,1026,13979,357,9428,729,10514,336,4646,371,5353,462,2019,237,2718,350,478,117,945,2583,100688,8929,112200,39,5308,326,5673,89,9167,403,9659,46,5967,295,6308,74,12015,851,12940,169,23331,1733,25233,188,16180,945,17313,234,12473,736,13443,321,9287,570,10178,385,4596,306,5287,776,2549,225,3550,1119,890,183,2192,3440,101763,6573,111776,77,10835,707,11619,277,18490,915,19682,103,11486,704,12293,121,22667,2035,24823,366,47125,4268,51759,457,32811,2373,35641,516,25144,1762,27422,678,18715,1299,20692,721,9242,677,10640,1238,4568,462,6268,1469,1368,300,3137,6023,202451,15502,223976,Brisbane Inner City
