lga_name_2016,lga_code_2016,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Albury (C),10050,19759,21704,41468,8745,4856,13599,2345,5738,8084,534,691,1224,896,787,1684,12515,12071,24587,5767,8087,13853,7.2,6.5,6.8,63.3,55.6,59.3,58.8,52.0,55.2,466,578,1047,304,546,843,1773,2935,4703,1395,2133,3530,5437,2897,8334,211,430,644,311,575,888,5964,3903,9869,18123,19387,37515,3903,4273,8177,11898,12578,24473,9166,10268,19440
Armidale Regional (A),10130,11545,12567,24115,4335,2793,7126,1585,2875,4459,325,407,736,554,476,1032,6806,6551,13359,3810,5021,8834,8.1,7.3,7.7,59.0,52.1,55.4,54.1,48.3,51.1,921,824,1741,193,380,571,1261,2023,3285,628,1100,1729,2270,1209,3482,128,203,327,182,331,507,2575,1741,4317,10305,10815,21117,2385,2829,5215,6707,7047,13750,5522,6145,11664
Ballina (A),10250,16498,18363,34860,5843,3540,9382,2467,4676,7140,444,494,939,623,459,1086,9380,9169,18550,5851,7788,13639,6.6,5.0,5.9,56.9,49.9,53.2,53.1,47.4,50.1,511,559,1071,295,452,741,1940,2792,4734,1236,2086,3324,4358,2024,6380,133,295,430,337,606,938,4826,2925,7753,15336,16332,31664,2919,3297,6219,10085,10890,20968,7474,8179,15652
Balranald (A),10300,922,879,1801,419,194,614,93,212,302,37,29,63,30,28,55,577,456,1041,230,321,552,5.2,6.1,5.3,62.6,51.9,57.8,59.5,49.5,54.4,9,15,21,0,10,13,33,63,94,26,60,80,169,88,250,9,16,26,4,12,19,188,113,300,914,848,1761,114,118,236,669,609,1274,295,305,604
Bathurst Regional (A),10470,16480,16703,33181,6989,4178,11165,1781,4144,5923,478,606,1079,645,518,1162,9893,9437,19332,5396,6023,11424,6.5,5.5,6.0,60.0,56.5,58.3,56.1,53.5,54.8,454,499,951,226,424,645,1372,2382,3759,1023,1651,2672,4459,2048,6508,169,358,526,266,558,818,4892,2963,7856,14901,15366,30271,2964,3144,6112,9605,9773,19380,7427,7992,15418
Bega Valley (A),10550,13549,14437,27994,4458,2497,6957,1792,3508,5298,437,461,895,418,329,750,7101,6795,13905,5406,6542,11948,5.9,4.8,5.4,52.4,47.1,49.7,49.4,44.8,47.0,311,345,651,188,406,598,1124,1821,2947,893,1444,2331,3846,1649,5493,127,309,437,250,482,730,4230,2445,6669,12652,13183,25834,2013,2192,4205,8952,9121,18070,5190,5741,10929
Bellingen (A),10600,5030,5433,10465,1508,880,2386,834,1369,2210,138,162,298,226,160,378,2697,2574,5273,1993,2499,4489,8.4,6.2,7.2,53.6,47.4,50.4,49.3,44.4,46.8,129,184,314,74,154,228,505,896,1405,363,607,975,1368,600,1970,63,92,153,95,177,271,1526,872,2401,4752,5071,9817,845,937,1780,3348,3476,6827,2029,2285,4314
Berrigan (A),10650,3483,3532,7018,1271,621,1895,309,822,1132,140,120,258,92,74,165,1814,1633,3450,1321,1543,2864,5.1,4.5,4.8,52.1,46.2,49.2,49.4,44.3,46.8,18,35,53,16,48,67,160,333,494,185,275,460,893,464,1355,24,59,82,47,92,133,959,612,1565,3230,3215,6438,479,534,1013,2269,2264,4533,1269,1325,2600
Blacktown (C),10750,128170,132134,260306,63968,38436,102402,14754,26539,41295,3745,4023,7771,5909,5998,11907,88377,74994,163377,33296,50446,83745,6.7,8.0,7.3,69.0,56.8,62.8,64.3,52.2,58.2,7236,6781,14020,1261,1725,2983,17585,22722,40305,10544,12429,22969,23256,12317,35577,1023,2017,3039,2157,3097,5249,26439,17425,43865,131207,134157,265365,21662,21607,43268,86357,88421,174777,57874,58797,116668
Bland (A),10800,2366,2363,4725,1092,519,1609,233,529,764,84,84,168,60,37,95,1469,1169,2635,626,896,1526,4.1,3.2,3.6,62.1,49.5,55.8,59.6,47.9,53.8,11,24,37,13,24,37,107,216,323,86,161,250,590,253,841,21,60,80,43,68,108,651,378,1023,2345,2296,4635,228,263,489,1749,1700,3454,701,729,1429
Blayney (A),10850,2832,2918,5751,1317,671,1987,292,752,1043,88,103,192,115,85,200,1811,1614,3421,796,1108,1904,6.4,5.3,5.8,63.9,55.3,59.5,59.9,52.3,56.0,47,63,112,32,54,85,189,362,547,147,276,428,784,405,1191,26,60,84,59,99,161,870,565,1432,2839,2893,5737,425,448,875,2011,1986,3999,1076,1190,2271
Blue Mountains (C),10900,29902,32926,62830,13128,7866,20994,4268,8882,13148,765,958,1724,940,845,1778,19093,18550,37642,9379,12892,22275,4.9,4.6,4.7,63.9,56.3,59.9,60.7,53.8,57.1,1936,2256,4193,706,1333,2034,4520,6521,11046,3049,4322,7368,7202,3434,10640,272,440,708,668,1050,1723,8143,4928,13068,30132,32368,62501,4082,4308,8390,21430,23052,44479,11670,12687,24361
Bogan (A),10950,1079,1059,2140,534,268,799,87,239,324,31,26,55,40,24,62,683,550,1233,269,402,675,5.9,4.4,5.0,63.3,51.9,57.6,60.4,50.3,55.0,7,9,20,3,13,19,49,105,157,42,74,116,258,105,354,8,15,26,15,23,40,282,141,428,1039,1011,2046,123,151,277,780,728,1509,325,356,683
Botany Bay (C),11100,19152,19583,38732,9184,6137,15323,2442,4038,6483,549,612,1163,714,643,1351,12885,11431,24315,4868,6798,11669,5.5,5.6,5.6,67.3,58.4,62.8,63.6,55.1,59.3,1448,1393,2835,185,328,513,3202,3907,7113,1571,1953,3525,3136,1374,4511,121,192,313,284,429,710,3537,1992,5529,17164,17649,34811,3830,3638,7472,10603,11265,21873,9557,9204,18760
Bourke (A),11150,991,1023,2016,402,318,724,86,146,233,23,26,44,40,28,69,551,520,1071,236,311,546,7.3,5.4,6.4,55.6,50.8,53.1,51.6,47.9,49.7,7,20,27,3,8,8,48,114,165,56,91,144,165,77,247,11,24,31,16,13,32,189,120,305,881,863,1748,119,167,279,619,605,1219,314,359,668
Brewarrina (A),11200,647,621,1274,201,151,346,44,62,106,18,26,40,57,38,95,315,280,594,271,298,573,18.1,13.6,16.0,48.7,45.1,46.6,40.6,38.5,38.6,0,10,8,7,3,5,16,64,82,24,36,65,93,47,136,20,22,46,6,10,18,121,76,203,634,630,1266,88,88,183,489,497,985,167,173,339
Lithgow (C),14870,8849,8641,17496,3084,1544,4627,789,1886,2678,231,261,489,390,266,651,4495,3959,8455,3519,3841,7354,8.7,6.7,7.7,50.8,45.8,48.3,46.4,42.7,44.5,104,124,231,64,129,189,394,710,1107,454,698,1153,2547,1059,3604,89,199,293,141,255,398,2777,1516,4292,7929,7954,15882,1047,1150,2205,5820,5670,11492,2790,3052,5837
Liverpool (C),14900,77640,80386,158031,35220,20547,55763,8567,14987,23557,2316,2269,4588,3572,3194,6764,49675,40997,90669,22349,33886,56232,7.2,7.8,7.5,64.0,51.0,57.4,59.4,47.0,53.1,2368,2585,4952,496,813,1302,7962,10666,18632,6097,8069,14169,14948,7075,22026,603,1214,1822,1275,1967,3240,16829,10257,27090,79695,81481,161174,11694,11846,23543,53082,54261,107348,33183,34199,67379
Liverpool Plains (A),14920,3107,3137,6243,1258,611,1872,281,658,942,104,101,201,123,114,241,1766,1489,3257,1063,1351,2415,7.0,7.7,7.4,56.8,47.5,52.2,52.9,43.7,48.3,25,32,53,10,37,47,123,262,388,145,250,397,721,353,1080,39,78,114,48,95,141,812,521,1330,3003,2927,5928,453,447,904,2190,2092,4279,1059,1112,2175
Lockhart (A),14950,1253,1232,2477,567,246,809,106,300,406,27,45,76,35,20,54,730,618,1346,414,500,920,4.8,3.2,4.0,58.3,50.2,54.3,55.9,48.0,52.1,9,18,32,3,26,28,50,128,180,69,111,178,354,152,503,14,28,43,20,39,56,392,215,603,1264,1267,2534,118,133,251,961,908,1870,348,406,757
Maitland (C),15050,29015,31383,60404,13979,7467,21447,3306,8149,11458,794,994,1789,1401,1343,2741,19479,17950,37431,7979,11875,19852,7.2,7.5,7.3,67.1,57.2,62.0,62.3,52.9,57.4,596,665,1260,249,529,784,2079,3568,5653,2093,3133,5226,9180,4705,13886,281,693,972,436,901,1334,9903,6298,16197,29230,30462,59698,5342,5843,11179,18626,19166,37789,14104,15564,29668
Mid-Coast (A),15240,36916,39457,76370,9944,5666,15609,4235,8063,12299,1076,1047,2127,1688,1289,2975,16942,16067,33007,17261,20551,37807,10.0,8.0,9.0,45.9,40.7,43.2,41.3,37.4,39.3,561,512,1076,308,598,906,2195,3352,5552,2188,3829,6012,10712,4829,15546,415,819,1234,795,1476,2276,11924,7125,19050,33992,35564,69559,6006,6392,12398,23084,23918,46998,15276,16587,31865
Broken Hill (C),11250,7134,7629,14767,2553,1680,4229,707,1471,2178,249,247,496,405,269,668,3908,3661,7572,2674,3406,6078,10.4,7.3,8.8,54.8,48.0,51.3,49.2,44.5,46.7,66,124,192,63,112,178,300,595,893,299,506,804,1976,907,2881,70,159,224,81,208,292,2123,1277,3399,6781,7126,13905,915,1024,1938,5223,5447,10669,2117,2414,4535
Hilltops (A),13910,7230,7657,14883,2999,1549,4551,790,1760,2549,237,222,464,244,201,441,4271,3736,8002,2421,3317,5739,5.7,5.4,5.5,59.1,48.8,53.8,55.7,46.1,50.8,76,103,177,44,94,140,393,769,1163,352,694,1042,1898,913,2806,74,148,227,110,223,336,2077,1284,3367,7175,7361,14530,1113,1218,2326,5156,5227,10380,2695,2961,5659
Hornsby (A),14000,55227,59570,114796,28218,16707,44920,7445,15442,22889,1257,1728,2987,1804,1765,3572,38727,35643,74365,14394,21453,35842,4.7,5.0,4.8,70.1,59.8,64.8,66.9,56.9,61.7,6693,5684,12374,1312,2014,3327,13164,15185,28348,5174,6974,12148,8091,3600,11687,332,581,914,970,1795,2769,9395,5970,15370,56997,60023,117022,8279,8810,17095,39891,41971,81858,22952,24450,47400
Hunters Hill (A),14100,5549,5794,11350,2445,1523,3968,654,1307,1964,141,162,304,122,108,222,3360,3102,6465,1895,2392,4289,3.6,3.5,3.4,60.6,53.5,57.0,58.4,51.6,54.9,651,571,1221,107,207,313,1384,1549,2932,397,670,1067,538,249,784,20,48,71,90,162,249,641,461,1107,5496,5627,11130,918,799,1709,3445,3775,7219,2710,2393,5098
Inner West (A),14170,74421,79710,154128,37794,30019,67813,10167,17222,27388,1855,2521,4372,2605,2420,5021,52415,52177,104599,16054,21703,37764,5.0,4.6,4.8,70.4,65.5,67.9,66.9,62.4,64.6,8137,9848,17982,1797,3093,4890,18707,22682,41396,6126,7632,13758,8351,4005,12359,395,590,994,1003,1438,2448,9754,6044,15790,63692,67533,131226,15492,16324,31816,39232,41888,81121,37220,39332,76547
Inverell (A),14200,6398,6759,13158,2415,1383,3796,751,1431,2186,191,229,417,283,227,509,3632,3267,6900,2212,2944,5161,7.8,6.9,7.4,56.8,48.3,52.4,52.5,45.0,48.6,42,59,102,43,83,128,301,654,956,300,540,833,1662,924,2582,71,125,192,122,196,314,1852,1247,3096,6089,6320,12413,1139,1215,2356,4326,4392,8722,2458,2733,5190
Junee (A),14300,2993,2176,5173,963,528,1491,215,479,687,66,71,137,57,55,116,1297,1133,2436,1474,839,2309,4.4,4.9,4.8,43.3,52.1,47.1,41.6,49.5,44.8,8,39,51,12,21,37,117,202,327,94,185,276,576,281,851,30,58,92,31,72,102,634,412,1045,2087,2081,4166,308,323,633,1534,1489,3019,741,788,1527
Kempsey (A),14350,11942,11972,23915,3067,1804,4873,1337,2476,3815,398,376,774,518,368,883,5321,5027,10348,5551,5859,11406,9.7,7.3,8.5,44.6,42.0,43.3,40.2,38.9,39.6,100,144,240,70,143,210,549,953,1505,516,984,1500,3249,1597,4848,160,247,408,206,405,614,3616,2253,5868,10708,10928,21640,1680,1824,3508,7814,7810,15626,3990,4334,8320
Kiama (A),14400,8649,9206,17852,3576,1815,5384,1134,2417,3545,248,309,556,243,196,436,5189,4732,9925,2927,3862,6788,4.7,4.1,4.4,60.0,51.4,55.6,57.3,49.3,53.1,414,431,842,173,365,533,1314,1641,2951,880,1188,2073,2365,927,3293,54,135,189,173,354,534,2601,1412,4017,8395,8616,17009,1222,1331,2557,5740,5954,11697,3548,3733,7283
Ku-ring-gai (A),14500,44363,49830,94189,21431,12877,34304,6083,12398,18484,923,1210,2136,1445,1263,2704,29883,27745,57631,12811,20031,32843,4.8,4.6,4.7,67.4,55.7,61.2,64.1,53.2,58.3,7424,5882,13309,1128,1794,2925,13784,15090,28873,3512,5476,8989,3017,1587,4607,161,303,464,694,1324,2016,3870,3221,7093,45746,49465,95218,7509,8113,15620,30098,32904,63001,21482,23180,44659
Kyogle (A),14550,3790,3686,7473,1171,603,1773,458,801,1263,116,87,205,181,127,310,1924,1620,3546,1498,1750,3245,9.4,7.8,8.7,50.8,44.0,47.5,46.0,40.5,43.4,53,53,106,35,74,104,236,378,610,191,359,546,871,461,1335,39,73,118,78,117,191,989,651,1645,3544,3439,6975,470,502,976,2692,2565,5257,1151,1213,2366
Lachlan (A),14600,2397,2442,4846,1066,500,1563,189,523,710,94,99,194,98,79,179,1447,1204,2644,667,986,1647,6.8,6.6,6.8,60.4,49.3,54.6,56.3,45.9,50.9,14,18,37,7,47,54,78,223,307,84,184,270,473,243,716,31,60,89,40,48,86,541,345,887,2325,2343,4671,312,335,647,1697,1669,3359,745,844,1592
Lake Macquarie (C),14650,77721,83535,161262,32717,17525,50244,8979,21497,30476,2072,2470,4543,3614,2687,6295,47385,44178,91558,26694,35368,62065,7.6,6.1,6.9,61.0,52.9,56.8,56.3,49.7,52.9,2233,2240,4480,873,1602,2474,7306,10926,18231,5956,8534,14489,24259,10608,34868,648,1478,2125,1488,2852,4344,26396,14936,41333,77298,81240,158538,11721,12531,24250,54398,56697,111090,31211,33702,64907
Lane Cove (A),14700,14294,15081,29376,7808,5479,13289,1790,3414,5208,310,494,799,441,442,885,10345,9830,20174,3237,4549,7782,4.3,4.5,4.4,72.4,65.2,68.7,69.3,62.2,65.7,2258,2101,4355,378,604,984,4425,4992,9415,1158,1594,2750,1182,617,1794,55,101,157,185,345,528,1418,1054,2476,12951,13533,26478,3360,3371,6727,7698,8332,16029,7944,7923,15867
Leeton (A),14750,4388,4482,8868,2044,1074,3112,368,918,1294,160,134,296,132,132,259,2704,2261,4964,1261,1804,3068,4.9,5.8,5.2,61.6,50.4,56.0,58.6,47.4,53.0,47,46,97,28,51,75,246,419,663,174,308,480,1112,508,1618,42,98,134,49,143,192,1205,742,1946,4238,4262,8498,661,714,1377,2983,2927,5917,1655,1767,3419
Lismore (C),14850,17014,18420,35430,6010,3893,9896,2613,4721,7331,418,517,937,884,651,1534,9922,9778,19700,5660,7160,12824,8.9,6.7,7.8,58.3,53.1,55.6,53.1,49.6,51.3,460,518,981,227,493,722,1750,2772,4517,1072,1813,2885,4346,2392,6739,233,372,604,310,583,890,4895,3342,8239,15986,16967,32950,2685,2863,5552,11238,11798,23040,6765,7395,14161
Mid-Western Regional (A),15270,9550,9626,19175,4021,1823,5847,955,2329,3281,277,288,566,374,300,678,5634,4742,10371,2923,3922,6850,6.6,6.3,6.5,59.0,49.3,54.1,55.0,46.1,50.6,98,162,260,69,146,216,601,1012,1610,464,840,1307,2882,1245,4121,114,210,319,168,282,448,3160,1727,4888,8928,8827,17757,1628,1660,3286,5813,5619,11432,4115,4225,8338
Moree Plains (A),15300,5169,5105,10270,2428,1339,3765,379,1006,1388,170,193,371,216,165,376,3195,2703,5902,1316,1777,3093,6.8,6.1,6.4,61.8,52.9,57.5,57.6,49.7,53.8,53,65,114,24,86,106,291,531,819,230,427,657,1105,531,1635,42,92,131,64,120,181,1214,739,1947,4884,4778,9664,739,810,1548,3514,3313,6831,1734,1864,3599
Mosman (A),15350,10613,12852,23465,5439,3862,9297,1446,2676,4124,244,338,582,273,299,567,7395,7173,14575,2428,4765,7192,3.7,4.2,3.9,69.7,55.8,62.1,67.2,53.5,59.7,1689,1624,3317,245,471,723,3487,3926,7415,847,1460,2308,681,394,1070,30,92,119,140,302,441,843,788,1632,9791,11331,21125,2043,2483,4525,5851,6923,12771,5675,6599,12272
Murray River (A),15520,4792,4889,9683,2049,1031,3080,446,1140,1582,161,169,333,113,83,194,2767,2426,5189,1629,2048,3678,4.1,3.4,3.7,57.7,49.6,53.6,55.4,47.9,51.6,48,56,103,16,92,112,261,504,763,267,436,708,1260,500,1757,25,79,107,80,96,168,1362,672,2033,4470,4464,8938,756,834,1584,3117,3056,6169,1864,2011,3878
Murrumbidgee (A),15560,1581,1466,3051,759,350,1104,132,347,480,65,59,129,51,31,80,1006,791,1797,402,528,929,5.1,3.9,4.5,63.6,54.0,58.9,60.5,51.6,56.1,8,15,28,5,21,25,80,147,227,69,115,191,363,152,514,9,23,30,28,46,68,392,220,608,1555,1394,2952,188,172,359,1130,989,2114,539,507,1053
Muswellbrook (A),15650,6366,6097,12458,2960,1386,4344,568,1391,1954,224,208,430,331,270,603,4083,3254,7337,1840,2430,4270,8.1,8.3,8.2,64.1,53.4,58.9,58.9,49.0,54.0,74,62,137,31,70,99,276,474,746,313,448,757,1906,929,2831,70,149,218,69,163,238,2045,1238,3284,6036,5858,11896,1132,1240,2372,3769,3561,7334,2965,3135,6098
Nambucca (A),15700,7808,8233,16040,1964,1168,3129,996,1675,2670,220,212,433,372,275,645,3550,3330,6878,3589,4239,7822,10.5,8.3,9.4,45.5,40.4,42.9,40.7,37.1,38.9,96,117,210,69,135,207,509,753,1261,402,778,1182,2194,1074,3273,92,177,272,150,307,456,2444,1559,4000,7318,7534,14854,1148,1264,2407,5170,5326,10494,2922,3138,6061
Narrabri (A),15750,5153,5134,10296,2414,1230,3646,485,1164,1645,180,179,363,203,155,359,3278,2730,6013,1312,1815,3127,6.2,5.7,6.0,63.6,53.2,58.4,59.8,50.1,54.9,67,57,125,34,71,101,277,517,795,204,389,597,1188,618,1809,47,92,137,66,137,202,1304,851,2150,4971,4918,9896,675,718,1395,3608,3487,7096,1723,1807,3531
Narrandera (A),15800,2325,2370,4697,979,512,1488,175,497,667,78,92,170,98,51,150,1329,1148,2472,743,970,1708,7.4,4.4,6.1,57.2,48.4,52.6,53.0,46.5,49.5,16,21,36,14,35,50,90,223,317,91,189,282,521,246,769,36,41,76,36,62,98,589,347,936,2153,2197,4342,355,351,711,1614,1630,3239,746,795,1543
Narromine (A),15850,2501,2567,5069,1085,617,1697,215,521,738,88,60,152,120,85,206,1507,1282,2792,743,1023,1767,8.0,6.6,7.4,60.3,49.9,55.1,55.5,46.7,51.0,16,24,36,10,28,40,99,290,395,113,204,318,607,315,923,32,50,83,39,62,96,681,425,1107,2512,2447,4961,315,394,705,1853,1784,3637,800,883,1683
Newcastle (C),15900,63053,66161,129212,26861,16534,43399,8573,17246,25820,1628,2188,3816,3340,2489,5829,40409,38456,78864,18926,23713,42642,8.3,6.5,7.4,64.1,58.1,61.0,58.8,54.4,56.5,3265,3297,6561,891,1600,2487,9088,12135,21223,4726,6538,11267,15114,7256,22368,599,953,1545,1003,1647,2647,16712,9851,26567,57658,59255,116905,12824,13466,26287,37577,38973,76554,30277,31546,61822
North Sydney (A),15950,27605,31513,59115,16230,13704,29933,3092,5787,8877,619,1008,1629,745,815,1565,20691,21314,42001,4649,7802,12445,3.6,3.8,3.7,75.0,67.6,71.0,72.2,65.0,68.4,4476,4618,9095,789,1291,2079,9504,10955,20458,2359,3418,5771,1915,1125,3039,100,204,308,363,654,1013,2382,1981,4363,21650,24560,46211,6576,7258,13828,10806,12835,23639,16650,18345,34989
Northern Beaches (A),15990,97849,105173,203023,50932,30356,81286,13404,29260,42657,2510,3233,5739,2365,2274,4642,69209,65116,134320,23376,34169,57546,3.4,3.5,3.5,70.7,61.9,66.2,68.3,59.8,63.9,7599,7016,14614,1803,3135,4938,21308,24790,46103,9648,14179,23826,18510,7353,25866,618,1108,1729,2040,3535,5574,21179,11995,33170,97140,101663,198799,16113,16923,33034,63812,67137,130944,45259,47467,92725
Oberon (A),16100,2278,2101,4375,966,456,1419,196,494,694,65,64,134,74,62,137,1302,1078,2381,736,806,1545,5.7,5.8,5.8,57.2,51.3,54.4,53.9,48.3,51.4,32,38,69,14,34,51,107,203,309,113,169,286,608,201,809,22,50,80,41,70,111,672,329,997,1975,1908,3883,327,312,638,1399,1342,2739,788,767,1551
Orange (C),16150,15142,16661,31801,6964,4386,11352,1619,3861,5484,455,523,977,651,553,1200,9681,9326,19008,4413,6277,10690,6.7,5.9,6.3,63.9,56.0,59.8,59.7,52.6,56.0,497,490,993,187,392,581,1521,2438,3964,992,1676,2668,3847,2200,6042,181,290,471,251,532,782,4275,3023,7300,14485,15365,29853,3213,3394,6607,9155,9621,18776,7528,8263,15786
Parkes (A),16200,5680,5981,11662,2411,1233,3647,536,1270,1805,181,213,395,256,208,470,3383,2925,6307,1738,2450,4189,7.6,7.1,7.5,59.6,48.9,54.1,55.1,45.4,50.1,64,75,132,44,67,113,301,556,848,248,472,720,1485,812,2302,64,134,206,97,181,274,1652,1128,2776,5504,5621,11127,842,908,1751,3918,3946,7871,2096,2266,4363
Parramatta (C),16260,91838,92711,184550,44616,27465,72078,11457,18295,29747,2227,2531,4759,3973,4044,8019,62277,52332,114609,24167,35113,59275,6.4,7.7,7.0,67.8,56.4,62.1,63.5,52.1,57.8,11124,10094,21226,1510,2134,3647,21066,22688,43754,7811,9274,17086,11243,5214,16450,455,842,1301,1357,2047,3398,13054,8100,21154,81899,84187,166087,20006,19217,39223,48624,50977,99606,48405,47292,95698
Cessnock (C),11720,21820,22360,44189,8481,4262,12738,2296,5273,7571,615,702,1316,1141,919,2059,12533,11152,23687,7803,9566,17368,9.1,8.2,8.7,57.4,49.9,53.6,52.2,45.8,48.9,205,261,466,102,240,347,873,1613,2485,1007,1794,2799,6785,3442,10224,230,548,779,316,664,980,7333,4653,11980,20809,21472,42279,3374,3609,6983,14220,14275,28491,8662,9543,18207
Clarence Valley (A),11730,20766,21595,42364,6061,3370,9432,2421,4573,6992,559,579,1134,976,765,1740,10018,9285,19303,9158,10756,19915,9.7,8.2,9.0,48.2,43.0,45.6,43.5,39.5,41.4,287,286,575,195,309,504,1181,1948,3129,1136,1879,3011,5742,2932,8671,232,438,664,395,760,1160,6370,4132,10497,19256,19771,39028,3198,3367,6566,13693,13899,27591,7815,8440,16254
Cobar (A),11750,1870,1753,3623,949,463,1411,109,341,448,82,70,157,76,47,123,1217,922,2138,424,632,1053,6.2,5.1,5.8,65.1,52.6,59.0,61.0,49.9,55.6,22,23,53,11,21,33,102,146,248,51,125,175,534,215,753,10,38,55,26,25,50,571,279,852,1737,1634,3371,305,299,606,1161,1059,2219,758,748,1506
Coffs Harbour (C),11800,28551,31045,59595,10122,6188,16313,4008,7719,11722,738,844,1587,1304,1035,2347,16171,15794,31971,10132,12872,23007,8.1,6.6,7.3,56.6,50.9,53.6,52.1,47.5,49.7,600,650,1250,341,596,938,2641,3982,6628,1971,3464,5433,7837,3862,11703,334,690,1021,516,1007,1519,8683,5561,14244,26447,28010,54451,5292,5843,11139,17280,18028,35309,13272,14725,27995
Coolamon (A),12000,1680,1751,3431,700,375,1070,158,384,542,51,60,114,52,43,101,962,866,1823,537,692,1225,5.4,5.0,5.5,57.3,49.5,53.1,54.1,46.8,50.3,23,25,47,6,26,35,79,191,268,82,143,225,435,211,643,20,34,53,32,52,85,485,294,778,1629,1647,3278,236,228,463,1177,1209,2383,617,585,1197
Burwood (A),11300,15370,16638,32004,6020,4279,10296,2518,3491,6007,423,441,867,728,681,1413,9692,8894,18583,4845,6870,11708,7.5,7.7,7.6,63.1,53.5,58.1,58.3,49.4,53.6,1592,1678,3271,196,315,510,3452,3975,7425,1228,1522,2750,1502,750,2254,73,117,192,175,291,472,1753,1160,2916,12788,13840,26630,3643,3784,7430,8034,8757,16787,7968,8461,16433
Byron (A),11350,12547,13726,26265,3792,2335,6120,2536,4065,6602,405,431,839,499,448,945,7227,7279,14502,3682,4758,8433,6.9,6.2,6.5,57.6,53.0,55.2,53.7,49.8,51.6,480,631,1109,201,391,593,1859,2661,4526,956,1831,2787,2854,1248,4102,82,153,236,211,409,619,3148,1810,4955,10763,11417,22180,2190,2649,4840,7150,7322,14476,5271,6167,11436
Cabonne (A),11400,5217,5283,10499,2511,1268,3778,534,1338,1874,186,187,373,145,125,268,3377,2920,6295,1463,2012,3480,4.3,4.3,4.3,64.7,55.3,60.0,61.9,52.9,57.4,121,123,245,44,94,138,398,710,1112,352,543,900,1437,611,2048,49,113,167,86,199,282,1574,927,2494,5421,5412,10831,633,685,1321,3952,3838,7786,1805,1962,3764
Camden (A),11450,28799,30720,59521,17176,9747,26915,2915,8012,10922,910,1262,2173,825,895,1726,21826,19916,41740,5616,9341,14959,3.8,4.5,4.1,75.8,64.8,70.1,72.9,61.9,67.2,813,1021,1842,279,590,864,2661,4303,6968,2499,3644,6135,8607,3724,12333,214,573,786,515,871,1392,9341,5168,14507,29046,30195,59235,6266,6578,12844,16575,17182,33753,16647,17577,34221
Campbelltown (C) (NSW),11500,59612,63534,123148,28690,17079,45764,6774,12730,19503,1784,1784,3572,2823,3053,5874,40062,34650,74715,16095,25007,41106,7.0,8.8,7.9,67.2,54.5,60.7,62.5,49.7,55.9,2382,2257,4641,474,733,1202,5561,7496,13056,4307,6132,10444,13555,7173,20731,542,1132,1675,1102,1762,2858,15201,10066,25265,60216,62573,122783,9836,10222,20058,41355,42827,84180,25115,26547,51662
