lga_code_2016,ia_ds_separate_house,ia_ds_semd_ro_tr_h_th,ia_ds_flat_or_apart,ia_ds_other_dwelling,ia_ds_not_stated,ia_total,i_na_ds_separate_house,i_na_ds_semd_ro_tr_h_th,i_na_ds_flat_or_apart,i_na_ds_other_dwelling,i_na_ds_not_stated,i_na_total,ic_ns_ds_separate_house,ic_ns_ds_semd_ro_tr_h_th,ic_ns_ds_flat_or_apart,ic_ns_ds_other_dwelling,ic_ns_ds_not_stated,ic_not_stated_total,total_ds_separate_house,total_ds_semd_ro_tr_h_th,total_ds_flat_or_apart,total_ds_other_dwelling,total_ds_not_stated,total_total,lga_name_2016
26810,11824,293,242,88,61,12501,2696,221,144,59,15,3127,394,36,17,6,5,456,14918,541,399,152,77,16082,Wellington (S)
26890,1103,6,3,9,0,1130,380,12,11,3,3,410,41,6,0,0,0,43,1524,23,15,19,4,1586,West Wimmera (S)
26980,34771,11771,3721,47,109,50416,4050,1811,708,3,9,6586,792,320,164,0,27,1307,39612,13902,4594,48,148,58308,Whitehorse (C)
27070,44947,6793,1570,20,77,53414,7091,1117,417,0,10,8642,1335,195,70,3,16,1622,53377,8110,2062,25,108,63678,Whittlesea (C)
27170,10373,957,189,26,66,11606,1681,463,122,14,8,2287,271,74,18,3,4,367,12316,1492,333,46,78,14260,Wodonga (C)
17100,4680,696,5390,114,86,10967,502,92,604,8,11,1218,123,24,317,6,17,482,5299,808,6316,132,116,12674,Strathfield (A)
17150,44295,8687,13658,253,135,67031,3599,1433,2620,96,21,7768,812,253,438,26,36,1562,48705,10368,16718,367,199,76356,Sutherland Shire (A)
17200,1416,14784,57536,325,348,74409,226,1506,6361,48,38,8182,79,543,1984,41,182,2838,1717,16835,65879,416,574,85423,Sydney (C)
27260,50033,7939,1127,70,52,59222,4585,1127,307,55,14,6083,1338,233,56,4,17,1642,55956,9298,1486,123,82,66946,Wyndham (C)
22310,23292,11144,11000,152,130,45721,2647,1233,1507,19,14,5423,519,289,317,4,21,1154,26458,12661,12825,181,171,52296,Glen Eira (C)
22410,5336,112,131,39,33,5643,1517,82,122,24,6,1742,221,13,15,3,7,255,7067,203,266,66,46,7644,Glenelg (S)
22490,6086,14,16,24,14,6153,866,6,7,4,7,884,142,0,0,0,3,148,7093,17,24,31,19,7184,Golden Plains (S)
27350,4431,12798,14116,195,150,31702,524,957,2018,11,19,3530,123,335,536,14,20,1022,5083,14091,16670,223,189,36254,Yarra (C)
27450,42820,1863,194,143,155,45173,4764,684,38,110,24,5619,970,101,6,15,19,1115,48543,2647,243,265,205,51905,Yarra Ranges (S)
27630,1846,3,15,22,21,1902,632,6,37,6,3,682,77,4,0,3,0,92,2555,15,50,29,32,2679,Yarriambiack (S)
29399,40,3,66,3,3,117,11,0,7,3,0,22,0,0,10,3,0,14,46,6,86,8,5,151,Unincorporated Vic
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No usual address (Vic.)
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Vic.)
30250,144,8,8,3,0,164,73,0,9,0,0,85,10,0,0,0,0,7,227,14,20,3,0,259,Aurukun (S)
30300,1023,3,11,25,14,1073,359,0,15,5,3,385,52,0,0,10,3,74,1428,4,32,42,23,1539,Balonne (S)
30370,3585,35,129,41,24,3814,878,23,44,31,9,980,140,3,14,13,7,178,4602,64,183,83,42,4965,Banana (S)
30410,755,0,14,20,15,810,229,0,4,14,3,248,35,0,0,4,0,34,1019,0,23,38,19,1096,Barcaldine (R)
30450,61,0,3,3,0,73,30,0,0,3,0,36,3,0,0,0,0,3,95,0,11,4,0,110,Barcoo (S)
30760,496,4,6,15,6,530,179,17,0,4,0,201,21,5,0,0,3,34,701,26,7,21,9,761,Blackall-Tambo (R)
34710,939,25,39,32,9,1046,234,14,19,6,0,272,40,0,4,3,0,46,1207,41,61,42,12,1366,Longreach (R)
34770,28947,2298,1233,290,133,32900,4832,993,525,141,46,6538,808,134,108,122,64,1228,34580,3428,1871,545,242,40669,Mackay (R)
34800,183,5,0,3,9,207,50,4,0,3,3,58,3,0,0,0,0,5,242,10,0,9,15,270,McKinlay (S)
34830,47,0,4,0,0,48,32,0,3,0,0,29,3,0,0,0,0,3,74,0,4,3,0,84,Mapoon (S)
34860,3122,69,40,31,29,3293,899,65,17,19,3,998,129,6,3,9,4,150,4148,141,58,57,33,4439,Maranoa (R)
34880,5058,46,121,138,35,5390,1485,58,118,85,9,1751,209,8,13,19,17,262,6748,115,252,242,58,7408,Mareeba (S)
35010,108753,12134,4826,674,267,126658,11443,3556,2288,467,50,17798,2300,491,296,75,40,3208,122497,16179,7409,1220,362,147666,Moreton Bay (R)
35250,112,15,5,0,0,129,105,5,0,4,0,124,6,0,0,0,0,8,224,22,4,6,0,261,Mornington (S)
35300,3859,664,239,54,40,4853,668,211,90,24,9,1003,143,29,21,14,14,221,4668,907,349,82,68,6078,Mount Isa (C)
35600,1059,11,20,20,8,1131,363,28,12,8,6,415,60,0,3,0,0,68,1484,48,38,31,14,1611,Murweh (S)
35670,96,10,0,3,0,108,94,29,0,0,0,124,0,3,0,4,0,3,189,40,0,9,0,235,Napranum (S)
35740,14079,1883,1122,91,99,17271,1548,458,279,40,21,2348,345,98,50,10,30,531,15965,2436,1452,145,146,20143,Noosa (S)
35760,2432,8,30,99,18,2589,1004,17,46,72,9,1143,134,3,18,20,3,180,3569,31,96,191,30,3916,North Burnett (R)
35780,437,35,16,21,0,511,103,10,4,10,0,129,23,3,3,8,4,41,567,47,21,32,4,676,Northern Peninsula Area (R)
35790,237,16,18,6,0,275,156,12,16,9,0,194,4,3,0,0,0,9,397,34,27,19,0,483,Palm Island (S)
35800,358,3,0,8,8,386,209,14,0,4,3,228,31,0,0,0,0,30,598,15,4,16,15,647,Paroo (S)
36070,114,0,17,3,0,138,62,0,15,3,0,81,3,0,0,0,0,3,175,0,36,6,0,218,Pormpuraaw (S)
36150,208,0,8,5,0,223,71,0,7,0,0,83,4,0,9,0,0,20,288,0,25,8,0,319,Quilpie (S)
36250,39915,3682,1582,212,144,45540,3779,1091,708,145,26,5745,864,157,79,18,52,1165,44559,4931,2362,370,223,52446,Redland (C)
36300,208,0,0,3,5,214,61,8,0,0,0,67,11,0,0,0,0,13,271,10,0,4,10,295,Richmond (S)
36370,19839,1174,687,132,75,21905,4397,698,431,72,21,5614,632,101,59,22,41,853,24867,1968,1177,228,131,28375,Rockhampton (R)
36510,10753,309,103,135,31,11327,2037,173,94,48,11,2369,302,19,12,17,3,349,13100,500,202,196,47,14043,Scenic Rim (R)
36580,6406,46,16,54,54,6590,1641,31,18,32,13,1732,229,5,4,8,11,260,8279,81,39,99,86,8579,Somerset (R)
36630,8512,189,217,119,41,9071,2435,116,162,75,9,2803,333,14,24,18,0,393,11275,321,409,204,49,12265,South Burnett (R)
36660,9163,396,170,100,66,9894,2572,273,144,71,18,3069,317,36,19,9,5,390,12046,703,334,184,89,13355,Southern Downs (R)
36720,71429,10132,10111,948,378,92997,7012,2940,2337,552,133,12982,1529,456,460,90,76,2613,79971,13524,12917,1586,590,108589,Sunshine Coast (R)
36820,6609,134,209,128,31,7105,1600,113,182,76,10,1982,251,11,29,17,5,309,8462,258,412,221,46,9397,Tablelands (R)
36910,40439,4351,1684,201,214,46881,6945,1869,852,106,59,9830,1020,244,100,11,112,1491,48398,6466,2638,322,385,58204,Toowoomba (R)
36950,468,32,60,14,0,576,137,18,26,6,0,190,116,11,11,8,0,142,722,61,100,21,0,908,Torres (S)
36960,612,49,9,0,0,666,285,7,0,0,0,294,31,0,0,0,0,31,922,51,8,4,0,988,Torres Strait Island (R)
37010,45918,4531,3731,371,154,54707,6111,1974,945,165,37,9232,1136,259,174,24,60,1660,53162,6771,4858,560,253,65599,Townsville (C)
37310,7898,267,221,57,45,8497,2186,166,119,38,24,2528,242,32,28,12,7,323,10334,467,363,111,81,11350,Western Downs (R)
37340,7115,600,644,170,127,8659,1497,261,250,66,26,2097,288,58,79,34,43,501,8900,919,976,271,195,11255,Whitsunday (R)
30900,76,0,3,3,3,81,31,5,0,4,3,40,9,0,0,0,0,15,111,5,0,5,6,135,Boulia (S)
31000,244931,35545,72945,1099,1119,355642,22187,4987,10751,575,176,38683,5314,1577,2323,132,480,9835,272437,42115,86018,1809,1776,404159,Brisbane (C)
33960,48882,3629,557,160,104,53332,6853,1421,337,125,32,8762,1233,216,47,35,24,1565,56966,5262,948,321,163,63661,Ipswich (C)
33980,4594,316,244,87,29,5266,597,37,54,33,3,733,148,7,9,12,12,191,5339,353,312,128,52,6186,Isaac (R)
34420,131,45,0,0,0,183,35,16,0,0,0,56,3,0,0,0,0,4,173,66,0,0,0,241,Kowanyama (S)
34530,9205,298,455,171,53,10180,1474,179,243,130,8,2045,260,11,30,41,91,428,10934,495,733,340,148,12654,Livingstone (S)
31750,82,0,0,0,4,84,29,0,0,0,0,32,4,0,0,0,0,8,114,0,0,3,6,125,Bulloo (S)
31820,23916,1380,1094,371,101,26857,5551,837,648,255,32,7309,793,128,85,43,30,1077,30258,2335,1821,670,159,35244,Bundaberg (R)
31900,4314,24,235,81,16,4672,1321,20,262,41,3,1647,142,4,22,11,29,211,5781,43,522,138,51,6530,Burdekin (S)
31950,32,0,0,5,5,45,31,0,0,7,3,38,5,0,0,0,3,5,62,0,0,13,9,91,Burke (S)
32080,34519,3752,7065,325,232,45890,4411,1376,2124,155,68,8134,971,211,405,65,118,1761,39903,5334,9591,541,422,55790,Cairns (R)
32250,315,6,9,43,20,397,179,0,10,25,6,222,26,0,0,7,0,33,523,6,26,77,25,655,Carpentaria (S)
32260,7000,129,418,213,62,7819,1929,78,282,126,15,2432,267,12,39,41,6,369,9198,226,742,377,87,10621,Cassowary Coast (R)
32270,6317,266,379,140,236,7336,1010,47,114,75,61,1303,201,12,24,18,22,276,7524,322,515,238,311,8906,Central Highlands (R) (Qld)
32310,2748,29,66,60,18,2921,965,27,68,26,5,1086,126,4,10,3,7,147,3835,64,144,89,31,4157,Charters Towers (R)
34570,61,0,0,0,0,64,77,0,3,0,0,77,7,0,0,0,0,11,146,3,3,0,0,155,Lockhart River (S)
34580,9415,187,118,178,70,9969,2097,115,94,83,19,2415,351,20,20,89,8,493,11865,323,233,352,102,12872,Lockyer Valley (R)
34590,72730,7497,1604,352,181,82364,8813,2266,903,205,69,12256,1994,362,158,48,47,2601,83533,10127,2664,604,295,97224,Logan (C)
32330,89,5,3,0,0,99,175,3,5,0,0,182,0,0,0,0,0,0,263,6,8,0,0,281,Cherbourg (S)
32450,537,9,42,35,20,643,168,5,31,20,0,234,21,0,9,9,0,44,729,13,85,60,27,922,Cloncurry (S)
32500,780,11,50,66,20,919,295,3,33,41,3,375,60,0,3,36,0,104,1128,8,88,150,20,1400,Cook (S)
32600,43,0,0,4,3,55,23,0,0,0,0,23,0,0,0,0,0,8,76,0,0,7,3,85,Croydon (S)
37300,650,300,29,18,0,998,55,43,6,10,0,107,20,14,0,3,0,37,722,354,38,30,0,1148,Weipa (T)
32750,60,0,0,5,0,65,8,0,0,0,0,8,9,0,0,0,0,13,80,0,0,5,3,86,Diamantina (S)
41140,2631,59,15,35,28,2773,573,59,18,3,8,658,82,0,0,0,0,94,3293,123,35,42,32,3521,Clare and Gilbert Valleys (DC)
41010,826,9,16,22,5,879,251,5,28,12,0,297,56,3,3,5,0,72,1138,19,54,40,6,1249,Ceduna (DC)
41060,22424,9007,3022,76,126,34658,5005,2567,987,22,24,8592,614,341,152,4,8,1116,28039,11914,4156,101,157,44365,Charles Sturt (C)
32770,123,6,14,4,0,148,78,3,19,0,0,101,4,18,0,0,0,27,205,22,39,4,0,268,Doomadgee (S)
32810,2469,354,316,96,50,3290,457,104,136,38,14,743,95,19,31,11,7,160,3025,475,480,143,75,4197,Douglas (S)
33100,166,0,0,10,12,186,73,0,0,6,5,85,9,0,0,37,0,49,248,0,6,51,16,319,Etheridge (S)
33200,270,125,8,0,18,419,96,34,0,0,7,142,16,10,0,0,0,28,387,171,4,0,27,586,Flinders (S) (Qld)
33220,26837,1897,753,517,192,30192,5664,1148,399,319,45,7571,876,131,70,63,86,1220,33377,3173,1225,896,321,38988,Fraser Coast (R)
33360,16022,732,927,229,51,17956,2221,237,358,104,18,2936,370,25,54,30,4,483,18624,989,1340,357,69,21378,Gladstone (R)
33430,103921,33738,31143,906,541,170250,9248,6036,6932,484,112,22814,2589,1245,1405,86,272,5599,115758,41021,39485,1476,933,198668,Gold Coast (C)
33610,2506,44,136,32,33,2756,757,29,91,22,20,916,98,3,14,7,4,120,3357,81,241,66,55,3793,Goondiwindi (R)
33620,13340,457,213,275,49,14334,3126,295,184,148,36,3789,445,45,18,31,10,547,16909,795,419,455,95,18676,Gympie (R)
33800,2822,21,85,57,18,2998,971,24,115,21,3,1132,119,0,11,3,3,143,3909,47,215,82,22,4268,Hinchinbrook (S)
33830,159,3,0,0,0,165,62,3,0,0,0,65,5,0,0,0,0,5,220,7,0,0,0,231,Hope Vale (S)
37400,275,3,9,27,6,316,105,0,17,14,0,132,15,0,0,7,0,19,395,4,22,42,10,469,Winton (S)
41560,3903,111,62,17,15,4112,1223,165,65,14,3,1473,123,14,6,5,3,149,5250,294,138,39,22,5735,Copper Coast (DC)
41750,289,0,0,23,3,320,80,0,5,10,3,91,0,0,0,0,0,4,370,3,3,32,5,416,Elliston (DC)
37550,80,3,0,0,0,85,122,26,3,0,0,146,12,0,0,0,0,13,209,32,0,0,0,245,Woorabinda (S)
47290,552,6,3,7,0,569,159,3,0,8,0,167,17,0,0,4,0,20,733,6,4,14,3,764,Southern Mallee (DC)
47490,588,10,0,7,0,605,132,13,0,3,0,145,22,0,0,3,0,31,744,20,0,18,4,780,Streaky Bay (DC)
47630,1813,18,5,14,10,1864,484,12,5,7,3,512,53,0,0,0,0,53,2348,35,8,18,13,2427,Tatiara (DC)
47700,28941,1980,531,21,44,31520,3459,731,172,4,10,4377,548,93,19,0,9,664,32954,2802,722,25,59,36559,Tea Tree Gully (C)
47800,1499,23,8,16,3,1555,451,28,5,17,3,502,42,5,0,0,3,54,1994,55,11,32,12,2107,The Coorong (DC)
47910,722,22,16,4,9,777,215,36,21,14,3,277,22,0,0,0,0,25,959,58,30,19,8,1077,Tumby Bay (DC)
37570,46,0,4,0,0,49,16,0,8,0,0,25,0,0,0,0,0,0,66,0,15,0,0,78,Wujal Wujal (S)
37600,164,41,13,8,0,224,157,15,23,42,0,233,3,0,0,0,0,8,327,54,35,52,0,465,Yarrabah (S)
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No usual address (Qld)
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (Qld)
50980,3132,276,221,268,66,3964,613,85,81,107,33,921,132,18,19,45,13,232,3881,377,324,423,110,5112,Broome (S)
40070,971,2638,3811,61,47,7528,73,305,492,8,3,878,19,94,126,10,31,278,1060,3040,4421,72,86,8678,Adelaide (C)
40120,11881,209,70,26,63,12247,1142,86,37,12,34,1311,174,7,4,3,5,198,13196,306,114,36,102,13761,Adelaide Hills (DC)
40220,7928,183,80,70,28,8291,1534,77,83,40,4,1730,175,4,10,8,6,208,9639,262,166,121,37,10229,Alexandrina (DC)
40250,151,30,0,0,0,179,288,0,0,3,0,298,20,0,0,0,0,21,456,34,0,8,0,494,Anangu Pitjantjatjara (AC)
40310,6883,294,60,56,24,7322,1175,196,58,18,11,1451,115,14,6,0,5,140,8179,499,130,75,37,8917,Barossa (DC)
40430,701,20,4,15,8,750,242,15,8,4,0,266,17,0,0,3,0,29,968,34,15,20,5,1046,Barunga West (DC)
40520,2761,144,94,19,22,3032,729,133,102,8,7,969,131,27,14,0,3,174,3621,299,209,34,30,4179,Berri and Barmera (DC)
51610,369,0,0,7,3,378,52,0,0,13,0,69,13,0,0,0,7,18,432,0,0,26,10,461,Chapman Valley (S)
40700,10253,3057,1332,12,24,14673,891,576,349,0,3,1818,131,102,56,0,0,289,11273,3727,1736,13,26,16778,Burnside (C)
40910,11641,2654,1100,9,36,15443,2379,649,409,0,5,3443,248,108,44,0,5,404,14268,3411,1551,8,47,19286,Campbelltown (C) (SA)
41190,514,0,0,9,4,533,130,0,0,4,0,143,9,0,0,3,0,12,661,0,0,20,4,688,Cleve (DC)
41330,395,3,0,0,18,417,221,3,0,0,4,231,41,0,0,0,9,41,653,7,0,0,30,694,Coober Pedy (DC)
41830,456,14,3,5,3,475,162,15,10,0,0,191,18,0,3,0,0,23,638,26,16,5,6,685,Flinders Ranges (DC)
41960,331,13,0,8,0,349,100,12,0,4,0,125,9,0,0,0,0,8,437,29,3,12,0,483,Franklin Harbour (DC)
42030,6213,798,61,28,20,7126,1145,480,53,27,10,1708,133,58,8,6,0,201,7488,1333,125,61,25,9038,Gawler (T)
42110,1161,24,0,11,15,1213,353,13,0,4,3,377,43,0,0,6,7,46,1561,43,0,21,22,1645,Goyder (DC)
42250,2162,8,4,12,15,2204,447,3,6,7,3,464,48,0,0,0,0,55,2663,11,8,20,15,2721,Grant (DC)
52800,994,109,53,66,12,1223,575,80,25,30,5,710,59,19,4,22,0,107,1623,203,85,117,16,2042,Derby-West Kimberley (S)
52870,1665,30,3,14,15,1727,326,22,0,3,4,359,46,3,0,0,0,50,2031,61,4,17,17,2132,Donnybrook-Balingup (S)
42600,6943,3268,2022,22,45,12308,778,789,641,16,7,2235,123,103,88,0,14,329,7848,4160,2755,37,71,14872,Holdfast Bay (C)
42750,1357,18,17,13,22,1419,312,17,6,0,3,341,42,0,0,0,7,53,1712,36,25,17,23,1812,Kangaroo Island (DC)
43080,277,0,0,6,0,284,117,0,0,3,0,120,14,0,0,3,0,15,409,0,0,12,0,419,Karoonda East Murray (DC)
43220,301,3,0,0,3,306,69,5,0,0,0,77,10,0,0,0,0,10,377,9,0,0,3,389,Kimba (DC)
43360,650,28,3,8,0,685,216,11,6,0,3,235,31,0,0,0,0,29,897,37,8,10,3,953,Kingston (DC) (SA)
43650,4214,32,3,18,18,4281,611,26,8,4,3,648,88,3,3,0,0,93,4906,65,12,21,19,5023,Light (RegC)
43710,1531,5,0,33,7,1587,276,8,0,21,4,309,31,3,0,0,0,40,1848,16,0,53,10,1933,Lower Eyre Peninsula (DC)
43790,3101,126,50,35,17,3331,815,121,78,21,0,1038,94,24,4,0,3,126,4013,268,132,57,27,4497,Loxton Waikerie (DC)
43920,2399,10,5,19,10,2436,497,5,0,3,6,519,69,3,0,4,3,78,2964,17,3,28,21,3032,Mallala (DC)
44000,3,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,15,0,0,0,0,15,Maralinga Tjarutja (AC)
44060,20890,6258,1632,12,91,28883,3074,1819,687,6,16,5604,457,236,85,0,4,785,24419,8310,2411,20,111,35275,Marion (C)
44210,2419,15,3,67,23,2527,828,16,7,24,7,884,87,0,0,4,4,91,3330,39,7,91,33,3506,Mid Murray (DC)
44340,17041,1914,1696,33,68,20751,1659,354,553,6,7,2582,292,108,61,0,11,471,18996,2371,2309,43,84,23807,Mitcham (C)
44550,9995,304,41,50,26,10410,1167,186,17,23,4,1385,182,22,0,3,3,210,11349,507,54,70,29,12013,Mount Barker (DC)
44620,6319,838,541,25,24,7747,1430,526,343,4,12,2308,174,49,40,0,5,270,7916,1405,925,30,42,10321,Mount Gambier (C)
44830,849,6,3,6,9,873,240,7,0,3,3,254,23,0,0,0,0,24,1107,11,4,8,13,1153,Mount Remarkable (DC)
45040,5270,422,26,55,42,5814,1466,369,18,19,19,1885,185,40,5,0,4,233,6922,834,44,76,57,7935,Murray Bridge (RC)
45090,2333,43,23,6,4,2415,557,43,28,8,0,639,71,5,4,0,0,87,2966,92,55,15,11,3143,Naracoorte and Lucindale (DC)
45120,1338,10,0,18,16,1380,384,17,3,6,0,419,30,4,0,0,3,35,1745,31,3,22,19,1829,Northern Areas (DC)
45290,6493,3639,1916,31,48,12122,1172,725,471,7,9,2371,146,102,52,0,4,310,7808,4464,2436,38,63,14808,Norwood Payneham St Peters (C)
45340,48790,3226,912,185,103,53216,6254,1661,453,113,21,8506,1003,227,55,13,12,1312,56053,5111,1413,312,135,63024,Onkaparinga (C)
45400,240,0,0,4,8,256,77,5,0,3,13,94,12,0,0,0,0,10,327,3,0,6,15,360,Orroroo/Carrieton (DC)
45540,442,12,4,3,0,457,247,12,7,0,0,268,26,0,0,0,0,30,720,22,7,4,0,755,Peterborough (DC)
45680,21031,3341,173,49,50,24647,3924,1926,172,40,23,6083,621,268,20,4,7,920,25573,5536,364,99,78,31652,Playford (C)
45890,26187,7413,2415,118,129,36262,5442,2592,1071,40,28,9169,683,348,134,3,22,1189,32308,10357,3621,161,179,46621,Port Adelaide Enfield (C)
46090,2979,324,125,22,23,3477,913,270,143,25,8,1362,117,43,14,9,0,187,4011,640,286,48,35,5021,Port Augusta (C)
46300,3473,390,168,23,18,4081,749,252,122,14,4,1133,101,36,10,0,7,150,4317,678,302,38,32,5364,Port Lincoln (C)
46450,4334,364,40,18,30,4785,1440,403,70,16,8,1937,131,39,10,7,3,187,5907,803,112,46,36,6905,Port Pirie City and Dists (M)
46510,4638,1151,752,24,16,6587,608,259,151,0,3,1016,79,42,28,0,4,158,5325,1453,935,26,23,7758,Prospect (C)
46670,2381,83,102,44,17,2624,711,57,76,14,6,868,101,7,14,7,5,129,3200,142,195,62,32,3627,Renmark Paringa (DC)
46860,412,8,8,4,3,430,100,5,0,0,0,111,13,0,0,0,0,14,517,18,6,11,3,548,Robe (DC)
46970,923,113,35,0,6,1076,41,21,8,3,0,76,19,0,0,0,0,25,984,138,47,8,3,1177,Roxby Downs (M)
47140,34188,4034,1496,117,45,39875,6034,1575,740,58,18,8424,921,167,90,4,16,1202,41146,5777,2324,178,74,49501,Salisbury (C)
47980,7768,2293,2655,12,20,12746,810,369,534,3,11,1724,134,53,77,0,3,265,8711,2713,3262,15,32,14738,Unley (C)
48050,4459,368,58,15,16,4914,923,218,39,16,3,1197,139,29,0,0,0,168,5522,610,105,33,15,6283,Victor Harbor (C)
48130,1892,18,18,25,10,1968,512,15,29,9,0,569,42,3,6,3,3,55,2448,42,54,33,14,2590,Wakefield (DC)
51960,866,55,8,13,3,945,186,18,9,4,0,221,24,4,3,0,0,29,1076,75,22,21,3,1199,Coolgardie (S)
52030,309,4,0,5,0,321,84,0,0,8,0,97,13,0,0,0,0,13,411,5,0,12,0,431,Coorow (S)
48260,1681,536,255,12,8,2493,167,88,110,3,0,371,30,21,25,3,3,76,1874,643,392,16,9,2938,Walkerville (M)
48340,3216,72,28,25,14,3358,952,65,21,6,3,1053,97,7,3,0,0,106,4264,139,57,33,18,4511,Wattle Range (DC)
48410,12207,3833,2457,39,71,18594,2415,1061,647,3,10,4131,293,154,92,4,10,558,14909,5049,3192,42,87,23284,West Torrens (C)
48540,3978,2066,189,21,22,6277,827,1205,175,9,8,2223,93,147,25,3,4,267,4900,3417,392,34,35,8774,Whyalla (C)
48640,335,0,0,10,8,349,87,11,0,3,0,105,22,0,0,0,0,26,440,13,3,17,4,477,Wudinna (DC)
48750,1579,31,26,24,14,1674,311,14,20,21,5,375,49,0,0,6,0,56,1939,53,49,48,17,2105,Yankalilla (DC)
48830,3195,33,6,91,20,3345,1092,36,14,41,10,1197,95,7,0,5,0,106,4383,74,25,132,30,4647,Yorke Peninsula (DC)
49399,548,0,10,36,53,654,317,4,0,20,16,357,38,0,0,25,3,68,904,6,10,81,72,1083,Unincorporated SA
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No usual address (SA)
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (SA)
50080,9825,532,25,120,55,10551,2003,424,19,76,6,2531,262,59,3,10,3,340,12091,1016,46,205,63,13425,Albany (C)
50210,20935,2334,156,55,39,23508,2471,717,60,31,12,3289,497,145,7,4,7,658,23905,3195,222,83,53,27453,Armadale (C)
50250,1433,123,41,56,4,1651,149,21,7,15,0,197,44,3,0,7,10,64,1622,147,55,75,15,1909,Ashburton (S)
50280,4056,121,27,56,36,4293,532,43,31,46,9,654,76,9,3,8,6,98,4662,169,58,106,50,5049,Augusta-Margaret River (S)
50350,3964,750,167,3,14,4894,594,209,62,0,0,859,93,25,14,0,0,129,4649,979,237,3,11,5883,Bassendean (T)
50420,14884,4059,1823,10,56,20829,2098,976,444,3,11,3533,401,138,68,4,7,617,17385,5169,2343,17,69,24982,Bayswater (C)
50490,8011,2440,1274,14,31,11768,1569,618,191,3,3,2390,267,130,99,0,10,502,9854,3186,1559,17,45,14660,Belmont (C)
50560,488,0,9,0,4,497,132,0,5,3,0,141,23,0,3,0,0,26,640,3,14,3,8,671,Beverley (S)
50630,492,7,6,6,0,504,90,9,8,0,0,105,15,0,0,0,0,17,597,13,13,12,4,633,Boddington (S)
50770,480,3,0,4,0,490,147,0,0,0,0,149,13,4,0,0,0,22,634,6,0,6,3,655,Boyup Brook (S)
50840,1444,30,6,6,6,1485,283,17,4,0,0,312,44,0,0,9,0,53,1774,45,11,12,8,1857,Bridgetown-Greenbushes (S)
50910,233,5,7,3,0,252,92,0,4,0,0,100,12,0,0,3,0,20,344,7,11,8,0,375,Brookton (S)
51080,254,0,0,3,6,261,90,0,0,0,0,89,11,0,0,0,0,11,352,0,0,0,3,362,Broomehill-Tambellup (S)
51120,261,8,0,0,3,275,67,13,0,0,3,89,9,0,0,0,0,11,339,20,0,0,6,370,Bruce Rock (S)
51190,7682,1476,403,75,26,9662,1422,621,278,66,3,2388,217,81,41,4,5,350,9324,2177,717,142,31,12390,Bunbury (C)
51260,9839,712,17,292,37,10897,1251,358,16,121,4,1749,227,51,4,30,6,323,11320,1116,35,436,55,12961,Busselton (C)
51310,6582,947,840,7,10,8388,418,80,204,0,0,702,155,22,63,0,0,243,7159,1052,1112,8,9,9339,Cambridge (T)
51330,21824,4251,722,17,49,26870,2160,846,178,3,7,3198,472,193,37,0,7,706,24461,5287,933,22,69,30768,Canning (C)
51400,4773,80,69,5,7,4943,424,57,50,4,0,527,91,3,8,0,3,106,5293,138,120,14,14,5578,Capel (S)
51470,170,0,3,3,4,179,34,0,3,0,0,39,4,0,0,0,0,4,210,0,6,3,4,225,Carnamah (S)
51540,1051,64,27,116,16,1279,323,71,12,58,3,463,71,14,0,14,3,101,1449,145,46,187,25,1846,Carnarvon (S)
51680,1500,0,6,16,13,1537,186,0,6,3,3,195,31,0,3,0,0,32,1714,0,14,22,15,1768,Chittering (S)
51750,1906,766,750,7,18,3446,87,75,148,0,0,308,31,20,17,0,7,68,2019,857,915,7,18,3825,Claremont (T)
51820,26389,3491,1387,90,55,31412,2884,1038,295,46,6,4256,563,132,48,6,69,820,29835,4653,1725,141,135,36489,Cockburn (C)
51890,2324,51,5,18,8,2406,697,55,6,4,7,771,85,9,3,0,0,98,3106,113,18,21,10,3270,Collie (S)
52100,301,4,0,0,9,317,87,6,0,0,0,98,7,0,0,0,0,7,396,13,0,3,13,423,Corrigin (S)
52170,1757,375,444,0,5,2575,79,27,67,0,0,172,30,8,20,0,0,59,1866,409,524,0,3,2807,Cottesloe (T)
52240,268,5,0,3,5,282,89,0,3,0,0,96,11,0,0,0,0,11,369,7,3,3,5,388,Cranbrook (S)
52310,231,0,0,0,4,237,57,0,0,0,0,65,6,0,0,0,0,9,301,0,0,3,3,309,Cuballing (S)
52380,34,0,0,0,0,42,19,0,0,0,0,18,0,0,0,0,0,3,55,0,0,7,7,66,Cue (S)
