lga_name_2016,lga_code_2016,all_inc_ns_emp_aw,all_inc_ns_e_t,all_inc_ns_une_lfw_ftw,all_inc_ns_une_lfw_ptw,all_inc_ns_une_lfw_tot,all_inc_ns_t_lf,all_inc_ns_notin_lf,all_inc_ns_lf_sta_ns,all_inc_ns_tot,tot_emp_wft,tot_emp_wpt,tot_emp_aw,tot_e_t,tot_une_lfw_ftw,tot_une_lfw_ptw,tot_une_lfw_tot,tot_t_lf,tot_notin_lf,tot_lf_sta_ns,tot_tot
Townsville (C),37010,10,40,6,3,14,50,64,38,160,2795,1689,221,4708,448,300,750,5459,3085,66,8609
Western Downs (R),37310,0,11,0,0,0,11,18,7,36,307,224,29,555,44,41,87,644,581,19,1243
Whitsunday (R),37340,3,12,0,0,0,7,3,4,18,322,303,36,658,68,21,89,747,377,14,1142
Adelaide (C),40070,0,3,0,0,0,3,4,0,5,132,83,13,235,3,11,14,250,169,3,421
Adelaide Hills (DC),40120,0,3,0,0,0,8,0,0,12,434,350,28,806,15,28,44,850,315,10,1174
Alexandrina (DC),40220,5,14,0,0,0,12,3,6,18,237,275,26,540,16,18,39,572,357,6,938
Ceduna (DC),41010,3,3,0,0,0,3,0,7,15,42,32,12,90,0,3,8,90,39,11,149
Charles Sturt (C),41060,5,32,0,0,0,34,48,26,112,1382,1120,122,2632,111,131,242,2867,2123,53,5047
Boulia (S),30900,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,5,9,0,20
Brisbane (C),31000,51,188,13,14,27,214,202,170,584,14717,8540,1000,24249,1085,928,2005,26256,13905,354,40520
Isaac (R),33980,5,9,0,0,0,9,0,11,17,199,86,20,313,22,11,35,344,134,11,492
Kowanyama (S),34420,0,0,0,0,0,0,0,0,0,11,6,0,19,9,3,10,29,51,0,78
Livingstone (S),34530,5,11,0,0,3,11,13,10,39,362,329,42,730,69,46,119,847,440,18,1303
Lockhart River (S),34570,0,0,0,0,0,0,7,0,6,3,7,0,15,0,0,7,22,28,0,48
Lockyer Valley (R),34580,9,10,3,0,3,17,23,16,51,359,322,48,722,77,48,126,850,725,23,1595
Bulloo (S),31750,0,0,0,0,0,0,0,0,0,4,0,3,8,0,0,0,8,4,0,11
Bundaberg (R),31820,6,18,8,3,9,25,55,33,116,890,886,85,1860,262,170,432,2287,2023,55,4366
Burdekin (S),31900,3,5,0,0,0,5,9,5,24,143,142,15,302,22,20,43,346,252,12,613
Burke (S),31950,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,0,0,4
Cairns (R),32080,16,54,7,0,6,59,93,48,204,2409,1810,202,4414,340,271,602,5022,2709,91,7820
Carpentaria (S),32250,0,0,0,0,0,0,5,3,10,30,10,5,45,3,3,3,50,54,8,106
Cassowary Coast (R),32260,0,4,0,0,0,8,25,10,41,274,235,35,548,54,39,92,642,515,14,1176
Central Highlands (R) (Qld),32270,0,3,0,0,0,6,3,3,17,270,146,23,439,38,29,66,503,221,5,729
Charters Towers (R),32310,3,3,0,0,0,3,6,8,22,124,110,21,256,30,13,44,308,202,12,519
Logan (C),34590,24,91,13,7,22,112,129,104,337,4532,3028,399,7958,706,542,1253,9210,6472,184,15861
Copper Coast (DC),41560,0,3,0,0,0,3,9,3,11,106,127,5,239,24,28,56,300,269,4,576
Elliston (DC),41750,0,0,0,0,0,0,0,0,0,8,9,0,11,0,0,0,10,4,0,19
Cherbourg (S),32330,0,0,0,0,0,0,0,0,3,11,7,0,17,13,6,24,39,94,4,131
Cloncurry (S),32450,0,0,0,0,0,0,0,3,7,23,9,8,39,5,0,3,44,41,3,90
Cook (S),32500,0,0,0,0,0,0,0,0,4,39,36,3,82,8,3,9,92,68,0,160
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
Weipa (T),37300,0,0,0,0,0,0,0,0,3,56,10,7,73,0,0,3,73,9,3,79
Diamantina (S),32750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3
Clare and Gilbert Valleys (DC),41140,0,0,0,0,0,0,0,0,5,73,83,9,162,9,7,15,176,116,6,295
Tatiara (DC),47630,0,0,0,0,0,0,0,0,0,42,49,4,99,3,0,6,104,54,0,159
Tea Tree Gully (C),47700,0,23,0,0,3,26,23,17,63,1464,1178,87,2730,107,94,200,2930,1324,21,4269
The Coorong (DC),47800,0,0,0,0,0,0,0,0,4,53,51,5,104,3,9,13,121,81,3,207
Tumby Bay (DC),47910,0,0,0,0,0,0,0,3,3,13,23,0,37,3,3,3,44,22,3,67
Doomadgee (S),32770,0,0,0,0,0,0,0,3,3,8,13,0,17,3,0,8,29,61,3,86
Douglas (S),32810,0,3,0,0,0,3,7,3,13,121,115,16,248,7,9,16,267,158,10,434
Etheridge (S),33100,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,7,7,0,18
Flinders (S) (Qld),33200,0,0,0,0,0,0,0,0,0,11,16,0,24,0,0,0,29,18,0,46
Fraser Coast (R),33220,8,25,7,3,11,32,44,35,114,873,983,107,1958,262,172,433,2395,2373,54,4826
Gladstone (R),33360,3,13,5,4,7,19,16,20,56,603,450,55,1100,192,97,290,1388,824,34,2250
Gold Coast (C),33430,51,154,6,3,11,161,160,102,429,7656,6342,665,14662,696,795,1494,16156,8657,215,25027
Goondiwindi (R),33610,0,3,0,3,3,8,9,3,19,118,80,5,207,8,7,18,221,140,7,366
Gympie (R),33620,0,7,0,3,3,8,29,15,57,414,491,47,944,102,90,195,1143,1184,37,2363
Hinchinbrook (S),33800,0,3,0,0,3,8,4,0,9,80,68,11,153,16,15,30,186,183,7,369
Hope Vale (S),33830,0,0,0,0,0,0,0,0,0,7,9,0,15,8,3,13,33,20,0,57
Ipswich (C),33960,15,49,15,0,18,67,78,53,199,3111,1910,259,5278,518,339,856,6138,4224,110,10474
Winton (S),37400,0,0,0,0,0,0,3,0,3,13,10,0,19,3,0,3,26,9,0,33
Donnybrook-Balingup (S),52870,0,0,0,0,0,0,3,0,5,30,38,5,74,9,12,21,92,67,3,166
Woorabinda (S),37550,0,0,0,0,0,0,0,0,4,19,8,3,25,8,8,13,41,69,4,110
Anangu Pitjantjatjara (AC),40250,3,3,0,0,0,3,0,3,11,20,27,8,47,8,0,8,58,71,6,127
Wujal Wujal (S),37570,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,6,25,0,27
Yarrabah (S),37600,0,3,0,0,0,4,0,0,4,37,21,7,62,38,3,42,99,143,7,254
No usual address (Qld),39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Qld),39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barossa (DC),40310,0,0,0,0,0,3,5,0,10,267,228,36,523,18,14,34,561,234,4,798
Barunga West (DC),40430,0,3,0,0,0,3,0,0,3,6,19,4,31,3,0,4,31,36,4,74
Berri and Barmera (DC),40520,0,5,0,0,0,5,5,4,19,118,100,4,227,22,21,41,272,234,8,513
Burnside (C),40700,0,7,0,0,0,7,3,3,12,456,347,35,839,29,28,66,907,475,4,1385
Campbelltown (C) (SA),40910,0,9,0,0,0,15,18,14,39,642,482,49,1170,41,48,95,1264,809,24,2100
Cleve (DC),41190,0,0,0,0,0,0,0,0,0,13,16,0,30,0,0,3,34,12,0,46
Coober Pedy (DC),41330,0,0,0,0,0,0,3,0,6,17,11,5,35,3,3,3,34,28,0,61
Flinders Ranges (DC),41830,0,0,0,0,0,0,0,0,4,8,16,3,29,6,0,6,33,22,0,59
Franklin Harbour (DC),41960,0,0,0,0,0,0,0,0,0,4,7,0,9,3,0,3,13,8,0,24
Gawler (T),42030,4,12,0,0,0,16,9,4,23,343,336,53,731,47,41,91,830,441,14,1283
Goyder (DC),42110,0,0,0,0,0,0,0,0,3,19,26,4,54,5,3,11,61,63,0,124
Grant (DC),42250,0,3,0,0,0,3,0,0,5,52,48,6,112,0,5,10,117,59,4,183
Holdfast Bay (C),42600,0,5,0,0,0,7,4,0,11,444,336,45,819,22,23,50,866,376,6,1247
Kangaroo Island (DC),42750,0,0,0,0,0,0,0,0,3,27,45,3,75,5,4,9,86,45,0,133
Karoonda East Murray (DC),43080,0,0,0,0,0,0,0,0,0,7,7,0,20,0,0,0,17,15,0,32
Kimba (DC),43220,0,0,0,0,0,0,3,0,3,3,5,0,12,3,0,3,12,4,0,25
Kingston (DC) (SA),43360,0,0,0,0,0,0,0,0,0,11,18,0,33,3,4,5,37,20,0,57
Light (RegC),43650,0,3,0,0,0,4,4,4,14,125,123,15,264,25,14,38,305,169,9,482
Lower Eyre Peninsula (DC),43710,0,0,0,0,0,0,0,0,0,47,35,10,90,4,3,10,100,43,0,141
Loxton Waikerie (DC),43790,3,3,0,0,0,3,5,4,15,103,123,8,228,19,15,27,264,179,4,441
Mallala (DC),43920,0,4,0,0,0,4,3,3,5,90,68,7,166,6,7,17,184,109,3,295
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion (C),44060,5,18,5,0,5,19,20,17,59,1165,980,107,2256,99,98,190,2450,1422,37,3903
Mid Murray (DC),44210,0,8,0,0,0,8,3,4,12,58,67,6,134,18,9,25,156,164,8,325
Mitcham (C),44340,0,7,0,0,0,7,9,6,23,767,597,55,1420,41,37,83,1498,658,10,2169
Mount Barker (DC),44550,3,10,0,0,0,10,3,4,21,399,448,32,886,25,33,52,941,387,15,1344
Mount Gambier (C),44620,0,5,0,0,0,6,16,14,34,319,359,26,703,51,35,85,789,495,12,1303
Mount Remarkable (DC),44830,0,0,0,0,0,0,0,0,0,14,15,0,28,3,0,0,31,27,0,65
Murray Bridge (RC),45040,0,0,0,0,4,6,19,9,34,215,228,35,476,53,43,94,569,423,15,1002
Naracoorte and Lucindale (DC),45090,0,0,0,0,0,3,3,0,4,66,74,5,148,6,8,12,162,79,8,242
Northern Areas (DC),45120,0,0,0,0,0,0,0,0,3,23,33,4,69,3,0,0,71,61,3,136
Norwood Payneham St Peters (C),45290,5,7,0,0,0,5,11,3,16,416,340,31,790,31,29,58,845,452,7,1307
Onkaparinga (C),45340,6,38,0,8,8,46,72,59,176,2216,2317,237,4770,273,242,518,5285,3185,82,8554
Orroroo/Carrieton (DC),45400,0,0,0,0,0,0,0,0,0,5,9,0,14,0,0,0,14,4,0,21
Peterborough (DC),45540,0,0,0,0,0,0,0,0,3,17,25,0,48,3,5,11,56,48,0,102
Playford (C),45680,9,25,3,0,7,32,88,47,165,1082,1146,144,2368,308,248,552,2916,2959,76,5951
Port Adelaide Enfield (C),45890,5,11,0,6,8,21,74,35,130,1552,1263,134,2954,180,172,353,3307,2718,67,6098
Port Augusta (C),46090,0,3,0,0,0,3,26,21,48,153,139,25,311,26,25,49,364,330,22,718
Port Lincoln (C),46300,0,3,0,0,0,5,18,0,28,140,162,14,313,21,24,42,358,254,6,622
Port Pirie City and Dists (M),46450,0,5,0,0,0,5,12,3,20,163,205,19,387,38,44,74,464,423,9,894
Prospect (C),46510,0,0,0,0,0,0,4,0,3,231,139,11,380,12,11,22,400,211,4,619
Renmark Paringa (DC),46670,0,0,0,0,0,0,6,6,11,96,91,10,198,19,14,30,222,164,6,395
Robe (DC),46860,0,0,0,0,0,0,0,0,0,8,10,3,19,0,0,0,18,4,0,24
Roxby Downs (M),46970,0,0,0,0,0,0,4,0,6,43,16,6,64,5,0,5,71,12,0,90
Salisbury (C),47140,13,37,3,3,9,42,77,42,159,1840,1645,196,3677,307,263,571,4255,3271,78,7593
Southern Mallee (DC),47290,0,0,0,0,0,0,0,0,0,18,9,0,33,0,0,0,32,22,0,56
Streaky Bay (DC),47490,0,0,0,0,0,0,0,0,0,16,5,0,22,0,0,0,23,21,0,52
Unley (C),47980,0,3,0,0,0,3,3,4,14,470,287,31,791,25,18,45,834,366,7,1210
Victor Harbor (C),48050,0,4,0,3,0,7,7,3,13,88,162,9,262,13,19,24,285,232,3,526
Wakefield (DC),48130,0,0,0,0,0,0,9,0,9,56,57,3,115,10,3,19,135,136,3,275
Coolgardie (S),51960,0,3,0,0,0,0,0,3,5,49,16,3,64,7,0,8,73,65,4,147
Coorow (S),52030,0,0,0,0,0,0,0,0,0,6,3,0,17,3,0,3,18,10,0,27
Walkerville (M),48260,0,0,0,0,0,0,0,0,0,79,39,9,121,6,0,9,130,86,0,217
Wattle Range (DC),48340,0,3,0,0,0,3,6,0,7,98,115,9,226,8,11,19,239,173,3,420
West Torrens (C),48410,0,5,0,0,0,7,16,3,23,649,516,42,1208,48,35,88,1297,886,10,2185
Whyalla (C),48540,0,5,0,0,0,7,23,15,48,222,239,25,498,71,50,119,613,555,29,1194
Wudinna (DC),48640,0,0,0,0,0,0,0,0,0,10,11,0,21,0,0,0,20,7,0,25
Yankalilla (DC),48750,0,0,0,0,0,0,3,0,6,32,47,3,82,8,3,8,91,70,5,166
Yorke Peninsula (DC),48830,0,0,0,0,0,0,3,3,6,57,77,0,131,5,15,19,149,140,3,298
Unincorporated SA,49399,0,0,0,0,0,4,5,10,16,16,20,3,38,8,3,9,43,48,7,100
No usual address (SA),49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (SA),49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany (C),50080,3,10,0,0,0,10,17,5,28,345,431,32,809,31,35,71,882,537,9,1426
Armadale (C),50210,9,19,0,4,4,20,36,17,78,1020,837,104,1955,178,145,324,2279,1388,35,3698
Ashburton (S),50250,0,0,0,0,0,0,0,0,3,67,17,8,88,11,3,13,102,30,0,136
Augusta-Margaret River (S),50280,0,0,0,0,0,0,4,0,6,152,189,21,358,12,9,23,380,138,3,521
Bassendean (T),50350,4,4,0,0,0,0,5,3,10,223,157,22,401,19,20,40,447,253,10,711
Bayswater (C),50420,0,9,0,0,0,9,23,12,42,772,610,46,1437,84,84,168,1603,860,20,2484
Belmont (C),50490,0,6,0,0,3,11,9,12,37,423,313,39,767,55,63,111,882,648,29,1557
Beverley (S),50560,0,0,0,0,0,0,0,0,0,6,13,0,21,0,0,0,23,22,0,45
Boddington (S),50630,0,0,0,0,0,0,0,0,0,22,12,6,37,3,3,3,42,27,4,65
Boyup Brook (S),50770,0,0,0,0,0,0,0,3,3,5,14,4,21,0,3,3,24,18,3,46
Bridgetown-Greenbushes (S),50840,0,0,0,0,0,0,0,0,0,40,32,11,87,3,4,3,89,53,0,143
Brookton (S),50910,0,0,0,0,0,0,0,0,3,8,3,0,7,3,4,3,12,12,3,30
Broome (S),50980,3,8,0,0,0,13,7,19,40,208,116,18,348,29,26,55,399,297,22,719
Broomehill-Tambellup (S),51080,0,0,0,0,0,0,3,0,4,7,4,3,9,0,0,3,15,23,3,42
Bruce Rock (S),51120,0,0,0,0,0,0,0,0,0,7,3,0,10,0,3,3,11,11,0,25
Bunbury (C),51190,3,3,0,0,0,6,15,7,30,394,400,34,829,61,65,127,954,617,30,1603
Busselton (C),51260,0,3,0,0,0,3,12,9,20,348,418,37,809,40,53,87,898,421,14,1335
Cambridge (T),51310,0,4,0,0,0,4,0,0,4,219,173,8,410,12,14,26,434,216,5,649
Canning (C),51330,0,5,0,0,0,5,12,9,27,999,693,87,1774,99,83,182,1955,1058,17,3038
Capel (S),51400,0,3,0,0,0,5,5,0,12,213,183,23,423,21,28,45,466,220,8,693
Carnamah (S),51470,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,8,6,0,10
Carnarvon (S),51540,0,8,0,0,0,8,9,6,19,59,34,10,107,9,3,17,117,88,10,215
Chapman Valley (S),51610,0,0,0,0,0,0,0,0,0,6,9,3,20,4,0,4,23,5,0,28
Chittering (S),51680,0,0,0,0,0,0,0,0,0,32,19,4,60,3,0,6,72,44,0,113
Claremont (T),51750,0,3,0,0,0,3,0,0,4,105,86,7,202,6,12,19,219,100,4,320
Cockburn (C),51820,5,22,3,0,5,25,31,18,77,1310,1075,108,2495,149,122,269,2771,1300,36,4105
Collie (S),51890,0,0,0,0,0,0,4,3,6,60,81,6,154,28,14,40,196,179,5,376
Corrigin (S),52100,0,0,0,0,0,0,0,0,0,15,4,0,20,0,3,3,22,16,0,34
Cottesloe (T),52170,0,0,0,0,0,0,0,0,0,64,76,8,137,4,3,7,145,61,0,211
Cranbrook (S),52240,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,4,16,0,20
Cuballing (S),52310,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,4,4,0,11
Cue (S),52380,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,3,0,5
Cunderdin (S),52450,0,0,0,0,0,0,0,0,0,10,6,0,16,0,3,3,17,19,3,36
Dalwallinu (S),52520,0,0,0,0,0,0,0,0,0,5,8,0,16,3,0,3,16,11,0,26
Dandaragan (S),52590,0,0,0,0,0,0,0,0,3,21,21,0,41,3,0,7,49,38,0,91
Dardanup (S),52660,0,3,0,0,0,3,0,0,5,147,178,23,339,18,20,35,378,158,4,542
Denmark (S),52730,0,0,0,0,0,0,0,0,3,36,76,4,120,7,13,17,138,70,0,206
Derby-West Kimberley (S),52800,0,0,0,0,3,3,7,8,18,72,29,10,117,25,16,39,153,263,7,432
Dowerin (S),52940,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,8,15,0,18
Dumbleyung (S),53010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,13
Dundas (S),53080,0,0,0,0,0,0,3,0,4,6,7,0,14,3,0,3,20,16,0,34
East Fremantle (T),53150,0,0,0,0,0,0,0,0,3,73,80,5,159,3,0,7,164,60,0,231
East Pilbara (S),53220,0,3,0,0,0,3,5,5,15,52,17,3,70,12,3,16,90,66,5,164
Esperance (S),53290,0,5,0,0,0,5,7,7,19,129,127,10,266,16,4,20,288,177,17,479
Exmouth (S),53360,0,3,0,0,0,0,0,0,6,21,21,3,47,5,3,4,51,21,0,69
Fremantle (C),53430,0,7,0,0,0,7,9,4,14,341,306,28,674,30,34,65,738,423,10,1180
Gingin (S),53570,0,4,0,0,0,4,0,0,4,40,41,7,85,3,3,8,94,53,3,146
Gnowangerup (S),53640,0,0,0,0,0,0,0,0,0,9,5,0,16,3,0,3,23,17,3,35
Kalgoorlie/Boulder (C),54280,0,7,0,5,5,14,10,6,31,378,186,27,587,42,27,65,655,324,18,1001
Karratha (C),54310,0,6,0,0,0,6,7,8,21,226,54,19,300,23,17,43,342,179,7,532
Goomalling (S),53710,0,0,0,0,0,0,0,0,0,9,5,0,14,0,3,3,18,12,0,30
Gosnells (C),53780,7,25,3,0,3,28,27,35,88,1469,1024,112,2605,212,176,390,2993,1861,62,4917
Greater Geraldton (C),53800,0,4,0,0,0,7,29,21,58,492,397,53,940,84,62,147,1086,670,30,1783
Halls Creek (S),53920,0,0,0,0,0,0,3,7,7,29,24,3,53,5,7,13,60,117,7,187
Harvey (S),53990,0,6,0,0,0,4,11,0,16,232,273,31,537,42,30,69,607,295,5,906
Irwin (S),54060,0,0,0,0,0,0,0,0,0,20,27,4,47,6,5,16,63,48,3,107
Jerramungup (S),54130,0,0,0,0,0,0,0,3,3,10,6,0,19,0,0,3,25,0,3,25
Joondalup (C),54170,7,38,0,3,3,40,25,6,79,1917,1445,148,3504,147,129,278,3785,1477,25,5284
Kalamunda (S),54200,5,14,4,0,4,12,16,8,38,792,546,61,1399,72,55,130,1527,692,25,2237
Katanning (S),54340,0,0,0,0,0,0,7,3,9,27,36,6,71,8,3,6,74,67,5,147
Kellerberrin (S),54410,0,0,0,0,0,0,0,0,0,4,12,0,19,3,0,4,26,23,0,49
Kent (S),54480,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,6,4,0,8
Kojonup (S),54550,0,0,0,0,0,0,0,0,0,14,7,0,27,0,0,0,31,27,0,57
Kondinin (S),54620,0,0,0,0,0,0,0,0,0,5,6,0,12,0,4,3,15,4,0,23
Koorda (S),54690,0,0,0,0,0,0,0,0,0,3,4,0,12,0,0,0,11,6,0,14
Kulin (S),54760,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,3,6,0,13
Kwinana (C),54830,3,3,3,0,3,6,14,8,30,489,370,36,897,125,81,205,1102,734,18,1855
Lake Grace (S),54900,0,0,0,0,0,0,0,0,0,7,7,0,14,0,0,0,13,8,0,25
Laverton (S),54970,0,0,0,0,0,0,0,0,0,4,0,0,8,5,0,5,9,23,0,33
Leonora (S),55040,0,0,0,0,0,0,0,0,0,17,3,0,21,3,0,3,24,11,0,38
Mandurah (C),55110,4,21,4,0,4,22,32,16,72,829,827,109,1767,159,139,295,2067,1464,31,3567
Manjimup (S),55180,0,0,0,0,0,0,0,5,8,83,87,10,186,12,11,29,207,124,4,344
Meekatharra (S),55250,0,0,0,0,0,0,0,0,0,5,12,0,15,3,0,3,20,21,0,40
Melville (C),55320,4,23,0,4,5,23,18,11,56,1175,849,84,2097,73,85,155,2250,1167,20,3440
Mukinbudin (S),55950,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,5,4,0,13
Menzies (S),55390,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,8,6,0,14
Merredin (S),55460,0,0,0,0,0,0,3,3,8,29,24,5,64,7,4,10,72,46,5,119
Mingenew (S),55530,0,0,0,0,0,0,0,0,0,3,0,0,8,3,0,3,8,9,0,12
Mundaring (S),56090,6,4,0,0,0,7,11,7,18,497,320,45,855,43,22,72,930,439,7,1373
Morawa (S),55670,0,0,0,0,0,0,0,0,0,11,7,0,18,0,3,4,16,9,0,27
Moora (S),55600,0,0,0,0,0,0,3,0,3,9,19,3,33,3,3,5,41,37,0,82
Nungarin (S),56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5
Peppermint Grove (S),56930,0,0,0,0,0,0,0,0,0,7,10,0,16,0,0,0,16,25,0,41
Mosman Park (T),55740,0,0,0,0,0,0,0,0,3,84,73,6,166,10,6,17,180,85,3,269
Mount Magnet (S),55810,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,3,6,10,0,13
Mount Marshall (S),55880,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,6,0,10
Tasman (M),65210,0,0,0,0,0,0,0,0,0,11,18,0,36,3,0,3,38,41,0,82
Waratah/Wynyard (M),65410,0,3,0,0,0,3,4,4,17,116,145,19,281,34,22,51,330,232,7,570
West Coast (M),65610,0,0,0,0,0,0,5,3,6,26,32,3,64,15,10,22,82,87,9,175
Murchison (S),56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7
Murray (S),56230,0,3,0,0,0,3,12,3,16,139,151,13,301,37,24,58,365,310,7,679
Nannup (S),56300,0,0,0,0,0,0,0,0,3,7,14,3,19,0,3,3,23,21,0,44
West Tamar (M),65810,0,6,0,0,3,8,9,3,16,200,237,31,469,17,25,43,511,325,4,842
Narembeen (S),56370,0,0,0,0,0,0,0,0,0,6,4,0,9,0,0,0,9,0,0,16
No usual address (Tas.),69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narrogin (S),56460,0,0,0,0,0,0,7,0,11,56,53,3,113,3,5,7,124,97,6,230
Nedlands (C),56580,0,3,0,0,0,3,3,0,7,210,118,13,337,11,18,27,359,186,0,550
Ngaanyatjarraku (S),56620,0,3,0,0,0,3,3,26,33,11,5,0,15,8,9,12,27,47,23,104
Unincorporated NT,79399,0,0,0,0,0,0,0,14,14,80,23,4,101,4,0,8,112,19,21,150
Northam (S),56730,0,0,0,3,3,4,7,4,13,121,109,10,244,22,15,35,276,208,7,491
Northampton (S),56790,0,0,0,0,0,0,0,0,0,26,21,0,51,3,0,3,53,34,0,86
No usual address (NT),79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serpentine-Jarrahdale (S),57700,6,7,0,0,0,6,5,4,16,279,226,31,535,37,29,66,604,261,12,875
Shark Bay (S),57770,0,0,0,0,0,0,0,0,0,4,4,0,14,0,0,0,14,3,0,16
South Perth (C),57840,0,0,0,0,0,0,6,10,17,394,312,21,735,46,26,78,810,454,20,1280
Stirling (C),57910,15,37,4,0,5,41,52,47,143,2330,1909,206,4447,272,234,507,4952,2775,81,7811
Subiaco (C),57980,0,4,0,0,0,4,0,0,5,201,126,12,342,20,15,27,370,142,3,512
Swan (C),58050,7,22,3,0,4,31,43,37,114,1997,1395,137,3534,251,181,429,3959,2061,66,6094
Tammin (S),58190,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,8,6,0,11
Three Springs (S),58260,0,0,0,0,0,0,0,0,0,9,0,3,17,0,0,0,16,3,0,22
Hobart (C),62810,0,5,0,0,0,5,3,3,13,600,455,39,1100,25,30,52,1148,498,7,1647
Huon Valley (M),63010,0,0,0,0,0,0,12,3,11,128,154,21,301,15,27,36,342,277,10,621
Kentish (M),63210,0,3,0,0,0,3,6,0,11,39,41,14,98,8,3,10,105,114,0,221
King Island (M),63410,0,0,0,0,0,0,0,0,0,16,13,0,26,3,0,3,29,16,3,40
Kingborough (M),63610,0,5,0,3,6,9,3,3,19,487,455,41,990,26,43,69,1062,471,10,1536
Latrobe (M) (Tas.),63810,0,7,0,0,0,7,3,4,16,114,107,16,232,7,10,26,257,159,6,424
Launceston (C),64010,3,21,0,0,3,22,34,23,81,772,832,97,1705,114,92,209,1908,1333,37,3279
Meander Valley (M),64210,0,0,0,0,0,0,5,3,10,194,183,23,406,15,15,34,439,282,10,726
Northern Midlands (M),64610,0,4,0,0,0,3,0,0,8,99,107,13,223,20,11,28,251,213,10,470
Sorell (M),64810,0,0,0,0,3,3,8,3,12,186,203,22,414,16,14,35,447,273,8,724
Perenjori (S),57000,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,6,3,0,9
Perth (C),57080,0,0,0,0,0,0,0,0,3,96,55,10,165,11,18,32,194,120,0,309
Pingelly (S),57140,0,0,0,0,0,0,0,0,3,3,8,3,13,3,3,8,20,21,0,48
Plantagenet (S),57210,0,3,0,0,0,3,3,0,9,41,46,5,92,3,7,8,102,81,3,187
Port Hedland (T),57280,0,0,4,0,4,4,11,9,17,128,50,12,196,14,5,20,213,156,9,379
Quairading (S),57350,0,0,0,0,0,0,0,0,0,3,5,0,8,0,3,3,9,26,0,42
Ravensthorpe (S),57420,0,0,0,0,0,0,0,0,0,5,9,0,16,0,0,3,20,16,0,39
Rockingham (C),57490,5,26,0,4,5,36,32,27,93,1569,1243,150,2967,277,197,477,3439,1880,45,5368
Southern Midlands (M),65010,0,0,0,0,0,0,4,3,3,65,51,6,117,8,3,12,131,129,7,261
Toodyay (S),58330,0,0,0,0,0,0,3,0,5,41,30,8,77,6,3,16,93,54,3,146
Trayning (S),58400,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,9
Upper Gascoyne (S),58470,0,0,0,0,0,0,3,0,3,0,3,0,3,3,0,3,5,10,0,20
Victoria Park (T),58510,0,3,0,0,0,3,10,7,16,320,249,18,588,48,40,92,678,351,9,1035
Migratory - Offshore - Shipping (Tas.),69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice Springs (T),70200,3,4,0,0,0,4,11,19,32,421,148,35,602,20,16,38,639,268,23,928
Victoria Plains (S),58540,0,3,0,0,0,3,0,0,5,6,8,0,11,0,0,0,11,4,0,20
Vincent (C),58570,0,0,0,0,0,0,5,0,10,281,182,23,492,25,32,51,541,302,3,847
Wagin (S),58610,0,0,0,0,0,0,0,0,0,9,14,0,27,3,5,7,34,37,0,73
Wandering (S),58680,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,3,0,6
