LGA_MAIN11,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
17640,12,21,33,1149,1149,2298,0,0,0,14,27,41,0,0,0,1185,1221,2406,3,3,6,27,12,39,3,3,6,7,8,15,14,16,30,0,0,0,0,3,3,8,9,17,109,106,215,9,12,21,9,6,15,234,269,503,44,43,87,9,12,21,2824,2899,5723,4,3,7,0,3,3,5,3,8,6,3,9,9,7,16,15,10,25,493,416,909,22,14,36,229,221,450,3604,3590,7194,Upper Lachlan Shire (A)
17650,20,26,46,960,1001,1961,0,0,0,35,32,67,0,0,0,631,704,1335,4,10,14,3,5,8,35,40,75,3,3,6,13,12,25,0,0,0,8,6,14,19,14,33,141,146,287,35,28,63,9,15,24,136,174,310,64,62,126,4,3,7,2100,2255,4355,3,4,7,5,5,10,3,0,3,3,0,3,3,15,18,6,15,21,583,512,1095,20,31,51,240,204,444,2980,3052,6032,Uralla (A)
17700,0,0,0,114,113,227,0,0,0,0,0,0,0,0,0,194,188,382,0,0,0,0,0,0,0,0,0,0,4,4,9,7,16,0,0,0,0,0,0,0,0,0,43,33,76,3,3,6,0,0,0,75,66,141,8,7,15,0,0,0,446,421,867,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,93,76,169,4,0,4,62,53,115,605,553,1158,Urana (A)
17750,157,175,332,6764,7443,14207,0,0,0,365,348,713,106,97,203,9420,10344,19764,49,52,101,89,88,177,59,81,140,30,39,69,438,505,943,72,76,148,79,88,167,252,292,544,1675,1982,3657,74,96,170,80,100,180,1477,1793,3270,531,601,1132,13,11,24,21573,24036,45609,111,99,210,202,139,341,3,8,11,4,3,7,81,99,180,85,102,187,4797,4141,8938,292,134,426,1759,1646,3405,28979,30480,59459,Wagga Wagga (C)
17100,1051,1339,2390,897,959,1856,5,4,9,180,196,376,21,32,53,4742,4949,9691,10,5,15,739,772,1511,23,35,58,9,18,27,42,38,80,125,143,268,34,45,79,118,157,275,709,778,1487,17,8,25,57,65,122,468,537,1005,216,272,488,33,40,73,8445,9053,17498,2557,2098,4655,871,753,1624,23,21,44,0,0,0,237,183,420,237,183,420,2760,2533,5293,109,56,165,1607,1493,3100,17660,17529,35189,Strathfield (A)
17150,944,1345,2289,25796,28635,54431,3,3,6,2106,2335,4441,94,101,195,31140,34305,65445,186,203,389,4534,4556,9090,173,232,405,122,147,269,421,468,889,344,347,691,259,355,614,873,1020,1893,2760,3204,5964,306,360,666,70,72,142,3951,4825,8776,1627,1738,3365,123,161,284,74888,83067,157955,487,489,976,825,824,1649,151,154,305,3,5,8,267,288,555,270,293,563,18617,15356,33973,766,419,1185,6219,5749,11968,103167,107696,210863,Sutherland Shire (A)
17200,4940,6141,11081,7809,7487,15296,4,15,19,564,560,1124,10,3,13,16103,16179,32282,15,26,41,2156,2268,4424,79,118,197,66,68,134,423,385,808,78,66,144,185,206,391,632,802,1434,1450,1277,2727,53,59,112,81,73,154,1322,1310,2632,1011,1114,2125,103,89,192,32144,32105,64249,1288,839,2127,1902,1119,3021,1035,1078,2113,27,21,48,552,472,1024,579,493,1072,31566,25404,56970,1518,735,2253,14593,12026,26619,89565,79940,169505,Sydney (C)
17800,14,6,20,487,494,981,0,0,0,47,52,99,0,0,0,435,438,873,6,9,15,6,6,12,0,3,3,0,0,0,11,15,26,0,0,0,0,3,3,9,12,21,95,89,184,6,6,12,3,3,6,187,232,419,34,29,63,0,0,0,1326,1391,2717,3,0,3,0,3,3,0,0,0,0,0,0,6,9,15,6,9,15,431,337,768,10,4,14,237,184,421,2027,1934,3961,Wakool (A)
17850,0,4,4,610,672,1282,0,0,0,8,10,18,0,0,0,313,319,632,0,0,0,0,0,0,24,28,52,0,0,0,6,5,11,0,0,0,0,0,0,0,6,6,187,174,361,5,3,8,6,4,10,29,31,60,20,13,33,0,3,3,1208,1268,2476,0,0,0,0,0,0,0,3,3,0,0,0,0,5,5,0,5,5,219,167,386,4,3,7,71,69,140,1502,1519,3021,Walcha (A)
17900,13,7,20,1120,995,2115,0,0,0,19,18,37,0,0,0,871,794,1665,0,4,4,55,30,85,20,27,47,7,4,11,35,21,56,0,0,0,14,10,24,3,3,6,151,130,281,12,10,22,8,16,24,73,60,133,37,38,75,3,0,3,2428,2160,4588,9,3,12,11,7,18,0,4,4,4,4,8,5,4,9,9,8,17,574,470,1044,18,15,33,426,291,717,3488,2965,6453,Walgett (A)
17950,3,4,7,481,506,987,0,0,0,4,3,7,0,0,0,503,515,1018,0,0,0,0,5,5,3,0,3,3,0,3,0,4,4,0,0,0,0,0,0,3,6,9,124,116,240,0,0,0,0,0,0,39,35,74,12,11,23,0,0,0,1172,1201,2373,0,0,0,0,3,3,0,0,0,3,5,8,3,0,3,6,5,11,118,86,204,6,3,9,83,69,152,1388,1371,2759,Warren (A)
18000,996,1404,2400,14850,17033,31883,0,8,8,701,756,1457,11,18,29,18976,20532,39508,48,54,102,1264,1328,2592,160,224,384,151,137,288,407,487,894,471,477,948,162,178,340,813,924,1737,1868,2192,4060,85,128,213,57,77,134,2435,3078,5513,1227,1381,2608,69,79,148,43755,49091,92846,483,375,858,462,418,880,257,270,527,0,3,3,453,409,862,453,412,865,17087,14696,31783,775,415,1190,4843,4549,9392,69111,71630,140741,Warringah (A)
18020,16,17,33,1724,1762,3486,0,0,0,26,24,50,0,3,3,1101,1173,2274,0,4,4,15,6,21,18,24,42,5,6,11,15,18,33,0,0,0,0,6,6,19,28,47,288,292,580,8,9,17,14,24,38,185,197,382,76,94,170,5,8,13,3499,3678,7177,3,5,8,5,5,10,3,0,3,6,0,6,8,17,25,14,17,31,741,640,1381,31,19,50,495,402,897,4807,4783,9590,Warrumbungle Shire (A)
18050,457,666,1123,3234,3724,6958,5,0,5,73,90,163,0,3,3,6667,7330,13997,9,8,17,820,963,1783,34,32,66,12,9,21,139,169,308,6,12,18,45,56,101,89,115,204,482,489,971,7,9,16,10,15,25,328,392,720,201,275,476,17,21,38,12178,13712,25890,105,112,217,188,149,337,5263,5613,10876,6,0,6,111,120,231,117,120,237,8000,7402,15402,452,291,743,4501,4160,8661,31261,32225,63486,Waverley (A)
18100,10,4,14,565,557,1122,0,0,0,11,6,17,3,0,3,484,485,969,0,0,0,0,0,0,3,0,3,0,3,3,7,11,18,0,0,0,3,3,6,23,28,51,164,142,306,23,25,48,3,5,8,165,159,324,13,17,30,0,0,0,1467,1441,2908,3,0,3,3,3,6,0,0,0,0,0,0,4,4,8,4,4,8,228,245,473,12,6,18,133,100,233,1860,1803,3663,Weddin (A)
18150,7,14,21,1318,1366,2684,0,0,0,129,122,251,0,0,0,1066,1138,2204,0,3,3,7,6,13,6,7,13,5,3,8,18,14,32,0,0,0,3,0,3,30,22,52,145,148,293,27,34,61,6,8,14,276,288,564,67,72,139,4,8,12,3107,3239,6346,3,4,7,4,3,7,4,3,7,3,3,6,14,10,24,17,13,30,512,445,957,15,13,28,759,335,1094,4428,4069,8497,Wellington (A)
18200,6,10,16,647,646,1293,0,0,0,28,32,60,0,0,0,896,835,1731,11,7,18,12,11,23,6,11,17,0,5,5,54,64,118,3,0,3,0,0,0,21,27,48,87,113,200,12,13,25,40,26,66,270,326,596,57,64,121,3,0,3,2147,2180,4327,8,0,8,4,5,9,3,3,6,5,0,5,9,11,20,14,11,25,920,680,1600,6,5,11,325,282,607,3433,3176,6609,Wentworth (A)
18250,1273,1796,3069,4960,5574,10534,4,0,4,328,429,757,13,12,25,7855,9006,16861,30,42,72,623,642,1265,37,38,75,19,10,29,148,175,323,378,407,785,92,127,219,185,264,449,984,1130,2114,17,23,40,17,20,37,860,1153,2013,501,597,1098,24,46,70,17075,19695,36770,750,625,1375,388,379,767,445,430,875,0,0,0,203,212,415,203,212,415,9531,9084,18615,286,156,442,2512,2515,5027,32463,34892,67355,Willoughby (C)
18350,155,219,374,6229,7177,13406,0,3,3,297,316,613,74,73,147,5088,5693,10781,44,48,92,184,193,377,102,115,217,31,40,71,93,124,217,4,5,9,23,20,43,136,179,315,692,933,1625,38,35,73,50,57,107,908,1151,2059,516,556,1072,51,53,104,14560,16771,31331,45,50,95,32,28,60,52,60,112,0,5,5,79,132,211,79,137,216,4433,4084,8517,230,147,377,1685,1628,3313,21271,23124,44395,Wingecarribee (A)
18400,91,113,204,6794,7268,14062,6,0,6,240,286,526,66,65,131,6648,6713,13361,16,18,34,282,274,556,69,90,159,28,24,52,127,200,327,11,8,19,27,35,62,124,148,272,513,545,1058,48,48,96,19,25,44,779,849,1628,350,365,715,43,37,80,16190,16998,33188,16,14,30,81,66,147,16,15,31,6,7,13,47,57,104,53,64,117,3670,2974,6644,119,93,212,1374,1314,2688,21610,21651,43261,Wollondilly (A)
18450,1197,1440,2637,18833,21455,40288,5,0,5,904,951,1855,139,134,273,26236,28044,54280,190,213,403,5681,5541,11222,308,436,744,143,173,316,573,677,1250,90,63,153,162,228,390,842,1028,1870,2661,3129,5790,386,457,843,116,143,259,3964,4830,8794,1478,1709,3187,81,109,190,62792,69320,132112,446,402,848,2107,1902,4009,55,66,121,24,16,40,311,407,718,335,423,758,20581,17084,37665,991,555,1546,6745,5976,12721,95249,97168,192417,Wollongong (C)
18500,282,425,707,4122,5228,9350,0,4,4,62,79,141,0,3,3,4590,5928,10518,12,9,21,792,905,1697,21,35,56,8,10,18,105,139,244,10,8,18,26,39,65,71,87,158,505,553,1058,5,9,14,8,17,25,328,404,732,158,207,365,14,22,36,10837,13686,24523,137,123,260,122,108,230,3503,3877,7380,0,0,0,72,86,158,72,86,158,5793,5537,11330,259,160,419,3558,3594,7152,24563,27596,52159,Woollahra (A)
18550,451,573,1024,21227,24360,45587,3,3,6,1245,1414,2659,16,7,23,19525,21613,41138,46,59,105,514,459,973,329,446,775,213,246,459,216,252,468,21,25,46,254,304,558,603,735,1338,2199,2540,4739,237,284,521,295,319,614,2569,3311,5880,1367,1608,2975,84,82,166,50963,58067,109030,153,153,306,225,205,430,48,48,96,16,3,19,194,275,469,210,278,488,14267,12362,26629,610,398,1008,5451,5283,10734,72378,77367,149745,Wyong (A)
18710,36,45,81,1729,1908,3637,0,0,0,81,77,158,0,0,0,2162,2125,4287,0,3,3,35,23,58,14,12,26,3,3,6,52,69,121,0,0,0,0,7,7,39,33,72,185,214,399,22,19,41,18,18,36,386,470,856,131,159,290,7,9,16,4864,5149,10013,7,8,15,23,22,45,3,8,11,0,0,0,28,38,66,28,38,66,1768,1646,3414,62,41,103,659,613,1272,7450,7570,15020,Yass Valley (A)
18750,19,17,36,1737,1763,3500,0,0,0,54,62,116,57,57,114,2077,2368,4445,0,0,0,28,23,51,29,25,54,0,0,0,22,29,51,0,0,0,3,7,10,21,20,41,230,243,473,23,33,56,16,22,38,261,318,579,95,102,197,0,3,3,4653,5075,9728,6,12,18,79,69,148,3,0,3,0,0,0,13,8,21,13,8,21,723,628,1351,23,20,43,450,437,887,5969,6266,12235,Young (A)
19399,3,0,3,171,148,319,0,0,0,7,3,10,0,0,0,117,129,246,0,0,0,0,3,3,0,0,0,3,0,3,3,16,19,0,0,0,3,0,3,0,0,0,17,10,27,4,0,4,19,32,51,55,54,109,4,5,9,0,0,0,403,400,803,4,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,162,114,276,3,3,6,45,29,74,620,549,1169,Unincorporated NSW
19499,117,126,243,1096,886,1982,3,3,6,85,77,162,0,0,0,1161,977,2138,5,0,5,76,50,126,19,24,43,37,23,60,26,32,58,5,7,12,18,18,36,70,75,145,179,144,323,23,26,49,35,31,66,209,156,365,139,114,253,15,11,26,3201,2654,5855,64,32,96,153,105,258,20,15,35,8,4,12,50,55,105,58,59,117,1703,1255,2958,124,115,239,2153,965,3118,7593,5326,12919,
20110,55,48,103,929,1030,1959,0,0,0,45,41,86,0,0,0,1615,1676,3291,19,37,56,39,31,70,27,25,52,7,7,14,48,65,113,0,0,0,3,6,9,35,42,77,185,171,356,5,8,13,3,8,11,397,558,955,134,161,295,0,4,4,3491,3870,7361,3,4,7,16,17,33,4,4,8,0,0,0,15,32,47,15,32,47,1708,1478,3186,70,54,124,516,497,1013,5878,6004,11882,Alpine (S)
20260,28,41,69,737,872,1609,0,0,0,32,32,64,0,0,0,1168,1294,2462,28,34,62,12,8,20,39,56,95,4,8,12,80,88,168,0,3,3,8,11,19,13,14,27,338,286,624,34,51,85,22,21,43,621,716,1337,79,89,168,3,3,6,3218,3586,6804,14,9,23,20,19,39,3,4,7,3,0,3,10,15,25,13,15,28,1508,1305,2813,25,14,39,872,489,1361,5701,5482,11183,Ararat (RC)
20570,268,324,592,5978,7216,13194,0,0,0,480,500,980,102,102,204,11935,13677,25612,498,619,1117,218,201,419,94,148,242,43,70,113,365,431,796,11,6,17,57,60,117,327,382,709,1639,1832,3471,203,269,472,68,110,178,3735,4936,8671,690,774,1464,34,47,81,26477,31380,57857,170,130,300,192,147,339,11,23,34,8,5,13,199,219,418,207,224,431,12919,12007,24926,565,363,928,4071,4023,8094,44880,48621,93501,Ballarat (C)
20660,948,1205,2153,6514,7922,14436,3,0,3,800,929,1729,65,71,136,17057,19331,36388,101,138,239,2868,2970,5838,77,124,201,83,90,173,369,401,770,97,99,196,112,139,251,328,439,767,1320,1432,2752,162,186,348,37,39,76,2046,2809,4855,816,1076,1892,38,50,88,32893,38245,71138,752,567,1319,1226,1182,2408,71,76,147,5,5,10,375,367,742,380,372,752,16153,14402,30555,718,459,1177,4286,4372,8658,57427,60880,118307,Banyule (C)
20740,131,166,297,2641,2969,5610,0,0,0,252,317,569,3,3,6,3130,3374,6504,13,23,36,102,101,203,47,70,117,14,24,38,70,90,160,6,6,12,19,16,35,57,70,127,476,531,1007,65,80,145,18,20,38,700,969,1669,255,273,528,12,16,28,7880,8952,16832,16,17,33,32,23,55,16,6,22,4,0,4,47,48,95,51,48,99,4670,4239,8909,172,107,279,1530,1558,3088,14498,15116,29614,Bass Coast (S)
20830,109,140,249,3662,4364,8026,0,0,0,333,373,706,156,170,326,4497,4882,9379,70,88,158,104,95,199,88,109,197,42,29,71,111,109,220,8,3,11,51,57,108,117,156,273,1065,1175,2240,92,141,233,64,97,161,1372,1677,3049,577,662,1239,17,19,36,12426,14206,26632,39,21,60,30,31,61,5,3,8,3,3,6,50,89,139,53,92,145,6174,5442,11616,213,132,345,1959,1788,3747,21008,21855,42863,Baw Baw (S)
20910,488,714,1202,7799,9441,17240,0,0,0,314,362,676,0,0,0,10581,12440,23021,60,75,135,1791,1917,3708,47,66,113,45,45,90,307,355,662,46,47,93,51,70,121,159,192,351,1100,1258,2358,26,42,68,9,21,30,1825,2462,4287,402,524,926,44,45,89,24606,29362,53968,194,175,369,227,230,457,1452,1496,2948,0,0,0,160,165,325,160,165,325,12612,11735,24347,471,294,765,3631,3802,7433,43841,47973,91814,Bayside (C)
21010,32,52,84,1098,1343,2441,0,0,0,91,100,191,0,0,0,1540,1751,3291,3,10,13,18,20,38,28,34,62,9,17,26,67,63,130,0,0,0,22,20,42,59,72,131,397,398,795,39,67,106,14,22,36,601,710,1311,126,137,263,5,0,5,4117,4764,8881,39,27,66,3,7,10,3,3,6,0,0,0,10,19,29,10,19,29,1812,1539,3351,72,35,107,551,563,1114,6639,7009,13648,Benalla (RC)
21110,2324,2983,5307,9400,11396,20796,3,0,3,1246,1493,2739,13,14,27,18329,21356,39685,122,180,302,3820,4096,7916,84,112,196,49,54,103,451,546,997,116,121,237,150,175,325,347,413,760,1616,1891,3507,86,105,191,53,58,111,3284,4521,7805,1109,1453,2562,62,72,134,40340,48056,88396,1934,1429,3363,816,613,1429,913,946,1859,3,3,6,509,502,1011,512,505,1017,22798,21791,44589,951,528,1479,5910,5835,11745,76498,82686,159184,Boroondara (C)
21180,10212,11354,21566,3884,4367,8251,54,45,99,1064,1124,2188,8,13,21,32122,33799,65921,90,100,190,8313,8442,16755,328,412,740,233,207,440,344,390,734,577,594,1171,396,420,816,911,995,1906,900,1039,1939,94,110,204,185,196,381,1202,1465,2667,1301,1370,2671,101,102,203,52107,55190,107297,2301,1695,3996,5347,4830,10177,27,35,62,0,0,0,2511,1659,4170,2511,1659,4170,10765,9339,20104,551,353,904,7523,6936,14459,91344,91391,182735,Brimbank (C)
21270,5,9,14,417,491,908,0,0,0,59,52,111,0,0,0,990,950,1940,0,4,4,9,7,16,3,3,6,0,6,6,22,18,40,0,0,0,3,3,6,15,16,31,125,121,246,9,4,13,3,0,3,674,716,1390,15,22,37,5,5,10,2349,2418,4767,11,11,22,4,0,4,0,3,3,0,0,0,3,11,14,3,11,14,610,510,1120,12,10,22,233,184,417,3227,3156,6383,Buloke (S)
21370,52,70,122,3454,3781,7235,0,0,0,164,190,354,0,0,0,4421,4683,9104,25,49,74,43,47,90,29,36,65,22,26,48,129,96,225,5,7,12,32,30,62,197,219,416,917,1000,1917,100,151,251,13,7,20,1764,2084,3848,323,336,659,11,12,23,11649,12754,24403,13,19,32,41,30,71,3,6,9,7,3,10,30,43,73,37,46,83,4320,3651,7971,138,80,218,1747,1709,3456,18000,18365,36365,Campaspe (S)
21450,332,391,723,5874,6770,12644,0,0,0,591,653,1244,27,24,51,8693,9043,17736,85,101,186,358,330,688,84,106,190,138,145,283,206,239,445,32,27,59,69,63,132,474,506,980,1095,1228,2323,97,101,198,76,96,172,1627,1882,3509,926,1085,2011,43,61,104,20495,22460,42955,169,146,315,203,186,389,30,32,62,4,0,4,186,248,434,190,248,438,11535,10579,22114,418,252,670,3331,3179,6510,36703,37473,74176,Cardinia (S)
21610,4852,5010,9862,13480,15492,28972,3,6,9,1960,2239,4199,89,97,186,34548,36306,70854,335,366,701,4359,4331,8690,372,474,846,633,707,1340,569,635,1204,675,685,1360,422,500,922,2421,2653,5074,3144,3478,6622,242,330,572,544,605,1149,3566,4354,7920,3435,3789,7224,180,209,389,70977,77256,148233,3625,3422,7047,7188,6669,13857,85,125,210,5,9,14,1819,1683,3502,1824,1692,3516,26558,23342,49900,1146,699,1845,9195,8716,17911,125450,126931,252381,Casey (C)
21670,21,33,54,1407,1562,2969,0,0,0,57,65,122,0,0,0,1133,1201,2334,53,59,112,25,22,47,32,38,70,3,10,13,26,36,62,4,0,4,6,6,12,43,41,84,263,251,514,55,61,116,8,10,18,594,712,1306,88,104,192,4,3,7,3801,4181,7982,0,4,4,13,8,21,0,3,3,3,0,3,21,33,54,24,33,57,1678,1421,3099,56,50,106,612,560,1172,6205,6293,12498,Central Goldfields (S)
21750,63,79,142,1256,1488,2744,0,0,0,86,107,193,0,0,0,2767,2875,5642,7,19,26,38,39,77,28,47,75,10,0,10,48,64,112,0,0,0,16,18,34,46,64,110,578,581,1159,23,26,49,21,9,30,966,1170,2136,130,153,283,3,4,7,6023,6664,12687,17,10,27,23,20,43,3,5,8,0,0,0,23,24,47,23,24,47,2861,2404,5265,119,63,182,1009,936,1945,10141,10205,20346,Colac-Otway (S)
21830,30,30,60,1145,1230,2375,0,0,0,113,124,237,0,0,0,2298,2379,4677,12,12,24,16,18,34,22,22,44,0,3,3,65,84,149,0,0,0,11,6,17,20,18,38,649,638,1287,10,20,30,8,7,15,975,1154,2129,89,98,187,6,4,10,5439,5817,11256,9,3,12,3,7,10,3,6,9,0,0,0,3,24,27,3,24,27,1962,1646,3608,58,17,75,724,595,1319,8231,8145,16376,Corangamite (S)
21890,2108,2533,4641,3363,4272,7635,27,28,55,465,554,1019,3,7,10,18468,21131,39599,72,123,195,7756,8135,15891,133,202,335,62,65,127,188,236,424,126,114,240,115,143,258,172,250,422,708,876,1584,87,146,233,69,77,146,957,1366,2323,709,833,1542,65,59,124,33545,38617,72162,1947,1308,3255,3184,2827,6011,85,118,203,20,24,44,1102,813,1915,1122,837,1959,17451,17619,35070,1006,597,1603,6008,5562,11570,66456,70018,136474,Darebin (C)
22110,118,145,263,4352,4779,9131,0,0,0,238,267,505,77,71,148,3808,4204,8012,10,20,30,68,53,121,97,145,242,19,20,39,133,130,263,5,3,8,27,23,50,196,221,417,826,865,1691,72,92,164,57,81,138,1259,1646,2905,355,405,760,18,27,45,11617,13052,24669,35,28,63,24,11,35,6,13,19,10,3,13,79,85,164,89,88,177,6570,5910,12480,231,174,405,2108,1975,4083,20798,21396,42194,East Gippsland (S)
22170,637,844,1481,10035,11788,21823,0,0,0,840,1037,1877,15,16,31,13855,15301,29156,107,168,275,1288,1241,2529,217,275,492,271,290,561,355,420,775,90,72,162,140,168,308,598,713,1311,1899,2285,4184,124,151,275,116,112,228,2041,2734,4775,1316,1583,2899,79,95,174,33386,38449,71835,504,494,998,531,477,1008,121,130,251,3,3,6,329,427,756,332,430,762,19321,17192,36513,895,520,1415,6123,6071,12194,61850,64607,126457,Frankston (C)
22250,19,26,45,1004,1076,2080,0,0,0,211,202,413,49,45,94,1014,1089,2103,11,13,24,15,11,26,0,8,8,8,4,12,20,44,64,0,0,0,4,0,4,41,34,75,235,259,494,9,5,14,6,3,9,663,755,1418,50,67,117,0,0,0,3340,3615,6955,3,3,6,5,0,5,0,0,0,0,0,0,3,3,6,3,3,6,1238,1099,2337,27,15,42,508,462,970,5143,5223,10366,Gannawarra (S)
22410,54,64,118,1527,1594,3121,0,0,0,176,181,357,0,0,0,1637,1796,3433,29,36,65,15,20,35,35,56,91,12,13,25,359,382,741,4,3,7,9,9,18,49,68,117,628,610,1238,45,52,97,4,21,25,1050,1210,2260,186,217,403,0,7,7,5765,6275,12040,15,10,25,16,9,25,0,3,3,0,3,3,33,33,66,33,36,69,2782,2394,5176,82,46,128,1043,947,1990,9790,9784,19574,Glenelg (S)
22490,41,53,94,1382,1402,2784,3,0,3,128,159,287,0,0,0,2320,2315,4635,31,42,73,80,60,140,31,23,54,5,11,16,96,116,212,3,0,3,20,9,29,69,64,133,495,558,1053,24,41,65,20,32,52,652,702,1354,225,245,470,7,7,14,5591,5786,11377,3,3,6,19,8,27,6,3,9,0,0,0,34,50,84,34,50,84,2929,2510,5439,102,81,183,825,727,1552,9550,9221,18771,Golden Plains (S)
22620,358,448,806,8020,9536,17556,0,0,0,906,1081,1987,66,56,122,11867,13214,25081,86,128,214,190,163,353,144,176,320,83,93,176,280,313,593,43,25,68,50,56,106,454,540,994,1429,1536,2965,163,177,340,63,94,157,4081,5271,9352,1097,1254,2351,31,32,63,29053,33745,62798,116,129,245,109,91,200,20,19,39,7,4,11,144,186,330,151,190,341,14079,12921,27000,587,312,899,4304,3986,8290,48777,51841,100618,Greater Bendigo (C)
22670,10676,11496,22172,3531,3963,7494,0,4,4,725,801,1526,4,3,7,15854,16876,32730,107,126,233,4189,4279,8468,205,283,488,204,220,424,260,261,521,287,249,536,247,282,529,802,881,1683,1137,1272,2409,59,102,161,278,283,561,1175,1544,2719,1249,1341,2590,95,70,165,30408,32840,63248,3015,2375,5390,7300,6310,13610,75,76,151,4,0,4,2557,1649,4206,2561,1649,4210,8792,7447,16239,530,304,834,5164,4587,9751,68521,67084,135605,Greater Dandenong (C)
22750,918,1128,2046,13564,16546,30110,0,0,0,2134,2620,4754,80,85,165,28187,31394,59581,232,310,542,2221,2240,4461,307,375,682,124,148,272,1217,1446,2663,16,19,35,190,223,413,575,697,1272,3809,4392,8201,279,380,659,133,157,290,6379,8474,14853,1988,2334,4322,94,131,225,61529,71971,133500,434,345,779,871,711,1582,40,51,91,7,8,15,423,495,918,430,503,933,27684,24723,52407,1129,660,1789,9431,8317,17748,102466,108409,210875,Greater Geelong (C)
22830,178,189,367,4112,4755,8867,0,0,0,227,254,481,47,45,92,8125,8597,16722,92,104,196,415,406,821,116,162,278,60,55,115,125,142,267,11,3,14,32,24,56,312,325,637,1327,1422,2749,63,74,137,41,49,90,2334,2777,5111,528,599,1127,26,18,44,17993,19811,37804,194,159,353,1548,1429,2977,6,5,11,9,7,16,317,324,641,326,331,657,6444,5752,12196,255,185,440,2938,2705,5643,29882,30566,60448,Greater Shepparton (C)
22910,76,123,199,949,1114,2063,0,0,0,61,65,126,0,0,0,1454,1538,2992,20,21,41,74,56,130,9,16,25,8,13,21,47,60,107,0,0,0,6,16,22,21,37,58,281,254,535,14,25,39,14,12,26,486,613,1099,127,149,276,8,12,20,3579,4001,7580,15,5,20,11,6,17,16,15,31,0,0,0,60,103,163,60,103,163,2350,2280,4630,102,100,202,743,783,1526,6952,7416,14368,Hepburn (S)
22980,28,15,43,359,424,783,3,0,3,32,31,63,0,0,0,318,366,684,7,7,14,5,6,11,3,3,6,0,0,0,507,500,1007,3,3,6,0,0,0,33,33,66,90,74,164,21,31,52,11,10,21,612,685,1297,44,60,104,3,0,3,2051,2233,4284,7,3,10,14,6,20,0,0,0,0,0,0,5,10,15,5,10,15,545,424,969,11,8,19,220,218,438,2881,2917,5798,Hindmarsh (S)
23110,1041,1262,2303,3812,4457,8269,0,0,0,630,645,1275,7,0,7,12264,13621,25885,82,104,186,3017,3030,6047,100,100,200,58,74,132,331,341,672,81,73,154,161,167,328,163,180,343,828,1031,1859,67,77,144,45,49,94,997,1338,2335,568,617,1185,53,53,106,23264,25957,49221,817,605,1422,2108,1876,3984,37,46,83,0,0,0,659,457,1116,659,457,1116,9852,8619,18471,408,274,682,3433,3148,6581,41619,42244,83863,Hobsons Bay (C)
