lga_name_2016,lga_code_2016,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot
Buloke (S),21270,0,0,0,16,20,0,0,20,0,10,0,0,4,0,38,90,0,0,0,0,0,0,0,0,0,0,3,5,98,24,4,210,21,80,13,20,5,41,42,561
Campaspe (S),21370,0,0,0,166,105,20,10,122,11,40,7,12,3,29,212,565,10,0,5,12,0,7,0,0,0,7,15,54,802,150,57,1259,138,561,63,177,46,244,238,3742
Cardinia (S),21450,6,9,0,845,222,29,19,292,28,151,7,32,16,71,495,1368,24,4,11,31,3,12,0,4,5,12,34,136,2519,440,119,4370,458,2695,134,540,154,694,570,12683
Casey (C),21610,8,51,3,2631,715,95,42,671,78,578,48,146,80,371,1685,4497,42,10,42,64,15,53,3,9,28,41,149,446,9332,1563,364,12235,1316,10233,405,2546,579,3735,1947,44260
Central Goldfields (S),21670,0,0,0,24,19,5,0,34,0,15,0,13,0,18,52,148,0,0,0,0,0,0,0,0,0,4,0,16,163,47,3,316,27,184,21,76,14,159,56,1063
Colac-Otway (S),21750,0,0,0,67,43,11,0,71,0,16,3,10,0,3,89,249,4,0,4,5,0,0,0,0,3,3,3,25,394,91,28,810,66,294,22,103,24,113,101,2042
Corangamite (S),21830,0,0,0,92,52,4,3,47,3,17,0,7,3,6,81,228,4,0,0,9,0,3,0,0,0,3,0,23,409,60,25,579,53,217,17,56,20,110,90,1635
Darebin (C),21890,13,44,0,2342,189,48,15,233,13,143,13,65,17,197,647,1576,20,3,11,25,3,15,0,6,11,26,51,172,2636,811,128,4929,534,2915,166,936,205,1949,751,15959
East Gippsland (S),22110,0,5,4,141,96,18,9,95,4,42,0,22,8,34,251,571,3,0,3,6,0,4,0,0,4,14,13,47,626,217,49,1237,134,577,67,255,52,375,277,3866
Frankston (C),22170,4,23,0,1123,266,46,15,302,31,189,17,70,29,118,652,1735,25,3,12,35,3,21,3,8,11,22,43,190,2962,567,143,5294,562,3156,170,724,175,1122,726,15607
Gannawarra (S),22250,0,3,0,35,24,6,0,43,0,13,0,3,0,15,54,153,0,0,0,3,0,0,0,0,0,0,3,13,193,39,17,358,28,153,16,52,7,78,60,1004
Greater Shepparton (C),22830,3,11,0,388,173,24,3,131,13,90,16,33,8,76,278,836,13,3,3,23,0,10,3,0,0,26,25,101,1460,267,63,2140,227,1102,87,363,108,723,324,6855
Hepburn (S),22910,0,0,0,57,21,19,4,31,0,18,3,5,0,10,66,180,0,0,0,0,0,0,0,0,0,3,0,16,188,117,14,433,52,246,21,102,22,124,77,1391
Hindmarsh (S),22980,0,0,0,14,8,3,0,14,4,4,0,0,0,4,27,66,0,0,0,3,0,0,0,0,0,0,0,6,104,16,3,172,20,100,7,23,3,51,28,525
Hobsons Bay (C),23110,8,24,0,1816,168,30,14,172,18,112,7,52,9,117,506,1207,16,0,5,19,4,13,0,5,5,22,29,128,2242,389,96,3323,408,2272,119,597,135,1124,574,11271
Horsham (RC),23190,0,0,0,99,50,8,0,76,5,16,5,7,3,3,129,292,0,0,3,8,0,3,0,0,0,0,3,22,383,96,18,771,79,310,27,88,20,100,142,2035
Hume (C),23270,9,45,3,1516,324,62,31,317,44,349,22,164,72,418,1070,2872,38,10,14,33,6,25,4,12,18,81,141,377,4667,886,199,6182,736,6203,245,2221,469,4829,1332,27969
Indigo (S),23350,0,0,0,96,44,0,3,48,5,13,0,9,3,11,102,230,3,0,6,6,0,3,0,0,4,0,3,27,406,90,21,604,71,210,29,67,23,87,111,1732
Kingston (C) (Vic.),23430,15,48,0,2697,336,49,25,347,23,205,20,63,23,159,870,2122,33,7,22,41,3,21,5,6,5,20,41,197,4205,724,177,6669,638,3545,189,890,211,1531,952,19725
Knox (C),23670,13,51,3,2209,362,60,17,442,44,250,21,87,26,166,877,2352,31,6,12,51,4,11,5,6,13,24,46,205,4483,815,137,6993,752,4291,194,1155,225,1613,957,21616
Latrobe (C) (Vic.),23810,4,14,0,601,124,20,8,170,19,93,8,34,11,71,364,930,11,0,9,12,0,6,3,3,6,14,24,91,1090,258,70,2447,264,1308,109,417,115,755,402,7223
Loddon (S),23940,0,0,0,21,25,3,4,20,0,8,0,3,0,8,31,96,0,0,0,3,0,0,0,0,0,0,3,9,140,23,10,205,22,86,4,29,10,74,34,633
Macedon Ranges (S),24130,5,6,3,791,116,21,10,150,16,79,11,33,7,35,323,804,13,0,3,12,7,3,3,3,3,8,10,58,1177,290,55,2166,227,1095,91,273,68,287,348,6084
Manningham (C),24210,16,92,8,3118,257,57,19,309,28,207,12,86,19,193,896,2088,21,3,18,39,8,24,4,6,3,19,41,176,3095,765,122,4843,401,3382,137,961,167,1736,969,16586
Mansfield (S),24250,0,0,0,35,16,11,3,31,0,4,0,5,0,4,55,135,3,0,0,0,0,0,0,0,0,0,3,12,139,59,6,270,19,112,14,40,3,40,64,776
Maribyrnong (C),24330,12,25,0,1272,76,8,8,82,12,66,3,29,13,79,362,736,3,0,5,8,3,8,0,3,3,10,21,66,1688,369,64,2364,381,1744,85,553,106,899,405,8661
Maroondah (C),24410,6,8,3,1654,206,45,7,310,28,146,19,54,7,76,556,1466,18,3,10,21,11,8,0,0,3,11,20,104,2687,544,90,5270,593,2744,158,655,109,967,606,14422
Melbourne (C),24600,8,23,0,1289,61,19,4,50,7,39,0,18,8,31,378,624,0,3,4,3,0,3,0,0,3,7,22,44,1171,189,65,1185,232,1423,51,302,74,503,412,5607
Melton (C),24650,3,30,0,1177,284,52,22,270,31,233,20,86,42,162,682,1873,33,7,9,35,3,21,4,9,11,31,81,249,4184,619,180,5213,657,4503,189,1037,301,1667,822,19366
Mildura (RC),24780,0,6,0,254,116,13,3,118,15,62,9,20,6,50,326,741,9,4,4,12,3,8,3,0,7,16,19,83,1124,193,60,1734,182,831,75,278,67,512,372,5432
Mitchell (S),24850,0,3,0,295,102,17,3,133,14,72,8,13,9,36,194,607,18,0,11,14,0,9,0,3,3,11,13,81,1000,169,47,1545,184,1092,64,218,71,325,222,4947
Moira (S),24900,0,0,0,114,99,7,0,82,5,42,8,6,0,32,126,408,10,0,0,9,3,6,0,0,7,8,5,43,644,82,39,930,101,398,39,106,43,227,138,2747
Monash (C),24970,9,78,3,3537,325,89,20,320,32,233,12,82,25,245,1267,2650,26,0,16,40,3,17,3,9,3,12,45,165,5142,1026,155,6320,620,4822,169,1358,214,2352,1359,23549
Sydney (C),17200,21,48,3,2803,120,20,8,71,6,75,6,29,11,63,576,985,14,0,8,6,3,6,0,0,4,4,21,63,2244,351,100,2245,542,1915,91,455,110,704,614,9365
Tamworth Regional (A),17310,0,5,0,376,150,24,12,129,23,53,3,23,0,50,376,833,7,0,5,4,0,3,4,0,9,12,13,71,1572,204,60,1850,232,877,73,211,56,426,402,5961
Temora (A),17350,0,0,0,27,12,0,0,15,4,5,0,3,0,3,24,80,0,0,0,0,0,0,0,0,0,4,3,10,121,21,10,230,33,86,8,36,3,53,30,618
Tenterfield (A),17400,0,0,0,16,19,0,0,13,0,10,3,4,0,9,22,83,3,0,0,0,0,0,0,0,0,0,3,11,110,25,8,129,10,76,8,33,4,66,29,483
Golden Plains (S),22490,3,0,0,183,55,7,4,87,11,38,0,12,9,21,136,376,5,0,3,9,0,7,3,3,3,8,3,42,547,117,43,1118,123,531,36,125,53,169,157,3015
Greater Bendigo (C),22620,3,14,0,698,186,42,18,253,32,107,10,41,10,83,487,1269,11,0,9,17,7,12,3,6,4,12,20,102,2099,536,100,4034,440,1997,180,596,119,889,534,11516
Greater Dandenong (C),22670,0,51,3,663,171,42,22,176,16,229,16,104,37,334,706,1843,18,3,21,20,6,16,0,3,8,41,90,220,3398,739,148,3141,363,4566,129,1581,304,3614,864,18850
Greater Geelong (C),22750,12,22,3,2272,408,87,21,591,51,265,26,113,27,235,1132,2957,32,0,13,52,4,32,6,8,16,36,68,278,4286,1075,246,9073,974,4694,303,1322,293,2033,1259,25562
Moonee Valley (C),25060,10,47,4,3126,230,47,17,279,28,158,6,64,19,134,610,1587,14,0,12,27,4,16,3,0,4,21,43,145,3021,510,131,4769,541,2533,121,682,145,1280,677,14421
Moorabool (S),25150,0,3,0,334,79,22,5,115,5,46,4,12,4,22,150,467,4,0,3,9,0,4,0,0,0,3,4,34,812,151,45,1342,128,799,40,177,53,259,168,3968
Moreland (C),25250,3,49,5,2219,172,43,19,258,30,181,14,86,29,206,782,1824,13,0,8,24,5,19,7,3,6,30,57,172,2891,764,136,5077,671,3631,169,1101,240,2099,899,17679
Mornington Peninsula (S),25340,12,29,9,1949,331,99,14,506,41,195,23,98,30,120,775,2218,29,5,18,55,5,17,8,5,5,14,37,193,3097,826,158,6398,514,2948,180,849,182,1074,842,17072
Strathfield (A),17100,5,44,0,974,86,10,11,75,8,48,6,29,0,43,280,598,3,0,0,7,0,0,0,0,0,11,16,42,1260,210,36,1075,138,1193,41,340,72,501,306,5162
Sutherland Shire (A),17150,31,120,4,7095,560,87,38,666,47,295,45,144,38,194,1403,3526,42,3,18,65,14,17,4,8,4,26,39,256,7385,1003,260,11416,1137,4764,320,1212,264,1721,1476,30961
Glen Eira (C),22310,20,63,5,4633,286,62,17,385,20,200,15,56,19,102,892,2049,23,3,9,52,4,19,3,12,11,12,42,191,3911,741,134,6171,607,3404,179,853,151,1044,964,18154
Glenelg (S),22410,0,3,0,86,49,10,0,62,0,27,3,10,0,20,110,294,0,0,3,4,0,0,0,0,0,3,8,19,336,98,31,605,56,304,26,101,28,148,120,1860
Mount Alexander (S),25430,0,3,0,70,34,17,0,39,3,19,9,10,0,19,97,240,3,0,0,0,0,0,0,0,0,3,3,16,253,159,17,523,51,296,32,107,16,116,102,1672
Moyne (S),25490,0,0,0,102,51,5,0,57,7,25,4,4,3,6,86,250,3,0,0,5,0,0,0,0,3,0,3,21,378,95,21,686,76,298,23,69,26,83,101,1857
Murrindindi (S),25620,0,3,0,52,28,12,0,43,5,21,3,3,3,11,70,194,3,0,0,8,0,0,0,0,0,3,6,23,227,68,18,454,44,212,28,75,24,105,81,1341
Nillumbik (S),25710,9,19,0,1894,187,42,12,308,24,112,19,35,7,61,442,1244,16,0,0,32,0,10,6,3,0,3,16,84,2005,408,72,3837,329,1564,109,380,66,412,476,9655
Northern Grampians (S),25810,0,0,0,31,21,6,0,25,3,14,0,0,0,16,51,138,3,0,0,0,0,0,0,0,0,5,4,14,217,43,14,330,40,165,13,55,17,93,58,1040
Port Phillip (C),25900,14,33,4,2536,102,19,4,101,9,64,6,19,5,48,471,855,6,0,3,14,0,7,4,0,3,5,13,71,1622,295,59,2209,355,1458,78,310,67,430,500,7379
Pyrenees (S),25990,0,0,0,19,14,3,0,15,0,11,3,7,3,9,39,100,0,0,0,0,0,0,3,0,0,0,4,8,120,20,8,192,17,121,17,24,10,74,42,653
Queenscliffe (B),26080,0,0,0,23,3,0,0,9,0,3,0,3,0,3,23,48,0,0,0,0,0,0,0,0,0,0,0,0,39,22,3,71,4,26,4,6,3,7,25,219
South Gippsland (S),26170,0,5,0,138,67,11,3,80,10,29,3,14,3,19,125,362,6,3,6,11,0,7,3,0,0,0,10,42,549,165,43,971,89,476,50,160,37,189,143,2878
Southern Grampians (S),26260,0,0,0,77,47,6,0,54,5,14,0,7,4,11,97,244,0,0,0,3,3,0,0,0,0,0,3,15,306,83,23,610,58,242,18,83,15,101,97,1633
Stonnington (C),26350,22,86,9,3660,161,31,8,179,9,163,16,49,6,68,592,1289,20,4,0,22,0,10,3,3,3,12,19,97,1925,296,52,2830,323,2047,69,424,86,594,627,9276
Strathbogie (S),26430,0,0,0,47,29,3,0,22,7,14,3,6,0,7,57,143,3,0,0,3,0,3,0,0,0,0,0,14,187,41,7,294,33,122,15,38,8,71,59,873
Surf Coast (S),26490,3,3,0,430,77,22,5,107,4,40,6,18,4,27,216,524,8,0,0,9,0,0,3,0,0,0,4,32,636,197,35,1478,125,601,49,163,42,139,230,3685
Swan Hill (RC),26610,0,3,0,90,34,6,4,54,3,37,4,9,6,22,90,270,4,0,5,6,0,0,0,0,0,5,4,27,424,69,33,645,78,358,14,88,35,175,113,2031
Towong (S),26670,0,0,0,16,16,0,0,17,0,7,0,0,3,4,33,82,0,0,0,3,0,0,0,0,0,0,0,8,125,16,7,174,27,84,6,27,12,40,32,547
Wangaratta (RC),26700,0,0,0,138,57,19,0,81,11,21,5,17,3,21,142,377,3,0,0,7,0,0,0,0,0,6,19,37,603,133,33,1057,106,401,33,144,24,188,164,2893
Warrnambool (C),26730,0,0,0,218,71,7,4,88,3,31,3,17,3,18,158,394,4,0,3,6,0,3,0,0,4,4,4,31,596,159,44,1366,124,505,50,159,45,207,173,3425
Wellington (S),26810,0,4,0,324,104,17,8,102,13,58,3,22,5,26,326,683,11,3,8,3,0,4,0,0,3,3,21,51,761,145,53,1370,158,776,73,210,74,314,360,4293
West Wimmera (S),26890,0,0,0,7,21,0,0,14,0,0,5,0,5,0,23,65,0,0,0,0,0,0,0,0,0,0,3,9,89,16,6,151,15,45,5,16,4,21,27,390
Whitehorse (C),26980,12,58,0,3768,263,50,24,338,32,209,10,72,16,167,1063,2253,25,3,10,51,3,17,4,3,0,18,34,168,4138,890,117,6735,607,4165,189,1118,161,1707,1132,20963
Whittlesea (C),27070,11,44,3,1490,356,74,35,391,48,349,15,122,44,341,1040,2816,37,6,26,52,9,30,9,14,17,49,99,350,5087,1053,266,7650,967,6317,273,1704,428,3531,1225,28515
Wodonga (C),27170,4,3,3,226,78,20,4,85,11,35,3,13,9,22,217,494,3,0,5,10,3,5,0,0,4,9,3,37,906,168,47,1413,174,730,51,151,56,254,237,4188
Wyndham (C),27260,16,36,4,2230,400,72,29,367,51,335,17,109,51,210,1291,2930,42,3,25,42,8,26,3,4,12,44,105,315,7172,1056,257,7850,1044,8461,272,1875,467,2542,1497,32496
Yarra (C),27350,8,29,0,1860,82,12,3,82,13,58,8,26,3,52,296,640,3,0,7,11,3,0,0,3,3,4,16,53,1308,271,57,1765,297,937,50,288,70,570,334,5931
Yarra Ranges (S),27450,10,30,0,1666,363,74,24,584,42,220,30,85,27,123,808,2366,42,8,36,64,4,31,5,8,9,15,50,272,3546,834,217,7247,704,3593,236,868,216,1134,898,19503
Yarriambiack (S),27630,0,0,0,21,14,3,0,16,3,7,0,0,0,7,16,71,5,0,0,0,0,3,0,0,0,0,0,11,115,19,4,213,21,84,8,23,12,57,28,578
Unincorporated Vic,29399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,5,0,5,0,0,3,27
No usual address (Vic.),29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Vic.),29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurukun (S),30250,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,5,0,14,0,8,4,61,3,109
Balonne (S),30300,0,0,0,20,22,3,0,13,0,4,0,3,0,3,26,74,6,0,0,0,0,0,0,0,0,3,0,12,110,14,8,159,10,74,3,15,3,30,28,456
Banana (S),30370,0,0,0,159,53,0,3,50,0,19,0,3,8,6,113,251,3,0,4,8,0,0,0,0,4,0,8,33,415,39,30,530,55,327,30,42,26,60,121,1676
Barcaldine (R),30410,0,0,0,13,10,0,0,3,0,9,0,0,0,3,33,63,0,0,0,0,0,0,0,0,0,0,0,3,89,6,0,81,8,56,0,8,0,13,33,296
Barcoo (S),30450,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,0,3,22
Blackall-Tambo (R),30760,0,0,0,6,6,0,0,11,0,3,0,0,0,0,20,38,0,0,0,0,0,0,0,0,0,0,0,3,44,3,7,53,20,20,0,13,3,9,20,186
Longreach (R),34710,0,0,0,21,23,0,0,3,0,0,0,0,0,0,33,65,3,0,0,0,0,0,0,0,0,0,0,12,126,7,5,72,20,54,3,9,0,15,33,355
Mackay (R),34770,7,15,0,1278,206,35,9,210,24,170,14,47,23,75,1679,2500,18,0,20,29,3,9,0,6,7,25,45,160,2557,350,149,3690,412,2607,145,503,194,793,1752,13150
McKinlay (S),34800,0,0,0,5,7,0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,18,0,12,0,0,0,3,13,78
Mapoon (S),34830,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,10,0,26
Maranoa (R),34860,0,0,0,94,70,0,0,39,7,13,0,3,0,4,138,273,6,0,0,9,0,0,0,0,0,0,3,21,433,44,10,383,49,206,23,35,10,59,149,1396
Mareeba (S),34880,3,4,0,72,51,12,6,44,4,19,3,5,0,24,168,336,0,0,0,5,0,0,0,0,0,4,9,21,464,105,22,504,56,254,31,114,28,228,183,1983
Moreton Bay (R),35010,38,73,3,4532,768,114,38,730,94,525,51,173,72,317,2814,5687,65,7,38,77,6,44,8,14,27,47,149,478,11698,1662,422,14889,1746,10096,577,2425,713,3908,3049,51175
Mornington (S),35250,0,0,0,3,0,0,0,0,0,3,0,3,0,4,0,16,0,0,0,0,0,0,0,0,0,0,5,9,15,3,0,7,0,20,0,12,3,29,8,95
Mount Isa (C),35300,3,0,0,337,35,0,0,38,3,32,0,3,0,8,100,220,7,3,0,5,0,0,0,0,0,3,12,28,591,33,20,523,91,435,21,40,32,92,116,1999
Murweh (S),35600,0,0,0,19,6,3,0,6,0,8,0,0,0,0,45,62,0,0,0,3,0,0,0,0,0,0,7,11,128,23,8,107,14,56,6,13,4,21,50,432
Napranum (S),35670,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,5,0,20,0,11,0,52,0,104
Noosa (S),35740,6,19,0,381,81,33,5,108,13,63,8,35,5,48,408,800,9,0,3,4,3,3,0,3,0,5,15,50,923,354,34,1556,114,770,62,341,67,434,429,5079
North Burnett (R),35760,0,3,0,37,33,8,0,29,0,9,0,3,4,7,53,139,4,0,0,0,0,0,0,0,0,0,11,18,249,35,4,250,24,129,8,41,16,94,68,919
Northern Peninsula Area (R),35780,0,0,0,3,4,0,0,0,0,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,0,57,8,3,22,8,67,0,23,5,85,7,281
Palm Island (S),35790,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,3,3,22,14,0,3,3,25,0,34,3,92,3,206
Paroo (S),35800,0,0,0,5,4,0,0,8,0,0,0,0,0,5,7,20,0,0,0,0,0,0,0,0,0,0,0,0,36,0,4,33,3,7,0,3,0,12,7,110
Pormpuraaw (S),36070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,7,0,8,0,7,0,26,3,72
Quilpie (S),36150,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,11,3,11,3,3,0,3,15,77
Redland (C),36250,5,26,4,2188,362,49,14,323,40,171,20,60,9,118,996,2160,28,3,21,24,12,9,3,5,3,22,42,165,4787,585,135,5856,627,3035,175,720,175,1089,1063,18243
Richmond (S),36300,0,0,0,3,7,0,0,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,16,0,9,0,0,3,0,13,69
Rockhampton (R),36370,3,4,5,569,134,19,9,122,16,69,5,26,19,68,727,1211,6,0,9,6,0,8,3,0,4,6,25,68,1886,248,65,2237,286,1482,79,392,118,718,779,8283
Scenic Rim (R),36510,6,7,0,232,93,18,3,93,13,61,9,16,5,39,219,566,6,0,8,12,3,3,0,0,6,9,16,58,925,185,48,1268,136,752,56,210,53,407,260,4296
Somerset (R),36580,0,0,0,85,52,16,4,51,0,33,3,9,3,21,146,346,6,3,0,3,3,4,0,0,5,8,9,42,495,102,26,608,56,504,24,153,46,320,166,2500
South Burnett (R),36630,0,3,0,116,50,12,3,46,3,23,4,25,3,44,166,381,3,0,0,4,0,0,0,3,0,13,13,45,537,133,16,732,77,464,37,201,49,453,191,2879
Southern Downs (R),36660,0,8,0,104,53,19,3,77,13,27,0,20,9,36,221,469,10,0,0,3,0,0,0,0,5,10,15,41,655,159,36,977,113,598,29,182,43,383,244,3415
Sunshine Coast (R),36720,33,52,3,2561,474,125,23,552,63,283,37,115,40,232,2238,4170,39,5,12,57,15,24,11,7,12,31,76,292,6152,1674,238,10149,918,5284,397,1785,385,2306,2375,31668
Tablelands (R),36820,0,3,0,128,40,14,3,44,9,14,3,8,7,21,192,350,3,0,0,0,0,6,0,0,3,8,14,33,419,110,21,621,58,304,26,141,45,221,216,2192
Toowoomba (R),36910,9,16,0,1327,293,48,16,309,27,137,14,58,19,95,1019,2043,27,3,10,10,3,10,0,6,10,15,40,132,3863,584,128,5189,556,3154,193,774,207,1260,1092,16993
Torres (S),36950,0,0,0,25,9,3,0,0,0,8,3,0,3,9,18,52,4,0,3,3,0,0,0,0,0,0,19,25,82,19,5,57,11,52,5,6,12,31,35,325
Torres Strait Island (R),36960,0,0,0,7,7,0,0,3,3,4,3,7,0,21,7,58,0,0,0,0,0,0,0,0,0,3,0,5,43,21,3,39,7,98,7,65,8,163,8,450
Townsville (C),37010,11,15,3,1647,318,42,7,240,34,152,11,60,33,138,1873,2908,38,3,19,18,9,19,3,7,9,27,53,196,4983,590,159,5229,737,3373,224,889,277,1480,1953,19900
Gympie (R),33620,7,10,0,170,57,18,3,81,5,56,6,35,11,54,304,618,8,0,10,9,0,3,0,0,0,8,18,56,760,199,40,1134,105,746,76,343,86,686,340,4514
Hinchinbrook (S),33800,0,0,0,61,18,0,0,36,0,10,0,4,3,8,52,141,5,0,0,5,0,0,0,0,0,3,3,18,232,35,11,405,21,148,10,48,17,75,62,1061
Hope Vale (S),33830,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,10,3,21,0,4,0,35,0,90
Boulia (S),30900,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,4,21
Brisbane (C),31000,94,390,14,25784,1981,274,94,1724,198,1130,84,414,127,831,7254,14117,110,21,78,167,34,66,23,16,41,89,280,924,31201,4685,926,38540,4839,24545,1209,6133,1318,9446,7758,130602
Ipswich (C),33960,5,12,5,1289,355,36,19,299,49,225,15,84,37,185,1203,2514,33,6,14,26,3,10,5,0,12,35,69,219,5373,695,171,5754,836,4934,229,1237,361,1947,1327,22872
Isaac (R),33980,8,0,0,461,46,4,8,41,8,30,0,9,0,0,168,314,3,0,3,3,0,4,0,0,0,0,9,31,490,63,36,693,105,687,32,70,58,48,185,2468
Bulloo (S),31750,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,3,7,0,0,0,0,3,31
Bundaberg (R),31820,0,12,0,389,136,21,11,133,7,63,6,46,14,99,573,1109,8,3,10,18,0,4,0,4,3,22,32,100,1699,344,68,2257,194,1384,81,558,141,1135,634,8489
Burdekin (S),31900,0,0,0,118,35,3,0,44,4,16,0,7,7,13,99,228,6,0,0,10,0,4,0,0,0,0,10,21,449,54,23,664,58,271,11,57,19,119,113,1842
Burke (S),31950,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,6,0,0,0,3,6,30
Cairns (R),32080,8,28,4,1135,272,43,12,212,29,142,9,55,24,108,1338,2245,15,10,13,24,8,10,3,3,6,22,55,159,3841,655,136,4339,535,2567,190,839,223,1135,1430,15895
Carpentaria (S),32250,0,0,0,5,9,0,0,3,0,0,0,3,0,3,10,31,0,0,0,0,0,0,0,0,4,3,3,14,41,3,4,29,0,13,0,9,7,23,17,138
Cassowary Coast (R),32260,3,0,0,125,64,14,3,65,4,29,12,5,3,28,153,371,0,0,5,3,0,3,3,0,0,6,17,39,556,108,32,756,78,444,33,146,53,256,181,2646
Central Highlands (R) (Qld),32270,0,3,0,468,92,8,3,61,4,39,6,7,4,20,288,533,6,0,3,5,0,3,0,0,0,0,14,37,728,75,42,986,141,782,54,97,52,109,317,3368
Charters Towers (R),32310,0,0,0,56,34,3,0,10,3,6,3,6,0,14,160,247,7,0,0,0,0,4,0,0,0,0,9,18,246,33,14,239,37,182,14,52,12,89,170,1099
Kowanyama (S),34420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,14,0,4,0,38,0,79
Cherbourg (S),32330,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,5,8,0,0,7,0,3,3,4,0,51,4,79
Cloncurry (S),32450,0,0,0,31,10,0,0,0,0,0,0,0,0,0,17,37,0,0,0,0,0,0,0,0,0,0,5,7,82,3,4,63,7,60,3,3,6,13,22,273
Cook (S),32500,0,0,0,7,9,5,0,3,0,7,0,3,0,3,21,52,0,0,0,0,0,0,0,0,0,0,3,3,71,21,3,64,6,44,4,21,4,31,22,295
Croydon (S),32600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,0,0,5,4,19
Livingstone (S),34530,3,3,0,334,83,16,3,67,8,42,3,14,3,34,500,783,3,0,3,3,0,7,0,0,4,0,10,32,859,125,40,1042,119,615,49,174,54,277,517,3871
Lockhart River (S),34570,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,14,0,0,0,0,3,0,0,0,0,0,3,12,10,0,0,9,3,10,3,7,7,15,5,58
Lockyer Valley (R),34580,0,4,0,172,59,12,11,74,12,43,3,17,15,31,237,513,6,3,5,11,4,3,0,0,3,9,12,59,816,137,42,1023,119,757,43,230,72,437,261,3943
Logan (C),34590,10,40,6,2089,597,85,37,495,73,429,27,148,54,335,1639,3917,56,3,29,50,12,31,0,20,22,49,123,397,8504,1261,324,8889,1210,7804,359,2105,557,3745,1855,36617
Weipa (T),37300,3,0,0,87,19,3,3,7,0,12,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,5,7,192,10,12,125,26,95,6,3,5,12,32,518
Western Downs (R),37310,0,0,0,216,90,7,3,64,4,44,3,13,6,13,263,516,9,3,3,4,0,4,0,0,0,0,11,41,751,91,30,1009,128,685,45,122,50,241,286,3429
